target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Guayaquil,legit_banco-guayaquil_20251102T200422.png,BANCO (REF),Banco Guayaquil,0.9999999,True,True,False,True
Banco Guayaquil,legit_aug_banco-guayaquil_v5_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.9938064,True,True,False,False
Banco Guayaquil,legit_aug_banco-guayaquil_v4_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.99290866,True,True,False,False
Banco Guayaquil,legit_aug_banco-guayaquil_v8_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.9919263,True,True,False,False
Banco Guayaquil,legit_aug_banco-guayaquil_v0_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.99006444,True,True,False,False
Banco Guayaquil,legit_aug_banco-guayaquil_v1_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.9899927,True,True,False,False
Banco Guayaquil,legit_aug_banco-guayaquil_v3_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.98240167,True,True,False,False
Banco Guayaquil,legit_aug_banco-guayaquil_v2_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.9768631,True,True,False,False
Banco Guayaquil,legit_aug_banco-guayaquil_v9_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.9428651,True,True,False,False
Banco Guayaquil,legit_aug_banco-guayaquil_v7_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.93804985,True,True,False,False
Banco Guayaquil,legit_aug_banco-de-chile_v0_20251130T221003.png,BANCO (AUG),Banco de Chile,0.9372363,True,False,True,False
Banco Guayaquil,legit_aug_banco-de-chile_v4_20251130T221003.png,BANCO (AUG),Banco de Chile,0.9362016,True,False,True,False
Banco Guayaquil,legit_aug_banco-de-chile_v5_20251130T221003.png,BANCO (AUG),Banco de Chile,0.9338325,True,False,True,False
Banco Guayaquil,legit_aug_banco-guayaquil_v6_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.9323533,True,True,False,False
Banco Guayaquil,legit_aug_banco-de-chile_v1_20251130T221003.png,BANCO (AUG),Banco de Chile,0.9315442,True,False,True,False
