target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Itaú Chile,legit_banco-ita-chile_20251102T191505.png,BANCO (REF),Banco Itaú Chile,1.0000001,True,True,False,True
Banco Itaú Chile,legit_aug_banco-itaú-chile_v8_20251130T221004.png,BANCO (AUG),Banco Itaú Chile,0.9975697,True,True,False,False
Banco Itaú Chile,legit_aug_banco-itaú-chile_v1_20251130T221004.png,BANCO (AUG),Banco Itaú Chile,0.99405134,True,True,False,False
Banco Itaú Chile,legit_aug_banco-itaú-chile_v5_20251130T221004.png,BANCO (AUG),Banco Itaú Chile,0.99366343,True,True,False,False
Banco Itaú Chile,legit_aug_banco-itaú-chile_v6_20251130T221004.png,BANCO (AUG),Banco Itaú Chile,0.9934771,True,True,False,False
Banco Itaú Chile,legit_aug_banco-itaú-chile_v7_20251130T221004.png,BANCO (AUG),Banco Itaú Chile,0.99264205,True,True,False,False
Banco Itaú Chile,legit_aug_banco-itaú-chile_v0_20251130T221004.png,BANCO (AUG),Banco Itaú Chile,0.9922024,True,True,False,False
Banco Itaú Chile,legit_aug_banco-itaú-chile_v9_20251130T221004.png,BANCO (AUG),Banco Itaú Chile,0.99063957,True,True,False,False
Banco Itaú Chile,legit_aug_banco-itaú-chile_v2_20251130T221004.png,BANCO (AUG),Banco Itaú Chile,0.9886889,True,True,False,False
Banco Itaú Chile,legit_aug_banco-itaú-chile_v3_20251130T221004.png,BANCO (AUG),Banco Itaú Chile,0.9871882,True,True,False,False
Banco Itaú Chile,legit_aug_banco-itaú-chile_v4_20251130T221004.png,BANCO (AUG),Banco Itaú Chile,0.96401924,True,True,False,False
Banco Itaú Chile,random_facebook-com_20251129T162302.png,RANDOM,unknown,0.9329941,True,False,True,False
Banco Itaú Chile,legit_aug_banco-guayaquil_v3_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.9316051,True,False,True,False
