target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Itaú Uruguay,legit_banco-ita-uruguay_20251102T193855.png,BANCO (REF),Banco Itaú Uruguay,1.0,True,True,False,True
Banco Itaú Uruguay,legit_aug_banco-itaú-uruguay_v5_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.9926177,True,True,False,False
Banco Itaú Uruguay,legit_aug_banco-itaú-uruguay_v9_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.9817125,True,True,False,False
Banco Itaú Uruguay,legit_aug_banco-itaú-uruguay_v8_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.96583986,True,True,False,False
Banco Itaú Uruguay,legit_aug_banco-itaú-uruguay_v0_20251130T221016.png,BANCO (AUG),Banco Itaú Uruguay,0.9636885,True,True,False,False
Banco Itaú Uruguay,legit_aug_banco-itaú-uruguay_v3_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.9522744,True,True,False,False
Banco Itaú Uruguay,legit_aug_banco-itaú-uruguay_v4_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.95120806,True,True,False,False
Banco Itaú Uruguay,legit_aug_banco-itaú-uruguay_v2_20251130T221016.png,BANCO (AUG),Banco Itaú Uruguay,0.9401064,True,True,False,False
Banco Itaú Uruguay,legit_aug_banco-itaú-uruguay_v7_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.9312986,True,True,False,False
Banco Itaú Uruguay,legit_aug_banco-itaú-uruguay_v1_20251130T221016.png,BANCO (AUG),Banco Itaú Uruguay,0.9308403,True,True,False,False
Banco Itaú Uruguay,legit_aug_banco-itaú-uruguay_v6_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.9202738,True,True,False,False
Banco Itaú Uruguay,random_t-me_20251129T163150.png,RANDOM,unknown,0.76512474,False,False,False,False
Banco Itaú Uruguay,random_statcounter-com_20251129T175708.png,RANDOM,unknown,0.7425853,False,False,False,False
Banco Itaú Uruguay,random_mega-co-nz_20251129T171404.png,RANDOM,unknown,0.7262536,False,False,False,False
Banco Itaú Uruguay,legit_aug_produbanco_v4_20251130T221018.png,BANCO (AUG),Produbanco,0.6929355,False,False,False,False
Banco Itaú Uruguay,random_moloco-com_20251129T174309.png,RANDOM,unknown,0.68999535,False,False,False,False
Banco Itaú Uruguay,random_duckduckgo-com_20251129T165354.png,RANDOM,unknown,0.6896165,False,False,False,False
Banco Itaú Uruguay,random_zoom-us_20251129T162855.png,RANDOM,unknown,0.683063,False,False,False,False
Banco Itaú Uruguay,legit_aug_produbanco_v9_20251130T221018.png,BANCO (AUG),Produbanco,0.67731905,False,False,False,False
Banco Itaú Uruguay,random_att-com_20251129T180955.png,RANDOM,unknown,0.67653215,False,False,False,False
Banco Itaú Uruguay,random_afternic-com_20251129T170119.png,RANDOM,unknown,0.6724494,False,False,False,False
Banco Itaú Uruguay,legit_produbanco_20251102T194118.png,BANCO (REF),Produbanco,0.6631722,False,False,False,False
Banco Itaú Uruguay,random_digitalocean-com_20251129T172159.png,RANDOM,unknown,0.66094,False,False,False,False
Banco Itaú Uruguay,random_mixpanel-com_20251129T172931.png,RANDOM,unknown,0.65725476,False,False,False,False
Banco Itaú Uruguay,legit_aug_produbanco_v8_20251130T221018.png,BANCO (AUG),Produbanco,0.65482795,False,False,False,False
Banco Itaú Uruguay,legit_banco-bradesco_20251102T190853.png,BANCO (REF),Banco Bradesco,0.65373254,False,False,False,False
Banco Itaú Uruguay,legit_aug_produbanco_v6_20251130T221018.png,BANCO (AUG),Produbanco,0.6536126,False,False,False,False
Banco Itaú Uruguay,random_linklist-bio_20251129T174110.png,RANDOM,unknown,0.6517992,False,False,False,False
Banco Itaú Uruguay,random_epicgames-com_20251129T163336.png,RANDOM,unknown,0.6506032,False,False,False,False
Banco Itaú Uruguay,legit_aug_produbanco_v5_20251130T221018.png,BANCO (AUG),Produbanco,0.6481823,False,False,False,False
Banco Itaú Uruguay,legit_aug_produbanco_v2_20251130T221018.png,BANCO (AUG),Produbanco,0.6475049,False,False,False,False
