target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Nacional Panamá,legit_banco-nacional-panam_20251102T192611.png,BANCO (REF),Banco Nacional Panamá,0.99999994,True,True,False,True
Banco Nacional Panamá,legit_aug_banco-nacional-panamá_v3_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.9814948,True,True,False,False
Banco Nacional Panamá,legit_aug_banco-nacional-panamá_v2_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.9768828,True,True,False,False
Banco Nacional Panamá,legit_aug_banco-nacional-panamá_v7_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.97291785,True,True,False,False
Banco Nacional Panamá,legit_aug_banco-nacional-panamá_v1_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.97204787,True,True,False,False
Banco Nacional Panamá,legit_aug_banco-nacional-panamá_v6_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.9682609,True,True,False,False
Banco Nacional Panamá,legit_aug_banco-nacional-panamá_v0_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.95917773,True,True,False,False
Banco Nacional Panamá,legit_aug_banco-nacional-panamá_v9_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.9190838,True,True,False,False
Banco Nacional Panamá,legit_aug_banco-nacional-panamá_v4_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.91303307,True,True,False,False
Banco Nacional Panamá,legit_aug_banco-nacional-panamá_v8_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.8653898,True,True,False,False
Banco Nacional Panamá,legit_aug_banco-nacional-panamá_v5_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.86169577,True,True,False,False
Banco Nacional Panamá,legit_aug_citibank-méxico_v5_20251130T221006.png,BANCO (AUG),Citibank México,0.7187643,False,False,False,False
Banco Nacional Panamá,legit_aug_citibank-méxico_v3_20251130T221006.png,BANCO (AUG),Citibank México,0.71739215,False,False,False,False
Banco Nacional Panamá,legit_aug_citibank-méxico_v9_20251130T221006.png,BANCO (AUG),Citibank México,0.71649235,False,False,False,False
Banco Nacional Panamá,legit_aug_citibank-méxico_v1_20251130T221006.png,BANCO (AUG),Citibank México,0.7018776,False,False,False,False
Banco Nacional Panamá,legit_aug_citibank-méxico_v0_20251130T221006.png,BANCO (AUG),Citibank México,0.7018088,False,False,False,False
Banco Nacional Panamá,legit_aug_citibank-méxico_v6_20251130T221006.png,BANCO (AUG),Citibank México,0.70096076,False,False,False,False
Banco Nacional Panamá,legit_aug_citibank-méxico_v8_20251130T221006.png,BANCO (AUG),Citibank México,0.7009462,False,False,False,False
Banco Nacional Panamá,legit_aug_citibank-méxico_v4_20251130T221006.png,BANCO (AUG),Citibank México,0.69572186,False,False,False,False
Banco Nacional Panamá,legit_citibank-m-xico_20251102T195922.png,BANCO (REF),Citibank México,0.69547194,False,False,False,False
Banco Nacional Panamá,random_instructure-com_20251129T175109.png,RANDOM,unknown,0.6882156,False,False,False,False
Banco Nacional Panamá,legit_aug_citibank-méxico_v7_20251130T221006.png,BANCO (AUG),Citibank México,0.681363,False,False,False,False
Banco Nacional Panamá,random_3lift-com_20251129T164553.png,RANDOM,unknown,0.66177726,False,False,False,False
Banco Nacional Panamá,legit_aug_citibank-méxico_v2_20251130T221006.png,BANCO (AUG),Citibank México,0.66079104,False,False,False,False
Banco Nacional Panamá,random_aboutads-info_20251129T171703.png,RANDOM,unknown,0.6567706,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-nacional-de-costa-rica_v0_20251130T221008.png,BANCO (AUG),Banco Nacional de Costa Rica,0.6490828,False,False,False,False
Banco Nacional Panamá,legit_aug_gnb-sudameris_v7_20251130T221012.png,BANCO (AUG),GNB Sudameris,0.64499426,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-nacional-de-costa-rica_v2_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.631369,False,False,False,False
Banco Nacional Panamá,random_webempresa-eu_20251129T174703.png,RANDOM,unknown,0.62581336,False,False,False,False
Banco Nacional Panamá,legit_aug_gnb-sudameris_v1_20251130T221011.png,BANCO (AUG),GNB Sudameris,0.61692667,False,False,False,False
Banco Nacional Panamá,legit_banco-nacional-de-costa-rica_20251102T192522.png,BANCO (REF),Banco Nacional de Costa Rica,0.6154118,False,False,False,False
Banco Nacional Panamá,legit_aug_gnb-sudameris_v5_20251130T221011.png,BANCO (AUG),GNB Sudameris,0.61318827,False,False,False,False
Banco Nacional Panamá,random_meraki-com_20251129T164122.png,RANDOM,unknown,0.6114226,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-nacional-de-costa-rica_v8_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.6110834,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-nacional-de-costa-rica_v7_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.6099383,False,False,False,False
Banco Nacional Panamá,legit_aug_gnb-sudameris_v0_20251130T221011.png,BANCO (AUG),GNB Sudameris,0.6037822,False,False,False,False
Banco Nacional Panamá,legit_aug_gnb-sudameris_v4_20251130T221011.png,BANCO (AUG),GNB Sudameris,0.6014476,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-nacional-de-costa-rica_v3_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.6006229,False,False,False,False
Banco Nacional Panamá,legit_aug_gnb-sudameris_v3_20251130T221011.png,BANCO (AUG),GNB Sudameris,0.59853745,False,False,False,False
Banco Nacional Panamá,random_blogspot-com_20251129T163146.png,RANDOM,unknown,0.5972483,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-nacional-de-costa-rica_v9_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.59344935,False,False,False,False
Banco Nacional Panamá,legit_gnb-sudameris_20251102T193010.png,BANCO (REF),GNB Sudameris,0.5924963,False,False,False,False
Banco Nacional Panamá,legit_banco-macro_20251102T193351.png,BANCO (REF),Banco Macro,0.5915747,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-nacional-de-costa-rica_v6_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.59127855,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-macro_v4_20251130T221013.png,BANCO (AUG),Banco Macro,0.59077144,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-nacional-de-costa-rica_v1_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.5906251,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-macro_v8_20251130T221014.png,BANCO (AUG),Banco Macro,0.58672696,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-nacional-de-costa-rica_v4_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.5853406,False,False,False,False
Banco Nacional Panamá,legit_aug_gnb-sudameris_v2_20251130T221011.png,BANCO (AUG),GNB Sudameris,0.58525,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-macro_v1_20251130T221013.png,BANCO (AUG),Banco Macro,0.58423084,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-nacional-de-bolivia_v2_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.5827512,False,False,False,False
Banco Nacional Panamá,random_paypal-com_20251129T163520.png,RANDOM,unknown,0.58241725,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-nacional-de-bolivia_v4_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.58228636,False,False,False,False
Banco Nacional Panamá,random_smartadserver-com_20251129T164647.png,RANDOM,unknown,0.58163756,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-nacional-de-bolivia_v3_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.5815728,False,False,False,False
Banco Nacional Panamá,legit_aug_scotiabank-chile_v8_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.58113813,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-macro_v5_20251130T221013.png,BANCO (AUG),Banco Macro,0.58020425,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-nacional-de-costa-rica_v5_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.57902586,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-nacional-de-bolivia_v9_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.5787202,False,False,False,False
Banco Nacional Panamá,legit_aug_scotiabank-chile_v6_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.57579994,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-macro_v7_20251130T221013.png,BANCO (AUG),Banco Macro,0.5748385,False,False,False,False
Banco Nacional Panamá,legit_banco-nacional-de-bolivia_20251102T195022.png,BANCO (REF),Banco Nacional de Bolivia,0.5744239,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-azteca_v2_20251130T221008.png,BANCO (AUG),Banco Azteca,0.5720934,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-macro_v3_20251130T221013.png,BANCO (AUG),Banco Macro,0.57150054,False,False,False,False
Banco Nacional Panamá,legit_aug_scotiabank-chile_v3_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.57099825,False,False,False,False
Banco Nacional Panamá,legit_aug_scotiabank-chile_v1_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.5703856,False,False,False,False
Banco Nacional Panamá,random_sharethrough-com_20251129T165851.png,RANDOM,unknown,0.5700772,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-macro_v6_20251130T221013.png,BANCO (AUG),Banco Macro,0.5673653,False,False,False,False
Banco Nacional Panamá,legit_aug_scotiabank-chile_v2_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.5672965,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-macro_v9_20251130T221014.png,BANCO (AUG),Banco Macro,0.56697404,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-macro_v2_20251130T221013.png,BANCO (AUG),Banco Macro,0.5620116,False,False,False,False
Banco Nacional Panamá,legit_scotiabank-chile_20251102T191440.png,BANCO (REF),Scotiabank Chile,0.56025684,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-nacional-de-bolivia_v5_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.55843973,False,False,False,False
Banco Nacional Panamá,legit_aug_scotiabank-chile_v7_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.5581674,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-azteca_v0_20251130T221008.png,BANCO (AUG),Banco Azteca,0.5576809,False,False,False,False
Banco Nacional Panamá,legit_aug_scotiabank-chile_v5_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.5568632,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-azteca_v5_20251130T221008.png,BANCO (AUG),Banco Azteca,0.55539083,False,False,False,False
Banco Nacional Panamá,legit_aug_scotiabank-chile_v9_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.5549911,False,False,False,False
Banco Nacional Panamá,legit_aug_banreservas_v6_20251130T221008.png,BANCO (AUG),BanReservas,0.5548997,False,False,False,False
Banco Nacional Panamá,legit_banco-azteca_20251102T192503.png,BANCO (REF),Banco Azteca,0.55451864,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-azteca_v6_20251130T221008.png,BANCO (AUG),Banco Azteca,0.5542921,False,False,False,False
