target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Nacional de Bolivia,legit_banco-nacional-de-bolivia_20251102T195022.png,BANCO (REF),Banco Nacional de Bolivia,0.9999998,True,True,False,True
Banco Nacional de Bolivia,legit_aug_banco-nacional-de-bolivia_v9_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.98709303,True,True,False,False
Banco Nacional de Bolivia,legit_aug_banco-nacional-de-bolivia_v2_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.98660475,True,True,False,False
Banco Nacional de Bolivia,legit_aug_banco-nacional-de-bolivia_v4_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.98659617,True,True,False,False
Banco Nacional de Bolivia,legit_aug_banco-nacional-de-bolivia_v3_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.98033553,True,True,False,False
Banco Nacional de Bolivia,legit_aug_banco-nacional-de-bolivia_v5_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.97468114,True,True,False,False
Banco Nacional de Bolivia,legit_aug_banco-nacional-de-bolivia_v6_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.969426,True,True,False,False
Banco Nacional de Bolivia,legit_aug_banco-nacional-de-bolivia_v0_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.96853834,True,True,False,False
Banco Nacional de Bolivia,legit_aug_banco-nacional-de-bolivia_v7_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.9626533,True,True,False,False
Banco Nacional de Bolivia,legit_aug_banco-nacional-de-bolivia_v1_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.9605673,True,True,False,False
Banco Nacional de Bolivia,legit_aug_banco-nacional-de-bolivia_v8_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.94640553,True,True,False,False
Banco Nacional de Bolivia,legit_banco-caja-social_20251102T194626.png,BANCO (REF),Banco Caja Social,0.7235315,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-caja-social_v9_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.71651506,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-caja-social_v7_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.71182215,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-caja-social_v6_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.7080518,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-caja-social_v4_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.7011081,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-caja-social_v0_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.6967709,False,False,False,False
Banco Nacional de Bolivia,random_paypal-com_20251129T163520.png,RANDOM,unknown,0.6941546,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-caja-social_v5_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.67904204,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-caja-social_v2_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.66997296,False,False,False,False
Banco Nacional de Bolivia,legit_aug_citibank-méxico_v5_20251130T221006.png,BANCO (AUG),Citibank México,0.63222384,False,False,False,False
Banco Nacional de Bolivia,legit_aug_citibank-méxico_v7_20251130T221006.png,BANCO (AUG),Citibank México,0.62883246,False,False,False,False
Banco Nacional de Bolivia,legit_aug_citibank-méxico_v0_20251130T221006.png,BANCO (AUG),Citibank México,0.62850887,False,False,False,False
Banco Nacional de Bolivia,legit_aug_citibank-méxico_v6_20251130T221006.png,BANCO (AUG),Citibank México,0.6277751,False,False,False,False
Banco Nacional de Bolivia,legit_aug_citibank-méxico_v8_20251130T221006.png,BANCO (AUG),Citibank México,0.6234126,False,False,False,False
Banco Nacional de Bolivia,legit_aug_citibank-méxico_v4_20251130T221006.png,BANCO (AUG),Citibank México,0.6193435,False,False,False,False
Banco Nacional de Bolivia,legit_aug_citibank-méxico_v3_20251130T221006.png,BANCO (AUG),Citibank México,0.6183152,False,False,False,False
Banco Nacional de Bolivia,legit_citibank-m-xico_20251102T195922.png,BANCO (REF),Citibank México,0.6172432,False,False,False,False
Banco Nacional de Bolivia,legit_aug_citibank-méxico_v9_20251130T221006.png,BANCO (AUG),Citibank México,0.6167786,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banreservas_v2_20251130T221007.png,BANCO (AUG),BanReservas,0.6149993,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banreservas_v5_20251130T221007.png,BANCO (AUG),BanReservas,0.61058253,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-caja-social_v8_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.6087308,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banreservas_v0_20251130T221007.png,BANCO (AUG),BanReservas,0.6079776,False,False,False,False
