target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Popular Costa Rica,legit_banco-popular-costa-rica_20251102T193730.png,BANCO (REF),Banco Popular Costa Rica,1.0000001,True,True,False,True
Banco Popular Costa Rica,legit_aug_banco-popular-costa-rica_v8_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.9931753,True,True,False,False
Banco Popular Costa Rica,legit_aug_banco-popular-costa-rica_v3_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.98183876,True,True,False,False
Banco Popular Costa Rica,legit_aug_banco-popular-costa-rica_v5_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.9498139,True,True,False,False
Banco Popular Costa Rica,legit_aug_banco-popular-costa-rica_v0_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.9393554,True,True,False,False
Banco Popular Costa Rica,legit_aug_banco-popular-costa-rica_v7_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.93259037,True,True,False,False
Banco Popular Costa Rica,legit_aug_banco-popular-costa-rica_v1_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.9317437,True,True,False,False
Banco Popular Costa Rica,legit_aug_banco-popular-costa-rica_v6_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.92496955,True,True,False,False
Banco Popular Costa Rica,legit_aug_banco-popular-costa-rica_v4_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.9224042,True,True,False,False
Banco Popular Costa Rica,legit_aug_banco-popular-costa-rica_v2_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.9200914,True,True,False,False
Banco Popular Costa Rica,legit_aug_banco-popular-costa-rica_v9_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.91552615,True,True,False,False
Banco Popular Costa Rica,random_slack-com_20251129T164623.png,RANDOM,unknown,0.90197015,True,False,True,False
Banco Popular Costa Rica,random_instagram-com_20251129T162358.png,RANDOM,unknown,0.8968745,True,False,True,False
Banco Popular Costa Rica,random_pages-dev_20251129T164832.png,RANDOM,unknown,0.8951846,True,False,True,False
Banco Popular Costa Rica,random_flashscore-com_20251129T180535.png,RANDOM,unknown,0.8931744,True,False,True,False
Banco Popular Costa Rica,legit_aug_banco-bice_v6_20251130T221013.png,BANCO (AUG),Banco Bice,0.8911072,True,False,True,False
Banco Popular Costa Rica,legit_inbursa_20251102T191735.png,BANCO (REF),Inbursa,0.8900528,True,False,True,False
Banco Popular Costa Rica,random_kontur-ru_20251129T175233.png,RANDOM,unknown,0.8876871,True,False,True,False
Banco Popular Costa Rica,legit_banco-bice_20251102T193210.png,BANCO (REF),Banco Bice,0.8861773,True,False,True,False
Banco Popular Costa Rica,legit_banco-agromercantil_20251102T194301.png,BANCO (REF),Banco Agromercantil,0.88447183,True,False,True,False
Banco Popular Costa Rica,legit_aug_banco-agromercantil_v4_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.8843187,True,False,True,False
Banco Popular Costa Rica,legit_banco-de-chile_20251102T191314.png,BANCO (REF),Banco de Chile,0.88305396,True,False,True,False
Banco Popular Costa Rica,legit_aug_banco-bice_v3_20251130T221013.png,BANCO (AUG),Banco Bice,0.8828765,True,False,True,False
Banco Popular Costa Rica,legit_aug_banco-agromercantil_v2_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.88265514,True,False,True,False
Banco Popular Costa Rica,random_rbc-ru_20251129T173708.png,RANDOM,unknown,0.88156027,True,False,True,False
Banco Popular Costa Rica,legit_aug_banco-bice_v4_20251130T221013.png,BANCO (AUG),Banco Bice,0.8810269,True,False,True,False
Banco Popular Costa Rica,legit_aug_banco-bice_v7_20251130T221013.png,BANCO (AUG),Banco Bice,0.8795854,True,False,True,False
Banco Popular Costa Rica,legit_aug_inbursa_v8_20251130T221006.png,BANCO (AUG),Inbursa,0.8794702,True,False,True,False
Banco Popular Costa Rica,legit_aug_banco-agromercantil_v8_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.878612,True,False,True,False
Banco Popular Costa Rica,random_ring-com_20251129T172743.png,RANDOM,unknown,0.8785121,True,False,True,False
Banco Popular Costa Rica,legit_aug_sudameris-paraguay_v7_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.87721395,True,False,True,False
Banco Popular Costa Rica,legit_aug_banco-bice_v5_20251130T221013.png,BANCO (AUG),Banco Bice,0.87698287,True,False,True,False
Banco Popular Costa Rica,legit_aug_banco-bice_v1_20251130T221012.png,BANCO (AUG),Banco Bice,0.87693894,True,False,True,False
Banco Popular Costa Rica,legit_aug_banco-agromercantil_v9_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.8762214,True,False,True,False
Banco Popular Costa Rica,legit_banco-consorcio_20251102T193919.png,BANCO (REF),Banco Consorcio,0.8761035,True,False,True,False
Banco Popular Costa Rica,legit_aug_inbursa_v6_20251130T221006.png,BANCO (AUG),Inbursa,0.87601733,True,False,True,False
Banco Popular Costa Rica,random_facebook-com_20251129T162302.png,RANDOM,unknown,0.87561303,True,False,True,False
Banco Popular Costa Rica,legit_aug_banco-agromercantil_v7_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.87531966,True,False,True,False
Banco Popular Costa Rica,random_lequipe-fr_20251129T180738.png,RANDOM,unknown,0.8753164,True,False,True,False
Banco Popular Costa Rica,legit_aug_banco-de-chile_v5_20251130T221003.png,BANCO (AUG),Banco de Chile,0.8748123,True,False,True,False
Banco Popular Costa Rica,legit_aug_banco-de-chile_v4_20251130T221003.png,BANCO (AUG),Banco de Chile,0.87470204,True,False,True,False
Banco Popular Costa Rica,legit_aug_banco-agromercantil_v5_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.87451833,True,False,True,False
Banco Popular Costa Rica,legit_aug_banco-bice_v2_20251130T221012.png,BANCO (AUG),Banco Bice,0.87450355,True,False,True,False
Banco Popular Costa Rica,legit_aug_banco-agromercantil_v3_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.8742434,True,False,True,False
Banco Popular Costa Rica,random_rakuten-com_20251129T173405.png,RANDOM,unknown,0.8733159,True,False,True,False
Banco Popular Costa Rica,random_uber-com_20251129T170129.png,RANDOM,unknown,0.8731236,True,False,True,False
Banco Popular Costa Rica,legit_aug_banco-bice_v8_20251130T221013.png,BANCO (AUG),Banco Bice,0.8724352,True,False,True,False
Banco Popular Costa Rica,legit_aug_banco-agromercantil_v1_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.87201965,True,False,True,False
Banco Popular Costa Rica,random_readthedocs-io_20251129T173904.png,RANDOM,unknown,0.8718835,True,False,True,False
Banco Popular Costa Rica,legit_aug_banco-agromercantil_v6_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.8718562,True,False,True,False
Banco Popular Costa Rica,legit_aug_banco-provincia_v6_20251130T221013.png,BANCO (AUG),Banco Provincia,0.87092626,True,False,True,False
Banco Popular Costa Rica,legit_aug_banco-provincia_v4_20251130T221013.png,BANCO (AUG),Banco Provincia,0.87071335,True,False,True,False
Banco Popular Costa Rica,random_indeed-com_20251129T165216.png,RANDOM,unknown,0.869931,True,False,True,False
