target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Provincia,legit_banco-provincia_20251102T193232.png,BANCO (REF),Banco Provincia,1.0,True,True,False,True
Banco Provincia,legit_aug_banco-provincia_v9_20251130T221013.png,BANCO (AUG),Banco Provincia,0.98466367,True,True,False,False
Banco Provincia,legit_aug_banco-provincia_v4_20251130T221013.png,BANCO (AUG),Banco Provincia,0.97749233,True,True,False,False
Banco Provincia,legit_aug_banco-provincia_v8_20251130T221013.png,BANCO (AUG),Banco Provincia,0.9713999,True,True,False,False
Banco Provincia,legit_aug_banco-provincia_v2_20251130T221013.png,BANCO (AUG),Banco Provincia,0.9624227,True,True,False,False
Banco Provincia,legit_aug_banco-provincia_v7_20251130T221013.png,BANCO (AUG),Banco Provincia,0.9588014,True,True,False,False
Banco Provincia,legit_aug_banco-provincia_v5_20251130T221013.png,BANCO (AUG),Banco Provincia,0.9579085,True,True,False,False
Banco Provincia,legit_aug_banco-provincia_v1_20251130T221013.png,BANCO (AUG),Banco Provincia,0.95602053,True,True,False,False
Banco Provincia,legit_aug_banco-provincia_v6_20251130T221013.png,BANCO (AUG),Banco Provincia,0.95243776,True,True,False,False
Banco Provincia,legit_aug_banco-provincia_v0_20251130T221013.png,BANCO (AUG),Banco Provincia,0.95111096,True,True,False,False
Banco Provincia,legit_aug_banco-provincia_v3_20251130T221013.png,BANCO (AUG),Banco Provincia,0.94020605,True,True,False,False
Banco Provincia,legit_scotiabank-per_20251102T192231.png,BANCO (REF),Scotiabank Perú,0.92001194,True,False,True,False
Banco Provincia,legit_aug_inbursa_v3_20251130T221006.png,BANCO (AUG),Inbursa,0.91866934,True,False,True,False
Banco Provincia,legit_aug_inbursa_v4_20251130T221006.png,BANCO (AUG),Inbursa,0.91828966,True,False,True,False
Banco Provincia,legit_aug_scotiabank-perú_v5_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.91819835,True,False,True,False
Banco Provincia,legit_aug_banco-de-chile_v5_20251130T221003.png,BANCO (AUG),Banco de Chile,0.9160766,True,False,True,False
Banco Provincia,legit_aug_scotiabank-perú_v7_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.9146827,True,False,True,False
Banco Provincia,legit_aug_inbursa_v2_20251130T221006.png,BANCO (AUG),Inbursa,0.91406906,True,False,True,False
Banco Provincia,legit_aug_scotiabank-perú_v0_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.91298604,True,False,True,False
Banco Provincia,legit_aug_inbursa_v1_20251130T221006.png,BANCO (AUG),Inbursa,0.91275924,True,False,True,False
Banco Provincia,legit_aug_inbursa_v8_20251130T221006.png,BANCO (AUG),Inbursa,0.9119283,True,False,True,False
Banco Provincia,legit_aug_scotiabank-perú_v1_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.911674,True,False,True,False
Banco Provincia,legit_aug_banco-agromercantil_v0_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.9116585,True,False,True,False
Banco Provincia,legit_aug_banco-agromercantil_v6_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.9105886,True,False,True,False
Banco Provincia,legit_aug_banco-popular-costa-rica_v9_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.9100337,True,False,True,False
Banco Provincia,legit_aug_inbursa_v0_20251130T221006.png,BANCO (AUG),Inbursa,0.9096684,True,False,True,False
Banco Provincia,legit_aug_banco-agromercantil_v1_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.90956974,True,False,True,False
Banco Provincia,legit_aug_scotiabank-perú_v4_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.90948296,True,False,True,False
Banco Provincia,legit_banco-agromercantil_20251102T194301.png,BANCO (REF),Banco Agromercantil,0.9094497,True,False,True,False
Banco Provincia,legit_aug_banco-agromercantil_v2_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.9090941,True,False,True,False
Banco Provincia,legit_aug_banco-de-chile_v6_20251130T221003.png,BANCO (AUG),Banco de Chile,0.9086562,True,False,True,False
Banco Provincia,legit_aug_banco-agromercantil_v8_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.9084591,True,False,True,False
Banco Provincia,legit_aug_scotiabank-perú_v9_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.9084524,True,False,True,False
Banco Provincia,legit_aug_banco-de-chile_v4_20251130T221003.png,BANCO (AUG),Banco de Chile,0.90819466,True,False,True,False
Banco Provincia,legit_aug_banco-agromercantil_v7_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.9080519,True,False,True,False
Banco Provincia,legit_aug_banco-bice_v0_20251130T221012.png,BANCO (AUG),Banco Bice,0.90787554,True,False,True,False
Banco Provincia,legit_aug_banco-popular-costa-rica_v1_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.907821,True,False,True,False
Banco Provincia,random_gmail-com_20251129T164051.png,RANDOM,unknown,0.90776914,True,False,True,False
Banco Provincia,legit_aug_banco-de-chile_v1_20251130T221003.png,BANCO (AUG),Banco de Chile,0.9075205,True,False,True,False
Banco Provincia,legit_aug_bbva-colombia_v8_20251130T221007.png,BANCO (AUG),BBVA Colombia,0.90740603,True,False,True,False
Banco Provincia,legit_aug_banco-popular-costa-rica_v6_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.9071435,True,False,True,False
Banco Provincia,legit_aug_banco-agromercantil_v3_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.907063,True,False,True,False
Banco Provincia,legit_aug_bbva-colombia_v6_20251130T221007.png,BANCO (AUG),BBVA Colombia,0.90700465,True,False,True,False
Banco Provincia,legit_aug_banbif_v2_20251130T221019.png,BANCO (AUG),BanBif,0.90673935,True,False,True,False
Banco Provincia,legit_aug_banco-popular-costa-rica_v4_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.9067094,True,False,True,False
Banco Provincia,legit_aug_banco-bice_v4_20251130T221013.png,BANCO (AUG),Banco Bice,0.90646863,True,False,True,False
Banco Provincia,legit_aug_sudameris-paraguay_v2_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.90586793,True,False,True,False
Banco Provincia,legit_aug_banco-agromercantil_v5_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.9056514,True,False,True,False
Banco Provincia,legit_aug_banco-de-chile_v0_20251130T221003.png,BANCO (AUG),Banco de Chile,0.90559494,True,False,True,False
Banco Provincia,legit_aug_banco-popular-costa-rica_v7_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.90544665,True,False,True,False
Banco Provincia,legit_aug_banco-bice_v1_20251130T221012.png,BANCO (AUG),Banco Bice,0.90531725,True,False,True,False
Banco Provincia,legit_aug_banco-bice_v7_20251130T221013.png,BANCO (AUG),Banco Bice,0.9052566,True,False,True,False
Banco Provincia,legit_aug_banco-itaú-chile_v0_20251130T221004.png,BANCO (AUG),Banco Itaú Chile,0.90500206,True,False,True,False
Banco Provincia,legit_aug_inbursa_v9_20251130T221006.png,BANCO (AUG),Inbursa,0.90498376,True,False,True,False
Banco Provincia,legit_aug_scotiabank-perú_v8_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.90482384,True,False,True,False
Banco Provincia,legit_aug_banco-ficohsa_v1_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.90475905,True,False,True,False
Banco Provincia,legit_aug_sudameris-paraguay_v9_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.90471107,True,False,True,False
