target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Safra,legit_banco-safra_20251102T191220.png,BANCO (REF),Banco Safra,1.0,True,True,False,True
Banco Safra,legit_aug_banco-safra_v5_20251130T221003.png,BANCO (AUG),Banco Safra,0.9881785,True,True,False,False
Banco Safra,legit_aug_banco-safra_v6_20251130T221003.png,BANCO (AUG),Banco Safra,0.984946,True,True,False,False
Banco Safra,legit_aug_banco-safra_v8_20251130T221003.png,BANCO (AUG),Banco Safra,0.98373705,True,True,False,False
Banco Safra,legit_aug_banco-safra_v0_20251130T221003.png,BANCO (AUG),Banco Safra,0.9735486,True,True,False,False
Banco Safra,legit_aug_banco-safra_v9_20251130T221003.png,BANCO (AUG),Banco Safra,0.97213733,True,True,False,False
Banco Safra,legit_aug_banco-safra_v7_20251130T221003.png,BANCO (AUG),Banco Safra,0.9695735,True,True,False,False
Banco Safra,legit_aug_banco-safra_v1_20251130T221003.png,BANCO (AUG),Banco Safra,0.96893084,True,True,False,False
Banco Safra,legit_aug_banco-safra_v3_20251130T221003.png,BANCO (AUG),Banco Safra,0.96230865,True,True,False,False
Banco Safra,legit_aug_banco-safra_v2_20251130T221003.png,BANCO (AUG),Banco Safra,0.96132207,True,True,False,False
Banco Safra,legit_aug_banco-safra_v4_20251130T221003.png,BANCO (AUG),Banco Safra,0.9479137,True,True,False,False
Banco Safra,random_kaspersky-com_20251129T163535.png,RANDOM,unknown,0.6453595,False,False,False,False
Banco Safra,random_360-cn_20251129T173141.png,RANDOM,unknown,0.574637,False,False,False,False
Banco Safra,random_tinkoff-ru_20251129T180016.png,RANDOM,unknown,0.5616066,False,False,False,False
Banco Safra,random_statcounter-com_20251129T175708.png,RANDOM,unknown,0.53966135,False,False,False,False
Banco Safra,random_moloco-com_20251129T174309.png,RANDOM,unknown,0.5258193,False,False,False,False
Banco Safra,legit_aug_produbanco_v0_20251130T221018.png,BANCO (AUG),Produbanco,0.5245943,False,False,False,False
Banco Safra,random_dynatrace-com_20251129T171451.png,RANDOM,unknown,0.52053255,False,False,False,False
Banco Safra,legit_aug_banco-bradesco_v5_20251130T221002.png,BANCO (AUG),Banco Bradesco,0.5205276,False,False,False,False
Banco Safra,legit_aug_banco-bradesco_v7_20251130T221002.png,BANCO (AUG),Banco Bradesco,0.51441383,False,False,False,False
Banco Safra,legit_aug_produbanco_v6_20251130T221018.png,BANCO (AUG),Produbanco,0.5130296,False,False,False,False
Banco Safra,legit_aug_produbanco_v7_20251130T221018.png,BANCO (AUG),Produbanco,0.51196516,False,False,False,False
Banco Safra,legit_aug_produbanco_v2_20251130T221018.png,BANCO (AUG),Produbanco,0.5095782,False,False,False,False
Banco Safra,legit_aug_produbanco_v1_20251130T221018.png,BANCO (AUG),Produbanco,0.5095602,False,False,False,False
Banco Safra,legit_produbanco_20251102T194118.png,BANCO (REF),Produbanco,0.5058664,False,False,False,False
Banco Safra,legit_aug_produbanco_v5_20251130T221018.png,BANCO (AUG),Produbanco,0.50489295,False,False,False,False
Banco Safra,legit_aug_banco-bradesco_v2_20251130T221001.png,BANCO (AUG),Banco Bradesco,0.50378186,False,False,False,False
Banco Safra,random_pccc-com_20251129T173616.png,RANDOM,unknown,0.49994507,False,False,False,False
