target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Santander Argentina,legit_banco-santander-argentina_20251102T192947.png,BANCO (REF),Banco Santander Argentina,0.9999999,True,True,False,True
Banco Santander Argentina,legit_aug_banco-santander-argentina_v4_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.99223083,True,True,False,False
Banco Santander Argentina,legit_aug_banco-santander-argentina_v6_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.9861799,True,True,False,False
Banco Santander Argentina,legit_aug_banco-santander-argentina_v9_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.9849905,True,True,False,False
Banco Santander Argentina,legit_aug_banco-santander-argentina_v0_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.98381007,True,True,False,False
Banco Santander Argentina,legit_aug_banco-santander-argentina_v7_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.97660196,True,True,False,False
Banco Santander Argentina,legit_aug_banco-santander-argentina_v2_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.96992165,True,True,False,False
Banco Santander Argentina,legit_aug_banco-santander-argentina_v8_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.96347433,True,True,False,False
Banco Santander Argentina,legit_aug_banco-santander-argentina_v1_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.9592931,True,True,False,False
Banco Santander Argentina,legit_aug_banco-santander-argentina_v3_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.944062,True,True,False,False
Banco Santander Argentina,legit_aug_banco-santander-argentina_v5_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.87031794,True,True,False,False
Banco Santander Argentina,random_zhihu-com_20251129T180630.png,RANDOM,unknown,0.8152226,True,False,True,False
Banco Santander Argentina,random_digitalocean-com_20251129T172159.png,RANDOM,unknown,0.80806565,True,False,True,False
Banco Santander Argentina,random_stackoverflow-com_20251129T170622.png,RANDOM,unknown,0.79981935,False,False,False,False
Banco Santander Argentina,legit_aug_banamex_v9_20251130T221003.png,BANCO (AUG),Banamex,0.7959503,False,False,False,False
Banco Santander Argentina,legit_aug_banamex_v2_20251130T221003.png,BANCO (AUG),Banamex,0.79558516,False,False,False,False
Banco Santander Argentina,legit_aug_banamex_v7_20251130T221003.png,BANCO (AUG),Banamex,0.7944325,False,False,False,False
