target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Santander Uruguay,legit_banco-santander-uruguay_20251102T193706.png,BANCO (REF),Banco Santander Uruguay,1.0000002,True,True,False,True
Banco Santander Uruguay,legit_aug_banco-santander-uruguay_v2_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.950554,True,True,False,False
Banco Santander Uruguay,legit_aug_banco-santander-uruguay_v5_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.94626886,True,True,False,False
Banco Santander Uruguay,legit_aug_banco-santander-uruguay_v7_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.92566466,True,True,False,False
Banco Santander Uruguay,legit_aug_banco-santander-uruguay_v3_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.91655815,True,True,False,False
Banco Santander Uruguay,legit_aug_banco-santander-uruguay_v6_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.9148731,True,True,False,False
Banco Santander Uruguay,legit_aug_banco-santander-uruguay_v8_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.8970102,True,True,False,False
Banco Santander Uruguay,legit_aug_banco-santander-uruguay_v0_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.89014566,True,True,False,False
Banco Santander Uruguay,legit_aug_banco-santander-uruguay_v4_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.8665656,True,True,False,False
Banco Santander Uruguay,legit_aug_banco-santander-uruguay_v1_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.8581389,True,True,False,False
Banco Santander Uruguay,legit_aug_banco-santander-uruguay_v9_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.8305573,True,True,False,False
Banco Santander Uruguay,random_crpt-ru_20251129T170822.png,RANDOM,unknown,0.5194426,False,False,False,False
Banco Santander Uruguay,legit_aug_banreservas_v3_20251130T221007.png,BANCO (AUG),BanReservas,0.5019812,False,False,False,False
Banco Santander Uruguay,legit_aug_banreservas_v2_20251130T221007.png,BANCO (AUG),BanReservas,0.48134845,False,False,False,False
Banco Santander Uruguay,legit_aug_banreservas_v6_20251130T221008.png,BANCO (AUG),BanReservas,0.47876322,False,False,False,False
Banco Santander Uruguay,legit_banreservas_20251102T192206.png,BANCO (REF),BanReservas,0.4782589,False,False,False,False
Banco Santander Uruguay,random_msn-com_20251129T162722.png,RANDOM,unknown,0.47542173,False,False,False,False
Banco Santander Uruguay,legit_aug_banreservas_v0_20251130T221007.png,BANCO (AUG),BanReservas,0.4753629,False,False,False,False
Banco Santander Uruguay,legit_aug_banreservas_v8_20251130T221008.png,BANCO (AUG),BanReservas,0.47530967,False,False,False,False
Banco Santander Uruguay,random_merriam-webster-com_20251129T171721.png,RANDOM,unknown,0.47263896,False,False,False,False
Banco Santander Uruguay,legit_aug_banreservas_v1_20251130T221007.png,BANCO (AUG),BanReservas,0.4714107,False,False,False,False
Banco Santander Uruguay,legit_aug_banreservas_v9_20251130T221008.png,BANCO (AUG),BanReservas,0.46997398,False,False,False,False
Banco Santander Uruguay,random_temu-com_20251129T165219.png,RANDOM,unknown,0.46760958,False,False,False,False
Banco Santander Uruguay,random_warnerbros-com_20251129T173352.png,RANDOM,unknown,0.4637589,False,False,False,False
Banco Santander Uruguay,legit_aug_banreservas_v5_20251130T221007.png,BANCO (AUG),BanReservas,0.46215326,False,False,False,False
Banco Santander Uruguay,legit_aug_banco-itaú-uruguay_v5_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.45963424,False,False,False,False
Banco Santander Uruguay,random_apache-org_20251129T163228.png,RANDOM,unknown,0.45944667,False,False,False,False
Banco Santander Uruguay,legit_banco-ita-uruguay_20251102T193855.png,BANCO (REF),Banco Itaú Uruguay,0.45633665,False,False,False,False
Banco Santander Uruguay,legit_aug_banreservas_v7_20251130T221008.png,BANCO (AUG),BanReservas,0.456046,False,False,False,False
Banco Santander Uruguay,legit_scotiabank-chile_20251102T191440.png,BANCO (REF),Scotiabank Chile,0.45531797,False,False,False,False
Banco Santander Uruguay,legit_aug_scotiabank-chile_v1_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.4552669,False,False,False,False
Banco Santander Uruguay,legit_aug_banreservas_v4_20251130T221007.png,BANCO (AUG),BanReservas,0.45491785,False,False,False,False
Banco Santander Uruguay,legit_aug_banco-itaú-uruguay_v9_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.45485738,False,False,False,False
Banco Santander Uruguay,legit_aug_scotiabank-chile_v6_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.45364258,False,False,False,False
Banco Santander Uruguay,random_mega-co-nz_20251129T171404.png,RANDOM,unknown,0.4531363,False,False,False,False
Banco Santander Uruguay,legit_aug_scotiabank-chile_v0_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.45299572,False,False,False,False
Banco Santander Uruguay,legit_aug_scotiabank-chile_v2_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.45252714,False,False,False,False
Banco Santander Uruguay,random_onesignal-com_20251129T174631.png,RANDOM,unknown,0.45249236,False,False,False,False
Banco Santander Uruguay,legit_aug_scotiabank-chile_v3_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.45206842,False,False,False,False
Banco Santander Uruguay,legit_aug_scotiabank-chile_v5_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.4447709,False,False,False,False
Banco Santander Uruguay,legit_aug_banco-itaú-uruguay_v8_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.44336724,False,False,False,False
Banco Santander Uruguay,legit_aug_scotiabank-chile_v4_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.44211227,False,False,False,False
Banco Santander Uruguay,legit_aug_scotiabank-chile_v7_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.44127408,False,False,False,False
Banco Santander Uruguay,random_statcounter-com_20251129T175708.png,RANDOM,unknown,0.44029787,False,False,False,False
Banco Santander Uruguay,legit_banco-azteca_20251102T192503.png,BANCO (REF),Banco Azteca,0.4399667,False,False,False,False
Banco Santander Uruguay,legit_aug_scotiabank-chile_v8_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.4387999,False,False,False,False
Banco Santander Uruguay,legit_aug_scotiabank-chile_v9_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.43573502,False,False,False,False
Banco Santander Uruguay,random_cnet-com_20251129T171429.png,RANDOM,unknown,0.43552473,False,False,False,False
Banco Santander Uruguay,random_web-de_20251129T175220.png,RANDOM,unknown,0.43366966,False,False,False,False
Banco Santander Uruguay,random_meraki-com_20251129T164122.png,RANDOM,unknown,0.43304414,False,False,False,False
Banco Santander Uruguay,random_cloudinary-com_20251129T174018.png,RANDOM,unknown,0.43187448,False,False,False,False
Banco Santander Uruguay,legit_aug_banco-itaú-uruguay_v1_20251130T221016.png,BANCO (AUG),Banco Itaú Uruguay,0.43165773,False,False,False,False
Banco Santander Uruguay,legit_aug_banco-itaú-uruguay_v3_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.43083212,False,False,False,False
Banco Santander Uruguay,legit_aug_banco-itaú-uruguay_v0_20251130T221016.png,BANCO (AUG),Banco Itaú Uruguay,0.42907074,False,False,False,False
Banco Santander Uruguay,legit_aug_banco-itaú-uruguay_v4_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.4286928,False,False,False,False
Banco Santander Uruguay,legit_aug_banco-itaú-uruguay_v6_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.42427576,False,False,False,False
Banco Santander Uruguay,legit_aug_banco-itaú-uruguay_v2_20251130T221016.png,BANCO (AUG),Banco Itaú Uruguay,0.4241941,False,False,False,False
Banco Santander Uruguay,random_kaspersky-com_20251129T163535.png,RANDOM,unknown,0.4236819,False,False,False,False
Banco Santander Uruguay,legit_aug_banco-itaú-uruguay_v7_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.42272764,False,False,False,False
Banco Santander Uruguay,random_t-me_20251129T163150.png,RANDOM,unknown,0.42197433,False,False,False,False
Banco Santander Uruguay,random_pixiv-net_20251129T175034.png,RANDOM,unknown,0.42145503,False,False,False,False
Banco Santander Uruguay,legit_aug_citibank-méxico_v7_20251130T221006.png,BANCO (AUG),Citibank México,0.41907948,False,False,False,False
Banco Santander Uruguay,random_moloco-com_20251129T174309.png,RANDOM,unknown,0.41836688,False,False,False,False
Banco Santander Uruguay,random_inmobi-com_20251129T164057.png,RANDOM,unknown,0.41740775,False,False,False,False
Banco Santander Uruguay,random_wordpress-com_20251129T163104.png,RANDOM,unknown,0.41689113,False,False,False,False
Banco Santander Uruguay,random_sharepoint-com_20251129T162653.png,RANDOM,unknown,0.41306537,False,False,False,False
Banco Santander Uruguay,legit_aug_citibank-méxico_v4_20251130T221006.png,BANCO (AUG),Citibank México,0.41108277,False,False,False,False
Banco Santander Uruguay,random_3lift-com_20251129T164553.png,RANDOM,unknown,0.40866733,False,False,False,False
Banco Santander Uruguay,legit_citibank-m-xico_20251102T195922.png,BANCO (REF),Citibank México,0.40794113,False,False,False,False
Banco Santander Uruguay,random_npr-org_20251129T170056.png,RANDOM,unknown,0.40661764,False,False,False,False
Banco Santander Uruguay,random_weather-com_20251129T164102.png,RANDOM,unknown,0.40417692,False,False,False,False
Banco Santander Uruguay,random_fastly-net_20251129T162620.png,RANDOM,unknown,0.403553,False,False,False,False
Banco Santander Uruguay,random_jimdo-com_20251129T180550.png,RANDOM,unknown,0.4026605,False,False,False,False
Banco Santander Uruguay,legit_aug_banco-azteca_v0_20251130T221008.png,BANCO (AUG),Banco Azteca,0.402068,False,False,False,False
Banco Santander Uruguay,random_seznam-cz_20251129T174202.png,RANDOM,unknown,0.40113765,False,False,False,False
Banco Santander Uruguay,random_nypost-com_20251129T171211.png,RANDOM,unknown,0.40110153,False,False,False,False
Banco Santander Uruguay,legit_produbanco_20251102T194118.png,BANCO (REF),Produbanco,0.39719138,False,False,False,False
Banco Santander Uruguay,random_tinkoff-ru_20251129T180016.png,RANDOM,unknown,0.39697543,False,False,False,False
Banco Santander Uruguay,random_notion-so_20251129T180340.png,RANDOM,unknown,0.396416,False,False,False,False
Banco Santander Uruguay,random_bitrix24-ru_20251129T173023.png,RANDOM,unknown,0.39602,False,False,False,False
Banco Santander Uruguay,random_wattpad-com_20251129T172204.png,RANDOM,unknown,0.39573026,False,False,False,False
Banco Santander Uruguay,legit_aug_citibank-méxico_v0_20251130T221006.png,BANCO (AUG),Citibank México,0.39562827,False,False,False,False
Banco Santander Uruguay,random_office-com_20251129T162404.png,RANDOM,unknown,0.39535052,False,False,False,False
Banco Santander Uruguay,random_alphonso-tv_20251129T175757.png,RANDOM,unknown,0.3936233,False,False,False,False
Banco Santander Uruguay,random_weforum-org_20251129T175009.png,RANDOM,unknown,0.39345378,False,False,False,False
Banco Santander Uruguay,random_smartadserver-com_20251129T164647.png,RANDOM,unknown,0.39307413,False,False,False,False
Banco Santander Uruguay,legit_aug_banco-azteca_v2_20251130T221008.png,BANCO (AUG),Banco Azteca,0.392617,False,False,False,False
Banco Santander Uruguay,legit_aug_citibank-méxico_v6_20251130T221006.png,BANCO (AUG),Citibank México,0.3909465,False,False,False,False
Banco Santander Uruguay,random_ad-nl_20251129T180833.png,RANDOM,unknown,0.39056757,False,False,False,False
Banco Santander Uruguay,legit_aug_produbanco_v6_20251130T221018.png,BANCO (AUG),Produbanco,0.3905583,False,False,False,False
Banco Santander Uruguay,legit_aug_citibank-méxico_v3_20251130T221006.png,BANCO (AUG),Citibank México,0.39038822,False,False,False,False
Banco Santander Uruguay,random_sharethrough-com_20251129T165851.png,RANDOM,unknown,0.38922155,False,False,False,False
Banco Santander Uruguay,legit_aug_produbanco_v5_20251130T221018.png,BANCO (AUG),Produbanco,0.38788164,False,False,False,False
Banco Santander Uruguay,legit_aug_produbanco_v4_20251130T221018.png,BANCO (AUG),Produbanco,0.38581574,False,False,False,False
Banco Santander Uruguay,legit_aug_produbanco_v2_20251130T221018.png,BANCO (AUG),Produbanco,0.3855245,False,False,False,False
Banco Santander Uruguay,random_zendesk-com_20251129T170406.png,RANDOM,unknown,0.38444945,False,False,False,False
Banco Santander Uruguay,legit_aug_citibank-méxico_v5_20251130T221006.png,BANCO (AUG),Citibank México,0.38398492,False,False,False,False
Banco Santander Uruguay,legit_aug_citibank-méxico_v8_20251130T221006.png,BANCO (AUG),Citibank México,0.38389826,False,False,False,False
Banco Santander Uruguay,legit_aug_produbanco_v8_20251130T221018.png,BANCO (AUG),Produbanco,0.38365722,False,False,False,False
Banco Santander Uruguay,random_xhamster-com_20251129T170839.png,RANDOM,unknown,0.38257006,False,False,False,False
Banco Santander Uruguay,legit_aug_produbanco_v3_20251130T221018.png,BANCO (AUG),Produbanco,0.38187853,False,False,False,False
Banco Santander Uruguay,random_indiamart-com_20251129T181043.png,RANDOM,unknown,0.38121033,False,False,False,False
Banco Santander Uruguay,random_att-com_20251129T180955.png,RANDOM,unknown,0.38058817,False,False,False,False
Banco Santander Uruguay,legit_aug_banco-azteca_v6_20251130T221008.png,BANCO (AUG),Banco Azteca,0.38029057,False,False,False,False
Banco Santander Uruguay,legit_aug_banco-safra_v8_20251130T221003.png,BANCO (AUG),Banco Safra,0.38011423,False,False,False,False
Banco Santander Uruguay,legit_aug_produbanco_v1_20251130T221018.png,BANCO (AUG),Produbanco,0.3800196,False,False,False,False
Banco Santander Uruguay,random_instructure-com_20251129T175109.png,RANDOM,unknown,0.3792176,False,False,False,False
Banco Santander Uruguay,random_zoom-us_20251129T162855.png,RANDOM,unknown,0.37901533,False,False,False,False
Banco Santander Uruguay,random_imgur-com_20251129T171357.png,RANDOM,unknown,0.37847668,False,False,False,False
Banco Santander Uruguay,random_netflix-com_20251129T162612.png,RANDOM,unknown,0.37845254,False,False,False,False
Banco Santander Uruguay,legit_aug_citibank-méxico_v9_20251130T221006.png,BANCO (AUG),Citibank México,0.37833592,False,False,False,False
Banco Santander Uruguay,random_sina-com-cn_20251129T170656.png,RANDOM,unknown,0.37809116,False,False,False,False
Banco Santander Uruguay,random_ibm-com_20251129T164343.png,RANDOM,unknown,0.37795156,False,False,False,False
Banco Santander Uruguay,random_ubi-com_20251129T181127.png,RANDOM,unknown,0.37598553,False,False,False,False
Banco Santander Uruguay,random_wyzecam-com_20251129T165523.png,RANDOM,unknown,0.37541485,False,False,False,False
Banco Santander Uruguay,legit_aug_produbanco_v0_20251130T221018.png,BANCO (AUG),Produbanco,0.37540972,False,False,False,False
Banco Santander Uruguay,legit_aug_produbanco_v9_20251130T221018.png,BANCO (AUG),Produbanco,0.37475422,False,False,False,False
Banco Santander Uruguay,random_xhamster44-desi_20251129T181233.png,RANDOM,unknown,0.37271583,False,False,False,False
Banco Santander Uruguay,random_android-com_20251129T163812.png,RANDOM,unknown,0.37079847,False,False,False,False
Banco Santander Uruguay,random_wix-com_20251129T171207.png,RANDOM,unknown,0.37045157,False,False,False,False
Banco Santander Uruguay,random_daum-net_20251129T174537.png,RANDOM,unknown,0.3698685,False,False,False,False
Banco Santander Uruguay,random_aniview-com_20251129T173804.png,RANDOM,unknown,0.36763376,False,False,False,False
Banco Santander Uruguay,random_paypal-com_20251129T163520.png,RANDOM,unknown,0.36605966,False,False,False,False
Banco Santander Uruguay,random_n-tv-de_20251129T180033.png,RANDOM,unknown,0.36583674,False,False,False,False
Banco Santander Uruguay,random_pinimg-com_20251129T172244.png,RANDOM,unknown,0.3651511,False,False,False,False
Banco Santander Uruguay,legit_aug_banco-azteca_v5_20251130T221008.png,BANCO (AUG),Banco Azteca,0.36481464,False,False,False,False
Banco Santander Uruguay,random_lavanguardia-com_20251129T175138.png,RANDOM,unknown,0.36440095,False,False,False,False
Banco Santander Uruguay,legit_aug_citibank-méxico_v1_20251130T221006.png,BANCO (AUG),Citibank México,0.36391813,False,False,False,False
Banco Santander Uruguay,random_gdemoideti-ru_20251129T172321.png,RANDOM,unknown,0.363912,False,False,False,False
Banco Santander Uruguay,random_unsplash-com_20251129T165115.png,RANDOM,unknown,0.36311966,False,False,False,False
Banco Santander Uruguay,random_duckduckgo-com_20251129T165354.png,RANDOM,unknown,0.36246032,False,False,False,False
Banco Santander Uruguay,random_soundcloud-com_20251129T163738.png,RANDOM,unknown,0.36182755,False,False,False,False
Banco Santander Uruguay,random_segment-io_20251129T174400.png,RANDOM,unknown,0.36140478,False,False,False,False
Banco Santander Uruguay,random_twitch-tv_20251129T164000.png,RANDOM,unknown,0.35984674,False,False,False,False
Banco Santander Uruguay,random_chaturbate-com_20251129T174521.png,RANDOM,unknown,0.35611898,False,False,False,False
Banco Santander Uruguay,random_gofundme-com_20251129T181222.png,RANDOM,unknown,0.35609937,False,False,False,False
Banco Santander Uruguay,legit_aug_banco-safra_v5_20251130T221003.png,BANCO (AUG),Banco Safra,0.3558241,False,False,False,False
Banco Santander Uruguay,random_coursera-org_20251129T180138.png,RANDOM,unknown,0.35581666,False,False,False,False
Banco Santander Uruguay,legit_banco-safra_20251102T191220.png,BANCO (REF),Banco Safra,0.3543064,False,False,False,False
Banco Santander Uruguay,random_washington-edu_20251129T173651.png,RANDOM,unknown,0.3537781,False,False,False,False
Banco Santander Uruguay,random_fandom-com_20251129T171413.png,RANDOM,unknown,0.35324812,False,False,False,False
Banco Santander Uruguay,random_linklist-bio_20251129T174110.png,RANDOM,unknown,0.35286963,False,False,False,False
Banco Santander Uruguay,random_debian-org_20251129T164620.png,RANDOM,unknown,0.35280916,False,False,False,False
Banco Santander Uruguay,legit_aug_banco-bradesco_v2_20251130T221001.png,BANCO (AUG),Banco Bradesco,0.35179758,False,False,False,False
Banco Santander Uruguay,random_nikkei-com_20251129T173427.png,RANDOM,unknown,0.35102278,False,False,False,False
