target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Security,legit_banco-security_20251102T200253.png,BANCO (REF),Banco Security,1.0000002,True,True,False,True
Banco Security,legit_aug_banco-security_v2_20251130T221014.png,BANCO (AUG),Banco Security,0.99092513,True,True,False,False
Banco Security,legit_aug_banco-security_v8_20251130T221015.png,BANCO (AUG),Banco Security,0.9890152,True,True,False,False
Banco Security,legit_aug_banco-security_v1_20251130T221014.png,BANCO (AUG),Banco Security,0.9879221,True,True,False,False
Banco Security,legit_aug_banco-security_v9_20251130T221015.png,BANCO (AUG),Banco Security,0.98337346,True,True,False,False
Banco Security,legit_aug_banco-security_v3_20251130T221015.png,BANCO (AUG),Banco Security,0.98079973,True,True,False,False
Banco Security,legit_aug_banco-security_v7_20251130T221015.png,BANCO (AUG),Banco Security,0.97939384,True,True,False,False
Banco Security,legit_aug_banco-security_v6_20251130T221015.png,BANCO (AUG),Banco Security,0.97392637,True,True,False,False
Banco Security,legit_aug_banco-security_v4_20251130T221015.png,BANCO (AUG),Banco Security,0.9668554,True,True,False,False
Banco Security,legit_aug_banco-security_v0_20251130T221014.png,BANCO (AUG),Banco Security,0.9581604,True,True,False,False
Banco Security,legit_aug_banco-security_v5_20251130T221015.png,BANCO (AUG),Banco Security,0.95656335,True,True,False,False
Banco Security,legit_banco-macro_20251102T193351.png,BANCO (REF),Banco Macro,0.6687156,False,False,False,False
Banco Security,legit_aug_banco-macro_v8_20251130T221014.png,BANCO (AUG),Banco Macro,0.6666237,False,False,False,False
Banco Security,legit_aug_banco-macro_v5_20251130T221013.png,BANCO (AUG),Banco Macro,0.66068375,False,False,False,False
Banco Security,legit_aug_banco-macro_v4_20251130T221013.png,BANCO (AUG),Banco Macro,0.6553453,False,False,False,False
Banco Security,legit_aug_banco-macro_v1_20251130T221013.png,BANCO (AUG),Banco Macro,0.65201914,False,False,False,False
Banco Security,legit_aug_banco-macro_v6_20251130T221013.png,BANCO (AUG),Banco Macro,0.6346147,False,False,False,False
