target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco de Chile,legit_banco-de-chile_20251102T191314.png,BANCO (REF),Banco de Chile,1.0000001,True,True,False,True
Banco de Chile,legit_aug_banco-de-chile_v4_20251130T221003.png,BANCO (AUG),Banco de Chile,0.99068296,True,True,False,False
Banco de Chile,legit_aug_banco-de-chile_v0_20251130T221003.png,BANCO (AUG),Banco de Chile,0.9899658,True,True,False,False
Banco de Chile,legit_aug_banco-de-chile_v5_20251130T221003.png,BANCO (AUG),Banco de Chile,0.9888467,True,True,False,False
Banco de Chile,legit_aug_banco-de-chile_v1_20251130T221003.png,BANCO (AUG),Banco de Chile,0.98369205,True,True,False,False
Banco de Chile,legit_aug_banco-de-chile_v3_20251130T221003.png,BANCO (AUG),Banco de Chile,0.98172927,True,True,False,False
Banco de Chile,legit_aug_banco-de-chile_v2_20251130T221003.png,BANCO (AUG),Banco de Chile,0.97995925,True,True,False,False
Banco de Chile,legit_aug_banco-de-chile_v6_20251130T221003.png,BANCO (AUG),Banco de Chile,0.97956896,True,True,False,False
Banco de Chile,legit_aug_banco-de-chile_v7_20251130T221003.png,BANCO (AUG),Banco de Chile,0.9764244,True,True,False,False
Banco de Chile,legit_aug_banco-de-chile_v8_20251130T221003.png,BANCO (AUG),Banco de Chile,0.9760956,True,True,False,False
Banco de Chile,legit_aug_banco-de-chile_v9_20251130T221003.png,BANCO (AUG),Banco de Chile,0.9737435,True,True,False,False
Banco de Chile,legit_aug_banco-bice_v5_20251130T221013.png,BANCO (AUG),Banco Bice,0.9596087,True,False,True,False
Banco de Chile,legit_aug_banco-bice_v1_20251130T221012.png,BANCO (AUG),Banco Bice,0.95797396,True,False,True,False
Banco de Chile,legit_aug_banco-bice_v3_20251130T221013.png,BANCO (AUG),Banco Bice,0.95794946,True,False,True,False
Banco de Chile,legit_banco-bice_20251102T193210.png,BANCO (REF),Banco Bice,0.95589566,True,False,True,False
Banco de Chile,legit_aug_banco-bice_v0_20251130T221012.png,BANCO (AUG),Banco Bice,0.9539082,True,False,True,False
Banco de Chile,legit_banco-agromercantil_20251102T194301.png,BANCO (REF),Banco Agromercantil,0.9532262,True,False,True,False
Banco de Chile,legit_aug_banco-bice_v6_20251130T221013.png,BANCO (AUG),Banco Bice,0.95258623,True,False,True,False
Banco de Chile,legit_aug_banco-bice_v4_20251130T221013.png,BANCO (AUG),Banco Bice,0.9525099,True,False,True,False
Banco de Chile,legit_aug_banco-bice_v7_20251130T221013.png,BANCO (AUG),Banco Bice,0.95242465,True,False,True,False
