target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco del Pacífico,legit_banco-del-pac-fico_20251102T194055.png,BANCO (REF),Banco del Pacífico,0.99999994,True,True,False,True
Banco del Pacífico,legit_aug_banco-del-pacífico_v7_20251130T221018.png,BANCO (AUG),Banco del Pacífico,0.98461866,True,True,False,False
Banco del Pacífico,legit_aug_banco-del-pacífico_v4_20251130T221017.png,BANCO (AUG),Banco del Pacífico,0.98269516,True,True,False,False
Banco del Pacífico,legit_aug_banco-del-pacífico_v3_20251130T221017.png,BANCO (AUG),Banco del Pacífico,0.9813714,True,True,False,False
Banco del Pacífico,legit_aug_banco-del-pacífico_v6_20251130T221018.png,BANCO (AUG),Banco del Pacífico,0.9811357,True,True,False,False
Banco del Pacífico,legit_aug_banco-del-pacífico_v0_20251130T221017.png,BANCO (AUG),Banco del Pacífico,0.97279894,True,True,False,False
Banco del Pacífico,legit_aug_banco-del-pacífico_v1_20251130T221017.png,BANCO (AUG),Banco del Pacífico,0.9673013,True,True,False,False
Banco del Pacífico,legit_aug_banco-del-pacífico_v5_20251130T221018.png,BANCO (AUG),Banco del Pacífico,0.9658395,True,True,False,False
Banco del Pacífico,legit_aug_banco-del-pacífico_v9_20251130T221018.png,BANCO (AUG),Banco del Pacífico,0.9656589,True,True,False,False
Banco del Pacífico,legit_aug_banco-del-pacífico_v2_20251130T221017.png,BANCO (AUG),Banco del Pacífico,0.9563174,True,True,False,False
Banco del Pacífico,legit_aug_banco-del-pacífico_v8_20251130T221018.png,BANCO (AUG),Banco del Pacífico,0.94301516,True,True,False,False
Banco del Pacífico,random_mit-edu_20251129T164041.png,RANDOM,unknown,0.8645879,True,False,True,False
Banco del Pacífico,legit_aug_banco-continental-paraguay_v9_20251130T221020.png,BANCO (AUG),Banco Continental Paraguay,0.8608633,True,False,True,False
