target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco do Brasil,legit_banco-do-brasil_20251102T195721.png,BANCO (REF),Banco do Brasil,1.0000001,True,True,False,True
Banco do Brasil,legit_aug_banco-do-brasil_v5_20251130T221001.png,BANCO (AUG),Banco do Brasil,0.9854433,True,True,False,False
Banco do Brasil,legit_aug_banco-do-brasil_v8_20251130T221001.png,BANCO (AUG),Banco do Brasil,0.9853221,True,True,False,False
Banco do Brasil,legit_aug_banco-do-brasil_v9_20251130T221001.png,BANCO (AUG),Banco do Brasil,0.98195255,True,True,False,False
Banco do Brasil,legit_aug_banco-do-brasil_v1_20251130T221001.png,BANCO (AUG),Banco do Brasil,0.9800415,True,True,False,False
Banco do Brasil,legit_aug_banco-do-brasil_v3_20251130T221001.png,BANCO (AUG),Banco do Brasil,0.9787871,True,True,False,False
Banco do Brasil,legit_aug_banco-do-brasil_v4_20251130T221001.png,BANCO (AUG),Banco do Brasil,0.97871524,True,True,False,False
Banco do Brasil,legit_aug_banco-do-brasil_v6_20251130T221001.png,BANCO (AUG),Banco do Brasil,0.9777899,True,True,False,False
Banco do Brasil,legit_aug_banco-do-brasil_v7_20251130T221001.png,BANCO (AUG),Banco do Brasil,0.97071785,True,True,False,False
Banco do Brasil,legit_aug_banco-do-brasil_v0_20251130T221001.png,BANCO (AUG),Banco do Brasil,0.9682796,True,True,False,False
Banco do Brasil,legit_aug_banco-do-brasil_v2_20251130T221001.png,BANCO (AUG),Banco do Brasil,0.9640244,True,True,False,False
Banco do Brasil,legit_aug_inbursa_v4_20251130T221006.png,BANCO (AUG),Inbursa,0.9267502,True,False,True,False
Banco do Brasil,legit_aug_inbursa_v0_20251130T221006.png,BANCO (AUG),Inbursa,0.9233106,True,False,True,False
Banco do Brasil,legit_aug_inbursa_v1_20251130T221006.png,BANCO (AUG),Inbursa,0.921868,True,False,True,False
