target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco do Nordeste,legit_banco-do-nordeste_20251102T193129.png,BANCO (REF),Banco do Nordeste,1.0000002,True,True,False,True
Banco do Nordeste,legit_aug_banco-do-nordeste_v2_20251130T221012.png,BANCO (AUG),Banco do Nordeste,0.9896867,True,True,False,False
Banco do Nordeste,legit_aug_banco-do-nordeste_v1_20251130T221012.png,BANCO (AUG),Banco do Nordeste,0.9844258,True,True,False,False
Banco do Nordeste,legit_aug_banco-do-nordeste_v5_20251130T221012.png,BANCO (AUG),Banco do Nordeste,0.9839642,True,True,False,False
Banco do Nordeste,legit_aug_banco-do-nordeste_v8_20251130T221012.png,BANCO (AUG),Banco do Nordeste,0.98146135,True,True,False,False
Banco do Nordeste,legit_aug_banco-do-nordeste_v7_20251130T221012.png,BANCO (AUG),Banco do Nordeste,0.9793901,True,True,False,False
Banco do Nordeste,legit_aug_banco-do-nordeste_v4_20251130T221012.png,BANCO (AUG),Banco do Nordeste,0.97779614,True,True,False,False
Banco do Nordeste,legit_aug_banco-do-nordeste_v6_20251130T221012.png,BANCO (AUG),Banco do Nordeste,0.97340536,True,True,False,False
Banco do Nordeste,legit_aug_banco-do-nordeste_v0_20251130T221012.png,BANCO (AUG),Banco do Nordeste,0.9700668,True,True,False,False
Banco do Nordeste,legit_aug_banco-do-nordeste_v3_20251130T221012.png,BANCO (AUG),Banco do Nordeste,0.9689113,True,True,False,False
Banco do Nordeste,legit_aug_banco-do-nordeste_v9_20251130T221012.png,BANCO (AUG),Banco do Nordeste,0.9666733,True,True,False,False
Banco do Nordeste,random_biblegateway-com_20251129T174224.png,RANDOM,unknown,0.939902,True,False,True,False
Banco do Nordeste,legit_aug_banco-ficohsa_v1_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.93012905,True,False,True,False
Banco do Nordeste,legit_aug_banco-ficohsa_v9_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.9299071,True,False,True,False
Banco do Nordeste,legit_aug_banco-falabella_v5_20251130T221015.png,BANCO (AUG),Banco Falabella,0.9293557,True,False,True,False
Banco do Nordeste,legit_aug_icbc-argentina_v3_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.9290377,True,False,True,False
Banco do Nordeste,legit_icbc-argentina_20251102T194411.png,BANCO (REF),ICBC Argentina,0.9278852,True,False,True,False
Banco do Nordeste,legit_aug_icbc-argentina_v0_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.9270214,True,False,True,False
Banco do Nordeste,legit_aug_banco-falabella_v1_20251130T221015.png,BANCO (AUG),Banco Falabella,0.9267615,True,False,True,False
Banco do Nordeste,legit_aug_icbc-argentina_v7_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.92635643,True,False,True,False
Banco do Nordeste,legit_aug_icbc-argentina_v4_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.9262659,True,False,True,False
Banco do Nordeste,random_consultant-ru_20251129T170354.png,RANDOM,unknown,0.92568,True,False,True,False
Banco do Nordeste,legit_aug_banco-falabella_v8_20251130T221015.png,BANCO (AUG),Banco Falabella,0.9255918,True,False,True,False
Banco do Nordeste,legit_banbif_20251102T194347.png,BANCO (REF),BanBif,0.9250597,True,False,True,False
Banco do Nordeste,legit_aug_banco-falabella_v4_20251130T221015.png,BANCO (AUG),Banco Falabella,0.924405,True,False,True,False
Banco do Nordeste,legit_aug_banco-ficohsa_v7_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.924043,True,False,True,False
Banco do Nordeste,legit_aug_icbc-argentina_v5_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.9240049,True,False,True,False
Banco do Nordeste,legit_aug_banco-ficohsa_v4_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.9238645,True,False,True,False
Banco do Nordeste,legit_aug_banco-ficohsa_v0_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.9231419,True,False,True,False
Banco do Nordeste,legit_aug_banbif_v0_20251130T221019.png,BANCO (AUG),BanBif,0.9230839,True,False,True,False
Banco do Nordeste,legit_aug_banco-ficohsa_v3_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.92213875,True,False,True,False
Banco do Nordeste,legit_aug_banbif_v9_20251130T221019.png,BANCO (AUG),BanBif,0.92197585,True,False,True,False
Banco do Nordeste,legit_aug_banco-falabella_v2_20251130T221015.png,BANCO (AUG),Banco Falabella,0.92162,True,False,True,False
Banco do Nordeste,legit_aug_banbif_v3_20251130T221019.png,BANCO (AUG),BanBif,0.9212074,True,False,True,False
Banco do Nordeste,legit_banco-ficohsa_20251102T194238.png,BANCO (REF),Banco Ficohsa,0.92118907,True,False,True,False
Banco do Nordeste,legit_aug_banco-ficohsa_v2_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.92100906,True,False,True,False
Banco do Nordeste,legit_aug_banco-falabella_v9_20251130T221015.png,BANCO (AUG),Banco Falabella,0.9206817,True,False,True,False
Banco do Nordeste,legit_aug_banco-falabella_v7_20251130T221015.png,BANCO (AUG),Banco Falabella,0.92065966,True,False,True,False
Banco do Nordeste,legit_aug_banco-ficohsa_v6_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.92017394,True,False,True,False
Banco do Nordeste,legit_aug_banbif_v7_20251130T221019.png,BANCO (AUG),BanBif,0.91976935,True,False,True,False
Banco do Nordeste,legit_aug_hsbc-méxico_v8_20251130T221004.png,BANCO (AUG),HSBC México,0.919235,True,False,True,False
