target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banistmo,legit_banistmo_20251102T193415.png,BANCO (REF),Banistmo,1.0000002,True,True,False,True
Banistmo,legit_aug_banistmo_v0_20251130T221014.png,BANCO (AUG),Banistmo,0.9943792,True,True,False,False
Banistmo,legit_aug_banistmo_v7_20251130T221014.png,BANCO (AUG),Banistmo,0.9938786,True,True,False,False
Banistmo,legit_aug_banistmo_v6_20251130T221014.png,BANCO (AUG),Banistmo,0.9905482,True,True,False,False
Banistmo,legit_aug_banistmo_v1_20251130T221014.png,BANCO (AUG),Banistmo,0.9903578,True,True,False,False
Banistmo,legit_aug_banistmo_v4_20251130T221014.png,BANCO (AUG),Banistmo,0.98914546,True,True,False,False
Banistmo,legit_aug_banistmo_v2_20251130T221014.png,BANCO (AUG),Banistmo,0.98805207,True,True,False,False
Banistmo,legit_aug_banistmo_v5_20251130T221014.png,BANCO (AUG),Banistmo,0.9866254,True,True,False,False
Banistmo,legit_aug_banistmo_v3_20251130T221014.png,BANCO (AUG),Banistmo,0.9858877,True,True,False,False
Banistmo,legit_aug_banistmo_v9_20251130T221014.png,BANCO (AUG),Banistmo,0.9857726,True,True,False,False
Banistmo,legit_aug_banistmo_v8_20251130T221014.png,BANCO (AUG),Banistmo,0.9815205,True,True,False,False
Banistmo,legit_scotiabank-per_20251102T192231.png,BANCO (REF),Scotiabank Perú,0.9458301,True,False,True,False
Banistmo,legit_hsbc-m-xico_20251102T191338.png,BANCO (REF),HSBC México,0.9450637,True,False,True,False
Banistmo,legit_aug_hsbc-méxico_v4_20251130T221004.png,BANCO (AUG),HSBC México,0.94406515,True,False,True,False
Banistmo,legit_aug_hsbc-méxico_v3_20251130T221004.png,BANCO (AUG),HSBC México,0.9420168,True,False,True,False
Banistmo,legit_aug_hsbc-méxico_v5_20251130T221004.png,BANCO (AUG),HSBC México,0.9398885,True,False,True,False
Banistmo,legit_aug_hsbc-méxico_v8_20251130T221004.png,BANCO (AUG),HSBC México,0.9395325,True,False,True,False
Banistmo,legit_aug_hsbc-méxico_v7_20251130T221004.png,BANCO (AUG),HSBC México,0.938801,True,False,True,False
Banistmo,legit_aug_scotiabank-perú_v0_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.9380472,True,False,True,False
Banistmo,legit_aug_scotiabank-perú_v4_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.93740225,True,False,True,False
Banistmo,legit_aug_hsbc-méxico_v9_20251130T221004.png,BANCO (AUG),HSBC México,0.93447334,True,False,True,False
Banistmo,legit_aug_hsbc-méxico_v2_20251130T221004.png,BANCO (AUG),HSBC México,0.9326332,True,False,True,False
Banistmo,legit_aug_scotiabank-perú_v1_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.9316267,True,False,True,False
Banistmo,legit_banco-galicia_20251102T192544.png,BANCO (REF),Banco Galicia,0.9305829,True,False,True,False
Banistmo,legit_aug_hsbc-méxico_v6_20251130T221004.png,BANCO (AUG),HSBC México,0.93036115,True,False,True,False
Banistmo,legit_aug_banco-bolivariano_v2_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.92750686,True,False,True,False
Banistmo,legit_banco-agromercantil_20251102T194301.png,BANCO (REF),Banco Agromercantil,0.9274603,True,False,True,False
Banistmo,random_google-com_20251129T162253.png,RANDOM,unknown,0.9261236,True,False,True,False
Banistmo,legit_aug_scotiabank-perú_v3_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.925866,True,False,True,False
Banistmo,legit_aug_scotiabank-perú_v7_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.9251114,True,False,True,False
Banistmo,legit_aug_banco-agromercantil_v7_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.9245098,True,False,True,False
Banistmo,legit_aug_banco-agromercantil_v1_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.92409515,True,False,True,False
Banistmo,legit_aug_banco-agromercantil_v0_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.9238149,True,False,True,False
Banistmo,legit_aug_banco-agromercantil_v6_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.92370784,True,False,True,False
Banistmo,legit_banco-ciudad-de-buenos-aires_20251102T194956.png,BANCO (REF),Banco Ciudad de Buenos Aires,0.9232937,True,False,True,False
Banistmo,legit_aug_banco-bolivariano_v6_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.9232481,True,False,True,False
Banistmo,legit_aug_scotiabank-perú_v2_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.92289174,True,False,True,False
Banistmo,legit_aug_banco-bolivariano_v4_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.92280865,True,False,True,False
Banistmo,legit_aug_banco-bolivariano_v5_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.92186713,True,False,True,False
