target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Citibank Brasil,legit_citibank-brasil_20251102T191550.png,BANCO (REF),Citibank Brasil,1.0,True,True,False,True
Citibank Brasil,legit_aug_citibank-brasil_v9_20251130T221006.png,BANCO (AUG),Citibank Brasil,0.97999936,True,True,False,False
Citibank Brasil,legit_aug_citibank-brasil_v3_20251130T221005.png,BANCO (AUG),Citibank Brasil,0.97063464,True,True,False,False
Citibank Brasil,legit_aug_citibank-brasil_v0_20251130T221005.png,BANCO (AUG),Citibank Brasil,0.9688394,True,True,False,False
Citibank Brasil,legit_aug_citibank-brasil_v8_20251130T221006.png,BANCO (AUG),Citibank Brasil,0.96847075,True,True,False,False
Citibank Brasil,legit_aug_citibank-brasil_v6_20251130T221005.png,BANCO (AUG),Citibank Brasil,0.9599288,True,True,False,False
Citibank Brasil,legit_aug_citibank-brasil_v7_20251130T221006.png,BANCO (AUG),Citibank Brasil,0.95448244,True,True,False,False
Citibank Brasil,legit_aug_citibank-brasil_v5_20251130T221005.png,BANCO (AUG),Citibank Brasil,0.94119525,True,True,False,False
Citibank Brasil,legit_aug_citibank-brasil_v1_20251130T221005.png,BANCO (AUG),Citibank Brasil,0.92910576,True,True,False,False
Citibank Brasil,legit_aug_citibank-brasil_v2_20251130T221005.png,BANCO (AUG),Citibank Brasil,0.90794647,True,True,False,False
Citibank Brasil,legit_aug_citibank-brasil_v4_20251130T221005.png,BANCO (AUG),Citibank Brasil,0.8730824,True,True,False,False
Citibank Brasil,legit_aug_colpatria_v5_20251130T221015.png,BANCO (AUG),Colpatria,0.21912909,False,False,False,False
Citibank Brasil,random_weforum-org_20251129T175009.png,RANDOM,unknown,0.21560256,False,False,False,False
Citibank Brasil,random_marriott-com_20251129T172613.png,RANDOM,unknown,0.20904413,False,False,False,False
Citibank Brasil,legit_aug_colpatria_v2_20251130T221015.png,BANCO (AUG),Colpatria,0.20799458,False,False,False,False
Citibank Brasil,legit_aug_colpatria_v1_20251130T221015.png,BANCO (AUG),Colpatria,0.20523216,False,False,False,False
Citibank Brasil,legit_aug_banrural_v5_20251130T221010.png,BANCO (AUG),Banrural,0.20371076,False,False,False,False
Citibank Brasil,legit_aug_colpatria_v8_20251130T221015.png,BANCO (AUG),Colpatria,0.20287956,False,False,False,False
Citibank Brasil,legit_aug_colpatria_v3_20251130T221015.png,BANCO (AUG),Colpatria,0.2014068,False,False,False,False
Citibank Brasil,random_lenovo-com_20251129T173507.png,RANDOM,unknown,0.20052622,False,False,False,False
Citibank Brasil,legit_aug_banrural_v3_20251130T221010.png,BANCO (AUG),Banrural,0.2003646,False,False,False,False
Citibank Brasil,legit_aug_banrural_v8_20251130T221010.png,BANCO (AUG),Banrural,0.19073279,False,False,False,False
Citibank Brasil,legit_aug_colpatria_v0_20251130T221015.png,BANCO (AUG),Colpatria,0.18903463,False,False,False,False
Citibank Brasil,legit_aug_colpatria_v9_20251130T221016.png,BANCO (AUG),Colpatria,0.18594205,False,False,False,False
