target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Citibank México,legit_citibank-m-xico_20251102T195922.png,BANCO (REF),Citibank México,1.0000002,True,True,False,True
Citibank México,legit_aug_citibank-méxico_v4_20251130T221006.png,BANCO (AUG),Citibank México,0.9807038,True,True,False,False
Citibank México,legit_aug_citibank-méxico_v7_20251130T221006.png,BANCO (AUG),Citibank México,0.9727477,True,True,False,False
Citibank México,legit_aug_citibank-méxico_v8_20251130T221006.png,BANCO (AUG),Citibank México,0.97257555,True,True,False,False
Citibank México,legit_aug_citibank-méxico_v6_20251130T221006.png,BANCO (AUG),Citibank México,0.9709059,True,True,False,False
Citibank México,legit_aug_citibank-méxico_v3_20251130T221006.png,BANCO (AUG),Citibank México,0.9689188,True,True,False,False
Citibank México,legit_aug_citibank-méxico_v0_20251130T221006.png,BANCO (AUG),Citibank México,0.9680066,True,True,False,False
Citibank México,legit_aug_citibank-méxico_v5_20251130T221006.png,BANCO (AUG),Citibank México,0.9636786,True,True,False,False
Citibank México,legit_aug_citibank-méxico_v9_20251130T221006.png,BANCO (AUG),Citibank México,0.9568279,True,True,False,False
Citibank México,legit_aug_citibank-méxico_v1_20251130T221006.png,BANCO (AUG),Citibank México,0.9443705,True,True,False,False
Citibank México,legit_aug_citibank-méxico_v2_20251130T221006.png,BANCO (AUG),Citibank México,0.85623205,True,True,False,False
Citibank México,legit_banco-nacional-panam_20251102T192611.png,BANCO (REF),Banco Nacional Panamá,0.69547194,False,False,False,False
Citibank México,legit_aug_banco-nacional-panamá_v2_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.6779164,False,False,False,False
Citibank México,random_sharethrough-com_20251129T165851.png,RANDOM,unknown,0.66270006,False,False,False,False
Citibank México,legit_aug_banco-nacional-panamá_v3_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.6587022,False,False,False,False
Citibank México,legit_aug_banco-nacional-panamá_v1_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.65536135,False,False,False,False
Citibank México,random_blogspot-com_20251129T163146.png,RANDOM,unknown,0.65443337,False,False,False,False
Citibank México,random_instructure-com_20251129T175109.png,RANDOM,unknown,0.6503956,False,False,False,False
Citibank México,legit_aug_banco-nacional-panamá_v7_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.6473867,False,False,False,False
Citibank México,legit_aug_banco-nacional-panamá_v6_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.64628124,False,False,False,False
Citibank México,random_3lift-com_20251129T164553.png,RANDOM,unknown,0.64378464,False,False,False,False
Citibank México,legit_aug_banco-nacional-panamá_v0_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.6428064,False,False,False,False
Citibank México,legit_aug_banco-nacional-panamá_v9_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.63874984,False,False,False,False
Citibank México,legit_aug_banco-nacional-panamá_v4_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.63823724,False,False,False,False
Citibank México,random_aboutads-info_20251129T171703.png,RANDOM,unknown,0.6298787,False,False,False,False
Citibank México,legit_aug_banco-nacional-de-bolivia_v2_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.62919587,False,False,False,False
Citibank México,legit_aug_scotiabank-chile_v3_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.62718046,False,False,False,False
Citibank México,legit_aug_scotiabank-chile_v2_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.62471426,False,False,False,False
Citibank México,legit_aug_scotiabank-chile_v6_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.6245939,False,False,False,False
Citibank México,legit_aug_banco-nacional-panamá_v8_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.6245799,False,False,False,False
Citibank México,legit_aug_scotiabank-chile_v0_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.62448114,False,False,False,False
Citibank México,legit_aug_scotiabank-chile_v8_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.62398607,False,False,False,False
Citibank México,random_apache-org_20251129T163228.png,RANDOM,unknown,0.6232035,False,False,False,False
Citibank México,legit_aug_banco-nacional-de-bolivia_v4_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.6230824,False,False,False,False
Citibank México,legit_aug_scotiabank-chile_v1_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.6227694,False,False,False,False
Citibank México,legit_scotiabank-chile_20251102T191440.png,BANCO (REF),Scotiabank Chile,0.62179524,False,False,False,False
Citibank México,legit_aug_scotiabank-chile_v7_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.620976,False,False,False,False
Citibank México,legit_aug_scotiabank-chile_v5_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.6195774,False,False,False,False
Citibank México,legit_aug_banco-nacional-de-bolivia_v5_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.6192859,False,False,False,False
Citibank México,random_inmobi-com_20251129T164057.png,RANDOM,unknown,0.61909056,False,False,False,False
Citibank México,legit_banco-nacional-de-bolivia_20251102T195022.png,BANCO (REF),Banco Nacional de Bolivia,0.6172432,False,False,False,False
Citibank México,legit_aug_banco-nacional-de-bolivia_v1_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.6143056,False,False,False,False
Citibank México,legit_aug_banco-nacional-panamá_v5_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.6142886,False,False,False,False
Citibank México,random_bitrix24-ru_20251129T173023.png,RANDOM,unknown,0.6138135,False,False,False,False
Citibank México,legit_aug_banco-nacional-de-bolivia_v9_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.61287594,False,False,False,False
Citibank México,legit_aug_scotiabank-chile_v4_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.6123135,False,False,False,False
Citibank México,legit_gnb-sudameris_20251102T193010.png,BANCO (REF),GNB Sudameris,0.6123036,False,False,False,False
Citibank México,legit_aug_banco-nacional-de-bolivia_v7_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.61190146,False,False,False,False
Citibank México,legit_aug_banco-nacional-de-bolivia_v3_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.61097825,False,False,False,False
Citibank México,legit_aug_scotiabank-chile_v9_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.6109056,False,False,False,False
Citibank México,legit_aug_gnb-sudameris_v7_20251130T221012.png,BANCO (AUG),GNB Sudameris,0.60983413,False,False,False,False
Citibank México,random_smartadserver-com_20251129T164647.png,RANDOM,unknown,0.60930717,False,False,False,False
Citibank México,legit_aug_banreservas_v0_20251130T221007.png,BANCO (AUG),BanReservas,0.6077919,False,False,False,False
Citibank México,legit_banco-falabella_20251102T193607.png,BANCO (REF),Banco Falabella,0.6074678,False,False,False,False
Citibank México,legit_aug_banco-nacional-de-bolivia_v0_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.6067528,False,False,False,False
Citibank México,random_jimdo-com_20251129T180550.png,RANDOM,unknown,0.6066726,False,False,False,False
Citibank México,legit_aug_banreservas_v2_20251130T221007.png,BANCO (AUG),BanReservas,0.60450286,False,False,False,False
Citibank México,legit_banreservas_20251102T192206.png,BANCO (REF),BanReservas,0.6038208,False,False,False,False
Citibank México,legit_aug_gnb-sudameris_v1_20251130T221011.png,BANCO (AUG),GNB Sudameris,0.60361886,False,False,False,False
Citibank México,legit_aug_banco-macro_v8_20251130T221014.png,BANCO (AUG),Banco Macro,0.60349584,False,False,False,False
Citibank México,legit_aug_banco-macro_v7_20251130T221013.png,BANCO (AUG),Banco Macro,0.6014914,False,False,False,False
Citibank México,legit_banco-macro_20251102T193351.png,BANCO (REF),Banco Macro,0.6005863,False,False,False,False
Citibank México,legit_aug_banco-nacional-de-bolivia_v8_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.5990102,False,False,False,False
Citibank México,legit_aug_banco-nacional-de-bolivia_v6_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.5989957,False,False,False,False
Citibank México,legit_aug_banco-macro_v4_20251130T221013.png,BANCO (AUG),Banco Macro,0.5988885,False,False,False,False
Citibank México,legit_aug_banreservas_v8_20251130T221008.png,BANCO (AUG),BanReservas,0.59864664,False,False,False,False
Citibank México,legit_aug_banreservas_v7_20251130T221008.png,BANCO (AUG),BanReservas,0.5977435,False,False,False,False
Citibank México,legit_aug_banco-macro_v1_20251130T221013.png,BANCO (AUG),Banco Macro,0.5976716,False,False,False,False
Citibank México,legit_aug_banco-macro_v9_20251130T221014.png,BANCO (AUG),Banco Macro,0.5976393,False,False,False,False
Citibank México,legit_aug_banreservas_v6_20251130T221008.png,BANCO (AUG),BanReservas,0.5959431,False,False,False,False
Citibank México,legit_aug_banreservas_v5_20251130T221007.png,BANCO (AUG),BanReservas,0.59583974,False,False,False,False
Citibank México,legit_aug_banreservas_v9_20251130T221008.png,BANCO (AUG),BanReservas,0.5952103,False,False,False,False
Citibank México,legit_aug_gnb-sudameris_v5_20251130T221011.png,BANCO (AUG),GNB Sudameris,0.59425366,False,False,False,False
Citibank México,legit_aug_banco-macro_v5_20251130T221013.png,BANCO (AUG),Banco Macro,0.5897893,False,False,False,False
Citibank México,legit_aug_gnb-sudameris_v4_20251130T221011.png,BANCO (AUG),GNB Sudameris,0.5884676,False,False,False,False
Citibank México,random_sharepoint-com_20251129T162653.png,RANDOM,unknown,0.58627653,False,False,False,False
Citibank México,legit_aug_banreservas_v1_20251130T221007.png,BANCO (AUG),BanReservas,0.58515066,False,False,False,False
Citibank México,random_npr-org_20251129T170056.png,RANDOM,unknown,0.58332735,False,False,False,False
Citibank México,random_indiamart-com_20251129T181043.png,RANDOM,unknown,0.5831579,False,False,False,False
Citibank México,legit_aug_gnb-sudameris_v2_20251130T221011.png,BANCO (AUG),GNB Sudameris,0.58291304,False,False,False,False
