target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Colpatria,legit_colpatria_20251102T193647.png,BANCO (REF),Colpatria,1.0000001,True,True,False,True
Colpatria,legit_aug_colpatria_v6_20251130T221015.png,BANCO (AUG),Colpatria,0.96654916,True,True,False,False
Colpatria,legit_aug_colpatria_v9_20251130T221016.png,BANCO (AUG),Colpatria,0.9491112,True,True,False,False
Colpatria,legit_aug_colpatria_v1_20251130T221015.png,BANCO (AUG),Colpatria,0.94835913,True,True,False,False
Colpatria,legit_aug_colpatria_v5_20251130T221015.png,BANCO (AUG),Colpatria,0.93873024,True,True,False,False
Colpatria,legit_aug_colpatria_v2_20251130T221015.png,BANCO (AUG),Colpatria,0.93718565,True,True,False,False
Colpatria,legit_aug_colpatria_v8_20251130T221015.png,BANCO (AUG),Colpatria,0.9370303,True,True,False,False
Colpatria,legit_aug_colpatria_v3_20251130T221015.png,BANCO (AUG),Colpatria,0.9334674,True,True,False,False
Colpatria,legit_aug_colpatria_v4_20251130T221015.png,BANCO (AUG),Colpatria,0.84866846,True,True,False,False
Colpatria,legit_aug_colpatria_v0_20251130T221015.png,BANCO (AUG),Colpatria,0.8399304,True,True,False,False
Colpatria,legit_aug_colpatria_v7_20251130T221015.png,BANCO (AUG),Colpatria,0.82089674,True,True,False,False
Colpatria,random_lenovo-com_20251129T173507.png,RANDOM,unknown,0.57055014,False,False,False,False
Colpatria,random_tencent-com_20251129T172804.png,RANDOM,unknown,0.552505,False,False,False,False
Colpatria,legit_aug_banco-internacional-chile_v2_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.48138326,False,False,False,False
Colpatria,random_telekom-net_20251129T171628.png,RANDOM,unknown,0.4729212,False,False,False,False
Colpatria,random_lefigaro-fr_20251129T173705.png,RANDOM,unknown,0.45432603,False,False,False,False
Colpatria,random_unsplash-com_20251129T165115.png,RANDOM,unknown,0.44396448,False,False,False,False
Colpatria,random_weforum-org_20251129T175009.png,RANDOM,unknown,0.43806005,False,False,False,False
Colpatria,legit_aug_banco-internacional-chile_v3_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.41282505,False,False,False,False
Colpatria,legit_banco-internacional-chile_20251102T194936.png,BANCO (REF),Banco Internacional Chile,0.4090007,False,False,False,False
Colpatria,random_wordpress-com_20251129T163104.png,RANDOM,unknown,0.40658188,False,False,False,False
Colpatria,legit_aug_banco-internacional-chile_v4_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.40448332,False,False,False,False
Colpatria,random_rightmove-co-uk_20251129T181007.png,RANDOM,unknown,0.3999123,False,False,False,False
Colpatria,legit_aug_banco-internacional-chile_v9_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.39915627,False,False,False,False
Colpatria,random_lavanguardia-com_20251129T175138.png,RANDOM,unknown,0.3989383,False,False,False,False
Colpatria,legit_aug_banco-internacional-chile_v1_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.39791805,False,False,False,False
Colpatria,legit_aug_banco-internacional-chile_v8_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.3934623,False,False,False,False
Colpatria,random_weather-com_20251129T164102.png,RANDOM,unknown,0.39326188,False,False,False,False
Colpatria,random_pixiv-net_20251129T175034.png,RANDOM,unknown,0.39277074,False,False,False,False
Colpatria,legit_aug_banco-internacional-chile_v6_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.39112198,False,False,False,False
Colpatria,random_deloitte-com_20251129T174606.png,RANDOM,unknown,0.39031515,False,False,False,False
Colpatria,legit_aug_banco-internacional-chile_v7_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.3879478,False,False,False,False
Colpatria,random_marriott-com_20251129T172613.png,RANDOM,unknown,0.38131788,False,False,False,False
Colpatria,legit_aug_banco-internacional-chile_v5_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.3812353,False,False,False,False
Colpatria,random_ietf-org_20251129T170606.png,RANDOM,unknown,0.37812534,False,False,False,False
Colpatria,random_ikea-com_20251129T171644.png,RANDOM,unknown,0.37734985,False,False,False,False
Colpatria,random_nu-nl_20251129T180732.png,RANDOM,unknown,0.3747066,False,False,False,False
