target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
GNB Sudameris,legit_gnb-sudameris_20251102T193010.png,BANCO (REF),GNB Sudameris,1.0,True,True,False,True
GNB Sudameris,legit_aug_gnb-sudameris_v5_20251130T221011.png,BANCO (AUG),GNB Sudameris,0.966934,True,True,False,False
GNB Sudameris,legit_aug_gnb-sudameris_v9_20251130T221012.png,BANCO (AUG),GNB Sudameris,0.9639126,True,True,False,False
GNB Sudameris,legit_aug_gnb-sudameris_v2_20251130T221011.png,BANCO (AUG),GNB Sudameris,0.9638602,True,True,False,False
GNB Sudameris,legit_aug_gnb-sudameris_v1_20251130T221011.png,BANCO (AUG),GNB Sudameris,0.94614774,True,True,False,False
GNB Sudameris,legit_aug_gnb-sudameris_v7_20251130T221012.png,BANCO (AUG),GNB Sudameris,0.945372,True,True,False,False
GNB Sudameris,legit_aug_gnb-sudameris_v0_20251130T221011.png,BANCO (AUG),GNB Sudameris,0.92882526,True,True,False,False
GNB Sudameris,legit_aug_gnb-sudameris_v4_20251130T221011.png,BANCO (AUG),GNB Sudameris,0.92317164,True,True,False,False
GNB Sudameris,legit_aug_gnb-sudameris_v3_20251130T221011.png,BANCO (AUG),GNB Sudameris,0.91791284,True,True,False,False
GNB Sudameris,legit_aug_gnb-sudameris_v6_20251130T221011.png,BANCO (AUG),GNB Sudameris,0.9070149,True,True,False,False
GNB Sudameris,legit_aug_gnb-sudameris_v8_20251130T221012.png,BANCO (AUG),GNB Sudameris,0.8627155,True,True,False,False
GNB Sudameris,random_livejournal-com_20251129T173358.png,RANDOM,unknown,0.6714237,False,False,False,False
GNB Sudameris,legit_aug_citibank-méxico_v3_20251130T221006.png,BANCO (AUG),Citibank México,0.6644286,False,False,False,False
GNB Sudameris,legit_aug_citibank-méxico_v8_20251130T221006.png,BANCO (AUG),Citibank México,0.63742054,False,False,False,False
GNB Sudameris,legit_aug_citibank-méxico_v0_20251130T221006.png,BANCO (AUG),Citibank México,0.634853,False,False,False,False
GNB Sudameris,legit_aug_citibank-méxico_v5_20251130T221006.png,BANCO (AUG),Citibank México,0.630867,False,False,False,False
GNB Sudameris,legit_banco-falabella_20251102T193607.png,BANCO (REF),Banco Falabella,0.63043404,False,False,False,False
GNB Sudameris,random_instructure-com_20251129T175109.png,RANDOM,unknown,0.62374544,False,False,False,False
GNB Sudameris,legit_aug_citibank-méxico_v6_20251130T221006.png,BANCO (AUG),Citibank México,0.62041414,False,False,False,False
GNB Sudameris,legit_aug_citibank-méxico_v9_20251130T221006.png,BANCO (AUG),Citibank México,0.61916983,False,False,False,False
GNB Sudameris,legit_aug_citibank-méxico_v1_20251130T221006.png,BANCO (AUG),Citibank México,0.6175461,False,False,False,False
GNB Sudameris,random_smartadserver-com_20251129T164647.png,RANDOM,unknown,0.6125004,False,False,False,False
GNB Sudameris,legit_citibank-m-xico_20251102T195922.png,BANCO (REF),Citibank México,0.6123036,False,False,False,False
GNB Sudameris,legit_aug_citibank-méxico_v4_20251130T221006.png,BANCO (AUG),Citibank México,0.61221933,False,False,False,False
GNB Sudameris,legit_aug_banco-nacional-de-costa-rica_v0_20251130T221008.png,BANCO (AUG),Banco Nacional de Costa Rica,0.60800564,False,False,False,False
GNB Sudameris,random_apache-org_20251129T163228.png,RANDOM,unknown,0.60749054,False,False,False,False
GNB Sudameris,random_intel-com_20251129T171229.png,RANDOM,unknown,0.6035999,False,False,False,False
GNB Sudameris,legit_aug_banco-nacional-de-costa-rica_v8_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.59312713,False,False,False,False
GNB Sudameris,legit_banco-nacional-panam_20251102T192611.png,BANCO (REF),Banco Nacional Panamá,0.5924963,False,False,False,False
GNB Sudameris,random_jimdo-com_20251129T180550.png,RANDOM,unknown,0.59195566,False,False,False,False
GNB Sudameris,legit_banco-nacional-de-costa-rica_20251102T192522.png,BANCO (REF),Banco Nacional de Costa Rica,0.5899633,False,False,False,False
GNB Sudameris,legit_aug_citibank-méxico_v7_20251130T221006.png,BANCO (AUG),Citibank México,0.5891364,False,False,False,False
GNB Sudameris,legit_aug_banco-nacional-de-costa-rica_v2_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.58728665,False,False,False,False
GNB Sudameris,legit_aug_banco-nacional-panamá_v3_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.58040273,False,False,False,False
GNB Sudameris,legit_aug_banco-nacional-de-costa-rica_v7_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.5800978,False,False,False,False
