target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Grupo Promerica,legit_grupo-promerica_20251102T193150.png,BANCO (REF),Grupo Promerica,1.0,True,True,False,True
Grupo Promerica,legit_aug_grupo-promerica_v6_20251130T221012.png,BANCO (AUG),Grupo Promerica,0.98631674,True,True,False,False
Grupo Promerica,legit_aug_grupo-promerica_v1_20251130T221012.png,BANCO (AUG),Grupo Promerica,0.98593175,True,True,False,False
Grupo Promerica,legit_aug_grupo-promerica_v7_20251130T221012.png,BANCO (AUG),Grupo Promerica,0.9798307,True,True,False,False
Grupo Promerica,legit_aug_grupo-promerica_v2_20251130T221012.png,BANCO (AUG),Grupo Promerica,0.97922254,True,True,False,False
Grupo Promerica,legit_aug_grupo-promerica_v0_20251130T221012.png,BANCO (AUG),Grupo Promerica,0.9761861,True,True,False,False
Grupo Promerica,legit_aug_grupo-promerica_v9_20251130T221012.png,BANCO (AUG),Grupo Promerica,0.93280625,True,True,False,False
Grupo Promerica,legit_aug_grupo-promerica_v8_20251130T221012.png,BANCO (AUG),Grupo Promerica,0.87092066,True,True,False,False
Grupo Promerica,legit_aug_grupo-promerica_v3_20251130T221012.png,BANCO (AUG),Grupo Promerica,0.8488978,True,True,False,False
Grupo Promerica,legit_aug_grupo-promerica_v4_20251130T221012.png,BANCO (AUG),Grupo Promerica,0.7807561,False,False,False,False
Grupo Promerica,random_cookielaw-org_20251129T164819.png,RANDOM,unknown,0.77299774,False,False,False,False
Grupo Promerica,legit_aug_sudameris-paraguay_v0_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.75650847,False,False,False,False
Grupo Promerica,random_wpguardian-com_20251129T180421.png,RANDOM,unknown,0.7514008,False,False,False,False
Grupo Promerica,legit_aug_sudameris-paraguay_v6_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.7507189,False,False,False,False
Grupo Promerica,legit_aug_banco-santander-argentina_v5_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.7490959,False,False,False,False
Grupo Promerica,legit_aug_banco-falabella_v1_20251130T221015.png,BANCO (AUG),Banco Falabella,0.7488423,False,False,False,False
Grupo Promerica,legit_aug_sudameris-paraguay_v3_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.74686253,False,False,False,False
Grupo Promerica,random_onetrust-com_20251129T171648.png,RANDOM,unknown,0.74652135,False,False,False,False
Grupo Promerica,legit_aug_banco-falabella_v8_20251130T221015.png,BANCO (AUG),Banco Falabella,0.74597216,False,False,False,False
