target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
HSBC México,legit_hsbc-m-xico_20251102T191338.png,BANCO (REF),HSBC México,0.99999994,True,True,False,True
HSBC México,legit_aug_hsbc-méxico_v3_20251130T221004.png,BANCO (AUG),HSBC México,0.9956682,True,True,False,False
HSBC México,legit_aug_hsbc-méxico_v8_20251130T221004.png,BANCO (AUG),HSBC México,0.9951389,True,True,False,False
HSBC México,legit_aug_hsbc-méxico_v5_20251130T221004.png,BANCO (AUG),HSBC México,0.9923171,True,True,False,False
HSBC México,legit_aug_hsbc-méxico_v4_20251130T221004.png,BANCO (AUG),HSBC México,0.9918841,True,True,False,False
HSBC México,legit_aug_hsbc-méxico_v7_20251130T221004.png,BANCO (AUG),HSBC México,0.982713,True,True,False,False
HSBC México,legit_aug_hsbc-méxico_v9_20251130T221004.png,BANCO (AUG),HSBC México,0.9824761,True,True,False,False
HSBC México,legit_aug_hsbc-méxico_v2_20251130T221004.png,BANCO (AUG),HSBC México,0.9823989,True,True,False,False
HSBC México,legit_aug_hsbc-méxico_v6_20251130T221004.png,BANCO (AUG),HSBC México,0.9821071,True,True,False,False
HSBC México,legit_aug_hsbc-méxico_v0_20251130T221003.png,BANCO (AUG),HSBC México,0.97741634,True,True,False,False
HSBC México,legit_aug_hsbc-méxico_v1_20251130T221004.png,BANCO (AUG),HSBC México,0.97527814,True,True,False,False
HSBC México,legit_aug_scotiabank-perú_v1_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.95785457,True,False,True,False
HSBC México,legit_aug_scotiabank-perú_v0_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.95531684,True,False,True,False
HSBC México,legit_aug_scotiabank-perú_v4_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.9544808,True,False,True,False
HSBC México,legit_banco-galicia_20251102T192544.png,BANCO (REF),Banco Galicia,0.95346195,True,False,True,False
HSBC México,legit_banco-bolivariano_20251102T194855.png,BANCO (REF),Banco Bolivariano,0.9533168,True,False,True,False
HSBC México,legit_aug_banco-bolivariano_v8_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.95321965,True,False,True,False
HSBC México,legit_scotiabank-per_20251102T192231.png,BANCO (REF),Scotiabank Perú,0.95277345,True,False,True,False
HSBC México,legit_aug_bbva-colombia_v8_20251130T221007.png,BANCO (AUG),BBVA Colombia,0.9516407,True,False,True,False
HSBC México,legit_aug_banco-bolivariano_v1_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.9503069,True,False,True,False
HSBC México,legit_aug_banbif_v9_20251130T221019.png,BANCO (AUG),BanBif,0.9502376,True,False,True,False
HSBC México,legit_aug_scotiabank-perú_v7_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.9498924,True,False,True,False
HSBC México,legit_aug_banistmo_v5_20251130T221014.png,BANCO (AUG),Banistmo,0.9498207,True,False,True,False
HSBC México,legit_aug_banco-bolivariano_v4_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.9494388,True,False,True,False
HSBC México,legit_aug_scotiabank-perú_v9_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.9492174,True,False,True,False
HSBC México,legit_aug_banco-galicia_v3_20251130T221009.png,BANCO (AUG),Banco Galicia,0.9487232,True,False,True,False
HSBC México,legit_aug_banco-bolivariano_v5_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.9486867,True,False,True,False
HSBC México,legit_aug_bbva-colombia_v6_20251130T221007.png,BANCO (AUG),BBVA Colombia,0.9486642,True,False,True,False
HSBC México,legit_aug_scotiabank-perú_v3_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.9484284,True,False,True,False
HSBC México,legit_aug_banco-galicia_v4_20251130T221009.png,BANCO (AUG),Banco Galicia,0.947966,True,False,True,False
HSBC México,legit_aug_banbif_v3_20251130T221019.png,BANCO (AUG),BanBif,0.947726,True,False,True,False
HSBC México,legit_banbif_20251102T194347.png,BANCO (REF),BanBif,0.94699997,True,False,True,False
HSBC México,legit_aug_banco-bolivariano_v2_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.94698656,True,False,True,False
HSBC México,legit_aug_banbif_v4_20251130T221019.png,BANCO (AUG),BanBif,0.9469099,True,False,True,False
