target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
ICBC Argentina,legit_icbc-argentina_20251102T194411.png,BANCO (REF),ICBC Argentina,1.0000001,True,True,False,True
ICBC Argentina,legit_aug_icbc-argentina_v3_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.9928152,True,True,False,False
ICBC Argentina,legit_aug_icbc-argentina_v0_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.9925723,True,True,False,False
ICBC Argentina,legit_aug_icbc-argentina_v7_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.98782015,True,True,False,False
ICBC Argentina,legit_aug_icbc-argentina_v9_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.98538804,True,True,False,False
ICBC Argentina,legit_aug_icbc-argentina_v5_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.98221123,True,True,False,False
ICBC Argentina,legit_aug_icbc-argentina_v4_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.9821496,True,True,False,False
ICBC Argentina,legit_aug_icbc-argentina_v2_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.9809572,True,True,False,False
ICBC Argentina,legit_aug_icbc-argentina_v8_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.97819996,True,True,False,False
ICBC Argentina,legit_aug_icbc-argentina_v1_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.97518146,True,True,False,False
ICBC Argentina,legit_aug_icbc-argentina_v6_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.969521,True,True,False,False
ICBC Argentina,random_flashscore-com_20251129T180535.png,RANDOM,unknown,0.9468144,True,False,True,False
ICBC Argentina,random_cnbc-com_20251129T165812.png,RANDOM,unknown,0.93449116,True,False,True,False
ICBC Argentina,random_wp-pl_20251129T172006.png,RANDOM,unknown,0.93338895,True,False,True,False
ICBC Argentina,random_lequipe-fr_20251129T180738.png,RANDOM,unknown,0.9290996,True,False,True,False
ICBC Argentina,legit_banco-do-nordeste_20251102T193129.png,BANCO (REF),Banco do Nordeste,0.9278852,True,False,True,False
ICBC Argentina,legit_aug_banco-do-nordeste_v2_20251130T221012.png,BANCO (AUG),Banco do Nordeste,0.9254569,True,False,True,False
ICBC Argentina,legit_banbif_20251102T194347.png,BANCO (REF),BanBif,0.9243576,True,False,True,False
ICBC Argentina,random_hotjar-com_20251129T171444.png,RANDOM,unknown,0.9220805,True,False,True,False
ICBC Argentina,legit_aug_banco-do-nordeste_v5_20251130T221012.png,BANCO (AUG),Banco do Nordeste,0.9211028,True,False,True,False
ICBC Argentina,random_ntp-org_20251129T162706.png,RANDOM,unknown,0.9210433,True,False,True,False
ICBC Argentina,legit_aug_banco-do-nordeste_v6_20251130T221012.png,BANCO (AUG),Banco do Nordeste,0.9197055,True,False,True,False
ICBC Argentina,legit_aug_bbva-méxico_v3_20251130T221002.png,BANCO (AUG),BBVA México,0.9195137,True,False,True,False
ICBC Argentina,random_cnn-com_20251129T163745.png,RANDOM,unknown,0.9191851,True,False,True,False
ICBC Argentina,random_onetrust-com_20251129T171648.png,RANDOM,unknown,0.9189936,True,False,True,False
ICBC Argentina,legit_hsbc-m-xico_20251102T191338.png,BANCO (REF),HSBC México,0.9171225,True,False,True,False
ICBC Argentina,random_quickconnect-to_20251129T172216.png,RANDOM,unknown,0.91705006,True,False,True,False
ICBC Argentina,random_consultant-ru_20251129T170354.png,RANDOM,unknown,0.91677517,True,False,True,False
ICBC Argentina,random_biblegateway-com_20251129T174224.png,RANDOM,unknown,0.9162991,True,False,True,False
ICBC Argentina,random_olx-pl_20251129T180727.png,RANDOM,unknown,0.9161432,True,False,True,False
ICBC Argentina,legit_aug_banco-do-nordeste_v1_20251130T221012.png,BANCO (AUG),Banco do Nordeste,0.9154793,True,False,True,False
ICBC Argentina,legit_aug_banco-provincia_v3_20251130T221013.png,BANCO (AUG),Banco Provincia,0.9146014,True,False,True,False
ICBC Argentina,random_arxiv-org_20251129T172000.png,RANDOM,unknown,0.9142698,True,False,True,False
ICBC Argentina,random_rbc-ru_20251129T173708.png,RANDOM,unknown,0.91425467,True,False,True,False
ICBC Argentina,legit_aug_banco-do-nordeste_v9_20251130T221012.png,BANCO (AUG),Banco do Nordeste,0.9139468,True,False,True,False
ICBC Argentina,random_nginx-com_20251129T163119.png,RANDOM,unknown,0.91342795,True,False,True,False
ICBC Argentina,legit_aug_banco-bice_v2_20251130T221012.png,BANCO (AUG),Banco Bice,0.912989,True,False,True,False
ICBC Argentina,legit_aug_bbva-méxico_v2_20251130T221002.png,BANCO (AUG),BBVA México,0.91270995,True,False,True,False
ICBC Argentina,legit_aug_banco-bice_v6_20251130T221013.png,BANCO (AUG),Banco Bice,0.912047,True,False,True,False
ICBC Argentina,legit_aug_bbva-méxico_v8_20251130T221002.png,BANCO (AUG),BBVA México,0.91203785,True,False,True,False
ICBC Argentina,random_nvidia-com_20251129T165205.png,RANDOM,unknown,0.9115873,True,False,True,False
ICBC Argentina,legit_aug_banco-do-nordeste_v7_20251130T221012.png,BANCO (AUG),Banco do Nordeste,0.91105264,True,False,True,False
ICBC Argentina,legit_bbva-m-xico_20251102T190939.png,BANCO (REF),BBVA México,0.9108874,True,False,True,False
ICBC Argentina,legit_aug_banco-do-nordeste_v3_20251130T221012.png,BANCO (AUG),Banco do Nordeste,0.91073966,True,False,True,False
ICBC Argentina,random_grammarly-com_20251129T164400.png,RANDOM,unknown,0.91030955,True,False,True,False
ICBC Argentina,legit_aug_bbva-colombia_v8_20251130T221007.png,BANCO (AUG),BBVA Colombia,0.91022897,True,False,True,False
ICBC Argentina,random_github-io_20251129T163235.png,RANDOM,unknown,0.90937126,True,False,True,False
ICBC Argentina,legit_aug_bbva-méxico_v7_20251130T221002.png,BANCO (AUG),BBVA México,0.9086707,True,False,True,False
ICBC Argentina,legit_aug_scotiabank-perú_v1_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.90866387,True,False,True,False
ICBC Argentina,random_deepl-com_20251129T172145.png,RANDOM,unknown,0.9083537,True,False,True,False
ICBC Argentina,legit_aug_banco-falabella_v1_20251130T221015.png,BANCO (AUG),Banco Falabella,0.90830153,True,False,True,False
ICBC Argentina,legit_aug_banco-provincia_v7_20251130T221013.png,BANCO (AUG),Banco Provincia,0.9082884,True,False,True,False
ICBC Argentina,legit_aug_hsbc-méxico_v8_20251130T221004.png,BANCO (AUG),HSBC México,0.90801287,True,False,True,False
ICBC Argentina,legit_aug_banbif_v4_20251130T221019.png,BANCO (AUG),BanBif,0.9077339,True,False,True,False
ICBC Argentina,legit_bbva-colombia_20251102T195957.png,BANCO (REF),BBVA Colombia,0.90742445,True,False,True,False
ICBC Argentina,legit_aug_bbva-méxico_v9_20251130T221002.png,BANCO (AUG),BBVA México,0.90737903,True,False,True,False
ICBC Argentina,legit_banco-bolivariano_20251102T194855.png,BANCO (REF),Banco Bolivariano,0.9069284,True,False,True,False
ICBC Argentina,legit_aug_banco-bice_v4_20251130T221013.png,BANCO (AUG),Banco Bice,0.906847,True,False,True,False
ICBC Argentina,legit_aug_banbif_v9_20251130T221019.png,BANCO (AUG),BanBif,0.90681237,True,False,True,False
ICBC Argentina,legit_aug_banco-bice_v3_20251130T221013.png,BANCO (AUG),Banco Bice,0.90622336,True,False,True,False
ICBC Argentina,legit_aug_banco-provincia_v1_20251130T221013.png,BANCO (AUG),Banco Provincia,0.90621257,True,False,True,False
ICBC Argentina,legit_aug_hsbc-méxico_v3_20251130T221004.png,BANCO (AUG),HSBC México,0.9059878,True,False,True,False
ICBC Argentina,legit_aug_banco-de-crédito-e-inversiones_v5_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.9057096,True,False,True,False
ICBC Argentina,legit_aug_banco-de-crédito-e-inversiones_v4_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.9056654,True,False,True,False
ICBC Argentina,legit_aug_banbif_v2_20251130T221019.png,BANCO (AUG),BanBif,0.90560406,True,False,True,False
ICBC Argentina,random_admanmedia-com_20251129T175644.png,RANDOM,unknown,0.9051292,True,False,True,False
ICBC Argentina,legit_aug_banco-falabella_v5_20251130T221015.png,BANCO (AUG),Banco Falabella,0.904971,True,False,True,False
