target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Produbanco,legit_produbanco_20251102T194118.png,BANCO (REF),Produbanco,1.0000002,True,True,False,True
Produbanco,legit_aug_produbanco_v6_20251130T221018.png,BANCO (AUG),Produbanco,0.9950166,True,True,False,False
Produbanco,legit_aug_produbanco_v5_20251130T221018.png,BANCO (AUG),Produbanco,0.99316,True,True,False,False
Produbanco,legit_aug_produbanco_v2_20251130T221018.png,BANCO (AUG),Produbanco,0.98944974,True,True,False,False
Produbanco,legit_aug_produbanco_v3_20251130T221018.png,BANCO (AUG),Produbanco,0.98273337,True,True,False,False
Produbanco,legit_aug_produbanco_v8_20251130T221018.png,BANCO (AUG),Produbanco,0.97674966,True,True,False,False
Produbanco,legit_aug_produbanco_v1_20251130T221018.png,BANCO (AUG),Produbanco,0.9698661,True,True,False,False
Produbanco,legit_aug_produbanco_v4_20251130T221018.png,BANCO (AUG),Produbanco,0.96972156,True,True,False,False
Produbanco,legit_aug_produbanco_v9_20251130T221018.png,BANCO (AUG),Produbanco,0.96944636,True,True,False,False
Produbanco,legit_aug_produbanco_v0_20251130T221018.png,BANCO (AUG),Produbanco,0.9623408,True,True,False,False
Produbanco,legit_aug_produbanco_v7_20251130T221018.png,BANCO (AUG),Produbanco,0.93853986,True,True,False,False
Produbanco,random_mega-co-nz_20251129T171404.png,RANDOM,unknown,0.7263137,False,False,False,False
Produbanco,random_moloco-com_20251129T174309.png,RANDOM,unknown,0.7168764,False,False,False,False
Produbanco,legit_aug_banreservas_v3_20251130T221007.png,BANCO (AUG),BanReservas,0.71347344,False,False,False,False
Produbanco,legit_aug_banco-santander-argentina_v9_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.7069023,False,False,False,False
Produbanco,legit_scotiabank-chile_20251102T191440.png,BANCO (REF),Scotiabank Chile,0.70076865,False,False,False,False
Produbanco,legit_aug_scotiabank-chile_v2_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.69711566,False,False,False,False
Produbanco,legit_aug_banco-santander-argentina_v4_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.695039,False,False,False,False
Produbanco,legit_banco-santander-argentina_20251102T192947.png,BANCO (REF),Banco Santander Argentina,0.69375455,False,False,False,False
Produbanco,legit_aug_banreservas_v8_20251130T221008.png,BANCO (AUG),BanReservas,0.6934306,False,False,False,False
Produbanco,legit_aug_banreservas_v1_20251130T221007.png,BANCO (AUG),BanReservas,0.69278795,False,False,False,False
Produbanco,legit_aug_scotiabank-chile_v0_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.6901698,False,False,False,False
Produbanco,legit_aug_banco-santander-argentina_v6_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.68941545,False,False,False,False
Produbanco,legit_aug_banco-santander-argentina_v7_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.6888237,False,False,False,False
Produbanco,legit_aug_banco-santander-argentina_v0_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.68825257,False,False,False,False
Produbanco,legit_aug_scotiabank-chile_v8_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.6875656,False,False,False,False
Produbanco,random_kaspersky-com_20251129T163535.png,RANDOM,unknown,0.68645513,False,False,False,False
Produbanco,legit_aug_banreservas_v2_20251130T221007.png,BANCO (AUG),BanReservas,0.6820039,False,False,False,False
Produbanco,legit_aug_banco-itaú-uruguay_v4_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.68170047,False,False,False,False
Produbanco,legit_aug_banco-itaú-uruguay_v3_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.6814509,False,False,False,False
Produbanco,legit_aug_banreservas_v9_20251130T221008.png,BANCO (AUG),BanReservas,0.68098134,False,False,False,False
