target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Scotiabank Chile,legit_scotiabank-chile_20251102T191440.png,BANCO (REF),Scotiabank Chile,1.0000002,True,True,False,True
Scotiabank Chile,legit_aug_scotiabank-chile_v4_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.9889873,True,True,False,False
Scotiabank Chile,legit_aug_scotiabank-chile_v7_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.98781496,True,True,False,False
Scotiabank Chile,legit_aug_scotiabank-chile_v0_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.9872643,True,True,False,False
Scotiabank Chile,legit_aug_scotiabank-chile_v5_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.98466265,True,True,False,False
Scotiabank Chile,legit_aug_scotiabank-chile_v2_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.9834992,True,True,False,False
Scotiabank Chile,legit_aug_scotiabank-chile_v8_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.98090816,True,True,False,False
Scotiabank Chile,legit_aug_scotiabank-chile_v3_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.980139,True,True,False,False
Scotiabank Chile,legit_aug_scotiabank-chile_v9_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.97974205,True,True,False,False
Scotiabank Chile,legit_aug_scotiabank-chile_v6_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.97789294,True,True,False,False
Scotiabank Chile,legit_aug_scotiabank-chile_v1_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.97020984,True,True,False,False
Scotiabank Chile,legit_aug_banreservas_v3_20251130T221007.png,BANCO (AUG),BanReservas,0.82506007,True,False,True,False
Scotiabank Chile,legit_banreservas_20251102T192206.png,BANCO (REF),BanReservas,0.8197885,True,False,True,False
Scotiabank Chile,legit_aug_banreservas_v8_20251130T221008.png,BANCO (AUG),BanReservas,0.81107664,True,False,True,False
Scotiabank Chile,legit_aug_banreservas_v0_20251130T221007.png,BANCO (AUG),BanReservas,0.8075857,True,False,True,False
Scotiabank Chile,legit_aug_banreservas_v2_20251130T221007.png,BANCO (AUG),BanReservas,0.8061562,True,False,True,False
Scotiabank Chile,legit_aug_banreservas_v1_20251130T221007.png,BANCO (AUG),BanReservas,0.80587626,True,False,True,False
Scotiabank Chile,legit_aug_banreservas_v7_20251130T221008.png,BANCO (AUG),BanReservas,0.8019057,True,False,True,False
Scotiabank Chile,legit_aug_banreservas_v5_20251130T221007.png,BANCO (AUG),BanReservas,0.7998731,False,False,False,False
Scotiabank Chile,legit_aug_banreservas_v6_20251130T221008.png,BANCO (AUG),BanReservas,0.79407144,False,False,False,False
Scotiabank Chile,legit_aug_banreservas_v9_20251130T221008.png,BANCO (AUG),BanReservas,0.7936449,False,False,False,False
Scotiabank Chile,legit_aug_banreservas_v4_20251130T221007.png,BANCO (AUG),BanReservas,0.7856176,False,False,False,False
Scotiabank Chile,random_imgsmail-ru_20251129T170637.png,RANDOM,unknown,0.72626996,False,False,False,False
Scotiabank Chile,legit_aug_produbanco_v4_20251130T221018.png,BANCO (AUG),Produbanco,0.72003603,False,False,False,False
Scotiabank Chile,random_apache-org_20251129T163228.png,RANDOM,unknown,0.71735656,False,False,False,False
Scotiabank Chile,random_wordpress-com_20251129T163104.png,RANDOM,unknown,0.708035,False,False,False,False
Scotiabank Chile,random_bitrix24-ru_20251129T173023.png,RANDOM,unknown,0.7029076,False,False,False,False
Scotiabank Chile,legit_produbanco_20251102T194118.png,BANCO (REF),Produbanco,0.70076865,False,False,False,False
Scotiabank Chile,random_ad-nl_20251129T180833.png,RANDOM,unknown,0.6990037,False,False,False,False
Scotiabank Chile,random_plesk-com_20251129T165342.png,RANDOM,unknown,0.69528437,False,False,False,False
Scotiabank Chile,legit_aug_produbanco_v9_20251130T221018.png,BANCO (AUG),Produbanco,0.6944877,False,False,False,False
Scotiabank Chile,legit_aug_produbanco_v5_20251130T221018.png,BANCO (AUG),Produbanco,0.6916445,False,False,False,False
Scotiabank Chile,legit_aug_produbanco_v6_20251130T221018.png,BANCO (AUG),Produbanco,0.6877283,False,False,False,False
Scotiabank Chile,random_att-com_20251129T180955.png,RANDOM,unknown,0.68746036,False,False,False,False
Scotiabank Chile,random_t-me_20251129T163150.png,RANDOM,unknown,0.6869535,False,False,False,False
Scotiabank Chile,legit_aug_banco-santander-argentina_v4_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.6801878,False,False,False,False
Scotiabank Chile,legit_aug_banco-santander-argentina_v9_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.6798501,False,False,False,False
Scotiabank Chile,random_afternic-com_20251129T170119.png,RANDOM,unknown,0.6791141,False,False,False,False
Scotiabank Chile,legit_aug_produbanco_v8_20251130T221018.png,BANCO (AUG),Produbanco,0.67874455,False,False,False,False
Scotiabank Chile,legit_aug_banco-itaú-uruguay_v2_20251130T221016.png,BANCO (AUG),Banco Itaú Uruguay,0.6773151,False,False,False,False
Scotiabank Chile,random_daum-net_20251129T174537.png,RANDOM,unknown,0.6738398,False,False,False,False
Scotiabank Chile,legit_aug_banco-itaú-uruguay_v1_20251130T221016.png,BANCO (AUG),Banco Itaú Uruguay,0.67262936,False,False,False,False
Scotiabank Chile,random_cloudinary-com_20251129T174018.png,RANDOM,unknown,0.67034054,False,False,False,False
Scotiabank Chile,legit_banco-santander-argentina_20251102T192947.png,BANCO (REF),Banco Santander Argentina,0.66932696,False,False,False,False
Scotiabank Chile,legit_aug_banco-santander-argentina_v6_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.6691467,False,False,False,False
Scotiabank Chile,random_zendesk-com_20251129T170406.png,RANDOM,unknown,0.6683782,False,False,False,False
Scotiabank Chile,random_mixpanel-com_20251129T172931.png,RANDOM,unknown,0.6660032,False,False,False,False
Scotiabank Chile,legit_aug_banco-santander-argentina_v0_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.6648159,False,False,False,False
Scotiabank Chile,legit_aug_produbanco_v3_20251130T221018.png,BANCO (AUG),Produbanco,0.664243,False,False,False,False
Scotiabank Chile,legit_aug_banco-santander-argentina_v7_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.65903705,False,False,False,False
Scotiabank Chile,random_seznam-cz_20251129T174202.png,RANDOM,unknown,0.6583111,False,False,False,False
Scotiabank Chile,random_mailinabox-email_20251129T164243.png,RANDOM,unknown,0.65822065,False,False,False,False
Scotiabank Chile,legit_aug_produbanco_v2_20251130T221018.png,BANCO (AUG),Produbanco,0.65679127,False,False,False,False
Scotiabank Chile,legit_aug_banco-itaú-uruguay_v4_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.6562951,False,False,False,False
Scotiabank Chile,random_stackoverflow-com_20251129T170622.png,RANDOM,unknown,0.6555755,False,False,False,False
Scotiabank Chile,random_usatoday-com_20251129T170649.png,RANDOM,unknown,0.6538676,False,False,False,False
Scotiabank Chile,legit_aug_banco-itaú-uruguay_v6_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.6523042,False,False,False,False
