target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Scotiabank Perú,legit_scotiabank-per_20251102T192231.png,BANCO (REF),Scotiabank Perú,0.9999999,True,True,False,True
Scotiabank Perú,legit_aug_scotiabank-perú_v5_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.9863564,True,True,False,False
Scotiabank Perú,legit_aug_scotiabank-perú_v0_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.98580337,True,True,False,False
Scotiabank Perú,legit_aug_scotiabank-perú_v4_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.98407125,True,True,False,False
Scotiabank Perú,legit_aug_scotiabank-perú_v1_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.98159564,True,True,False,False
Scotiabank Perú,legit_aug_scotiabank-perú_v7_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.9780293,True,True,False,False
Scotiabank Perú,legit_aug_scotiabank-perú_v9_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.97523665,True,True,False,False
Scotiabank Perú,legit_aug_scotiabank-perú_v8_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.9661941,True,True,False,False
Scotiabank Perú,legit_aug_scotiabank-perú_v6_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.9625334,True,True,False,False
Scotiabank Perú,legit_aug_scotiabank-perú_v2_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.9606312,True,True,False,False
Scotiabank Perú,legit_aug_hsbc-méxico_v8_20251130T221004.png,BANCO (AUG),HSBC México,0.9566387,True,False,True,False
Scotiabank Perú,legit_aug_scotiabank-perú_v3_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.95564115,True,True,False,False
Scotiabank Perú,legit_aug_hsbc-méxico_v5_20251130T221004.png,BANCO (AUG),HSBC México,0.9548791,True,False,True,False
Scotiabank Perú,legit_aug_hsbc-méxico_v9_20251130T221004.png,BANCO (AUG),HSBC México,0.9546479,True,False,True,False
Scotiabank Perú,legit_aug_hsbc-méxico_v3_20251130T221004.png,BANCO (AUG),HSBC México,0.9543624,True,False,True,False
Scotiabank Perú,legit_aug_banco-ficohsa_v3_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.9537254,True,False,True,False
Scotiabank Perú,legit_aug_banco-ficohsa_v6_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.9536809,True,False,True,False
Scotiabank Perú,legit_aug_hsbc-méxico_v6_20251130T221004.png,BANCO (AUG),HSBC México,0.95368063,True,False,True,False
Scotiabank Perú,legit_aug_banco-ficohsa_v1_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.9535274,True,False,True,False
Scotiabank Perú,legit_aug_hsbc-méxico_v4_20251130T221004.png,BANCO (AUG),HSBC México,0.9532118,True,False,True,False
Scotiabank Perú,legit_aug_hsbc-méxico_v2_20251130T221004.png,BANCO (AUG),HSBC México,0.9527804,True,False,True,False
Scotiabank Perú,legit_hsbc-m-xico_20251102T191338.png,BANCO (REF),HSBC México,0.95277345,True,False,True,False
