target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Sudameris Paraguay,legit_sudameris-paraguay_20251102T194916.png,BANCO (REF),Sudameris Paraguay,1.0000001,True,True,False,True
Sudameris Paraguay,legit_aug_sudameris-paraguay_v2_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.9930078,True,True,False,False
Sudameris Paraguay,legit_aug_sudameris-paraguay_v8_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.99241954,True,True,False,False
Sudameris Paraguay,legit_aug_sudameris-paraguay_v6_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.99211276,True,True,False,False
Sudameris Paraguay,legit_aug_sudameris-paraguay_v3_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.98569053,True,True,False,False
Sudameris Paraguay,legit_aug_sudameris-paraguay_v0_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.9809163,True,True,False,False
Sudameris Paraguay,legit_aug_sudameris-paraguay_v1_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.9729527,True,True,False,False
Sudameris Paraguay,legit_banco-ciudad-de-buenos-aires_20251102T194956.png,BANCO (REF),Banco Ciudad de Buenos Aires,0.9313642,True,False,True,False
Sudameris Paraguay,legit_aug_banco-ciudad-de-buenos-aires_v3_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.9290759,True,False,True,False
Sudameris Paraguay,legit_aug_banco-ciudad-de-buenos-aires_v8_20251130T221022.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.9260534,True,False,True,False
Sudameris Paraguay,legit_aug_banco-ciudad-de-buenos-aires_v4_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.9240625,True,False,True,False
Sudameris Paraguay,legit_aug_banco-ciudad-de-buenos-aires_v6_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.922874,True,False,True,False
Sudameris Paraguay,legit_aug_banco-ciudad-de-buenos-aires_v7_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.9226829,True,False,True,False
Sudameris Paraguay,legit_banco-agromercantil_20251102T194301.png,BANCO (REF),Banco Agromercantil,0.9226366,True,False,True,False
Sudameris Paraguay,legit_aug_banco-ciudad-de-buenos-aires_v5_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.9219852,True,False,True,False
Sudameris Paraguay,legit_aug_banco-ciudad-de-buenos-aires_v0_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.92141426,True,False,True,False
Sudameris Paraguay,legit_aug_banco-ciudad-de-buenos-aires_v2_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.92070615,True,False,True,False
Sudameris Paraguay,legit_aug_banco-agromercantil_v2_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.9179519,True,False,True,False
Sudameris Paraguay,legit_aug_banco-bolivariano_v6_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.9164197,True,False,True,False
Sudameris Paraguay,legit_aug_banco-agromercantil_v5_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.9148165,True,False,True,False
Sudameris Paraguay,legit_aug_banco-agromercantil_v7_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.9144219,True,False,True,False
Sudameris Paraguay,legit_aug_banco-itaú-chile_v7_20251130T221004.png,BANCO (AUG),Banco Itaú Chile,0.91435134,True,False,True,False
Sudameris Paraguay,legit_aug_banco-agromercantil_v0_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.91402835,True,False,True,False
Sudameris Paraguay,legit_aug_banco-bolivariano_v3_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.91368234,True,False,True,False
Sudameris Paraguay,random_ok-ru_20251129T164500.png,RANDOM,unknown,0.9135798,True,False,True,False
Sudameris Paraguay,legit_aug_banco-bolivariano_v5_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.9123135,True,False,True,False
Sudameris Paraguay,legit_aug_banco-de-chile_v5_20251130T221003.png,BANCO (AUG),Banco de Chile,0.9118878,True,False,True,False
Sudameris Paraguay,legit_aug_banco-bolivariano_v1_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.91135454,True,False,True,False
Sudameris Paraguay,legit_aug_banco-itaú-chile_v5_20251130T221004.png,BANCO (AUG),Banco Itaú Chile,0.91115713,True,False,True,False
