target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
BAC Credomatic,legit_bac-credomatic_20251102T191528.png,BANCO (REF),BAC Credomatic,0.99999994,True,True,False,True
BAC Credomatic,legit_aug_bac-credomatic_v4_20251130T221005.png,BANCO (AUG),BAC Credomatic,0.9647612,True,True,False,False
BAC Credomatic,legit_aug_bac-credomatic_v7_20251130T221005.png,BANCO (AUG),BAC Credomatic,0.9561027,True,True,False,False
BAC Credomatic,legit_aug_bac-credomatic_v0_20251130T221004.png,BANCO (AUG),BAC Credomatic,0.9404626,True,True,False,False
BAC Credomatic,legit_aug_bac-credomatic_v9_20251130T221005.png,BANCO (AUG),BAC Credomatic,0.9005159,True,True,False,False
BAC Credomatic,legit_aug_bac-credomatic_v8_20251130T221005.png,BANCO (AUG),BAC Credomatic,0.89567363,True,True,False,False
BAC Credomatic,legit_aug_bac-credomatic_v1_20251130T221004.png,BANCO (AUG),BAC Credomatic,0.885672,True,True,False,False
BAC Credomatic,legit_aug_bac-credomatic_v3_20251130T221005.png,BANCO (AUG),BAC Credomatic,0.8705851,True,True,False,False
BAC Credomatic,legit_aug_bac-credomatic_v5_20251130T221005.png,BANCO (AUG),BAC Credomatic,0.8670043,True,True,False,False
BAC Credomatic,legit_aug_bac-credomatic_v6_20251130T221005.png,BANCO (AUG),BAC Credomatic,0.84116614,True,True,False,False
BAC Credomatic,legit_aug_bac-credomatic_v2_20251130T221004.png,BANCO (AUG),BAC Credomatic,0.8408277,True,True,False,False
BAC Credomatic,legit_aug_citibank-méxico_v1_20251130T221006.png,BANCO (AUG),Citibank México,0.7537175,False,False,False,False
BAC Credomatic,legit_aug_banco-santander-uruguay_v5_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.7528522,False,False,False,False
BAC Credomatic,legit_banco-santander-uruguay_20251102T193706.png,BANCO (REF),Banco Santander Uruguay,0.74862814,False,False,False,False
BAC Credomatic,legit_aug_banco-nacional-panamá_v7_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.7474694,False,False,False,False
