target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
BBVA México,legit_bbva-m-xico_20251102T190939.png,BANCO (REF),BBVA México,1.0000002,True,True,False,True
BBVA México,legit_aug_bbva-méxico_v2_20251130T221002.png,BANCO (AUG),BBVA México,0.96612936,True,True,False,False
BBVA México,legit_aug_bbva-méxico_v8_20251130T221002.png,BANCO (AUG),BBVA México,0.95844734,True,True,False,False
BBVA México,legit_aug_bbva-méxico_v9_20251130T221002.png,BANCO (AUG),BBVA México,0.9584377,True,True,False,False
BBVA México,legit_aug_bbva-méxico_v5_20251130T221002.png,BANCO (AUG),BBVA México,0.952631,True,True,False,False
BBVA México,legit_aug_bbva-méxico_v6_20251130T221002.png,BANCO (AUG),BBVA México,0.9447466,True,True,False,False
BBVA México,legit_aug_bbva-méxico_v0_20251130T221002.png,BANCO (AUG),BBVA México,0.9447089,True,True,False,False
BBVA México,legit_aug_bbva-méxico_v7_20251130T221002.png,BANCO (AUG),BBVA México,0.9389037,True,True,False,False
BBVA México,legit_aug_bbva-méxico_v3_20251130T221002.png,BANCO (AUG),BBVA México,0.9362471,True,True,False,False
BBVA México,legit_aug_bbva-méxico_v1_20251130T221002.png,BANCO (AUG),BBVA México,0.92462254,True,True,False,False
BBVA México,legit_aug_bbva-méxico_v4_20251130T221002.png,BANCO (AUG),BBVA México,0.9246135,True,True,False,False
BBVA México,legit_aug_bbva-colombia_v5_20251130T221007.png,BANCO (AUG),BBVA Colombia,0.8566884,True,False,True,False
BBVA México,legit_aug_bbva-colombia_v1_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.8546323,True,False,True,False
BBVA México,legit_aug_bbva-colombia_v2_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.8522762,True,False,True,False
BBVA México,legit_aug_bbva-colombia_v7_20251130T221007.png,BANCO (AUG),BBVA Colombia,0.84981334,True,False,True,False
BBVA México,legit_aug_bbva-colombia_v4_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.84592366,True,False,True,False
BBVA México,legit_aug_bbva-colombia_v8_20251130T221007.png,BANCO (AUG),BBVA Colombia,0.84452015,True,False,True,False
BBVA México,legit_aug_bbva-colombia_v6_20251130T221007.png,BANCO (AUG),BBVA Colombia,0.84117824,True,False,True,False
BBVA México,legit_bbva-colombia_20251102T195957.png,BANCO (REF),BBVA Colombia,0.84076333,True,False,True,False
BBVA México,legit_inbursa_20251102T191735.png,BANCO (REF),Inbursa,0.8399399,True,False,True,False
BBVA México,legit_aug_bbva-colombia_v3_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.8394135,True,False,True,False
BBVA México,legit_aug_bbva-colombia_v9_20251130T221007.png,BANCO (AUG),BBVA Colombia,0.8338276,True,False,True,False
BBVA México,legit_aug_inbursa_v2_20251130T221006.png,BANCO (AUG),Inbursa,0.83314455,True,False,True,False
BBVA México,legit_aug_bbva-colombia_v0_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.8322834,True,False,True,False
BBVA México,legit_aug_inbursa_v0_20251130T221006.png,BANCO (AUG),Inbursa,0.8309624,True,False,True,False
