target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
BanReservas,legit_banreservas_20251102T192206.png,BANCO (REF),BanReservas,0.99999976,True,True,False,True
BanReservas,legit_aug_banreservas_v0_20251130T221007.png,BANCO (AUG),BanReservas,0.96883285,True,True,False,False
BanReservas,legit_aug_banreservas_v8_20251130T221008.png,BANCO (AUG),BanReservas,0.9666382,True,True,False,False
BanReservas,legit_aug_banreservas_v9_20251130T221008.png,BANCO (AUG),BanReservas,0.962413,True,True,False,False
BanReservas,legit_aug_banreservas_v6_20251130T221008.png,BANCO (AUG),BanReservas,0.9621871,True,True,False,False
BanReservas,legit_aug_banreservas_v5_20251130T221007.png,BANCO (AUG),BanReservas,0.9618301,True,True,False,False
BanReservas,legit_aug_banreservas_v1_20251130T221007.png,BANCO (AUG),BanReservas,0.9603984,True,True,False,False
BanReservas,legit_aug_banreservas_v4_20251130T221007.png,BANCO (AUG),BanReservas,0.96039456,True,True,False,False
BanReservas,legit_aug_banreservas_v7_20251130T221008.png,BANCO (AUG),BanReservas,0.9582838,True,True,False,False
BanReservas,legit_aug_banreservas_v2_20251130T221007.png,BANCO (AUG),BanReservas,0.95093244,True,True,False,False
BanReservas,legit_aug_banreservas_v3_20251130T221007.png,BANCO (AUG),BanReservas,0.95013905,True,True,False,False
BanReservas,legit_aug_banco-ciudad-de-buenos-aires_v0_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.76208615,False,False,False,False
BanReservas,legit_aug_banco-ciudad-de-buenos-aires_v8_20251130T221022.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.75804716,False,False,False,False
BanReservas,legit_aug_banco-ciudad-de-buenos-aires_v7_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.75769854,False,False,False,False
BanReservas,legit_banco-ciudad-de-buenos-aires_20251102T194956.png,BANCO (REF),Banco Ciudad de Buenos Aires,0.755415,False,False,False,False
BanReservas,legit_aug_banco-ciudad-de-buenos-aires_v4_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7551515,False,False,False,False
BanReservas,legit_aug_banco-ciudad-de-buenos-aires_v6_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.75254023,False,False,False,False
BanReservas,legit_aug_banco-ciudad-de-buenos-aires_v5_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.75120467,False,False,False,False
BanReservas,legit_aug_banco-ciudad-de-buenos-aires_v2_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.74866116,False,False,False,False
BanReservas,legit_aug_banco-de-chile_v2_20251130T221003.png,BANCO (AUG),Banco de Chile,0.746033,False,False,False,False
BanReservas,legit_aug_banco-de-chile_v7_20251130T221003.png,BANCO (AUG),Banco de Chile,0.74574125,False,False,False,False
BanReservas,legit_aug_banco-nacional-panamá_v5_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.7457366,False,False,False,False
BanReservas,legit_aug_banco-bice_v3_20251130T221013.png,BANCO (AUG),Banco Bice,0.7450706,False,False,False,False
BanReservas,legit_aug_banco-ciudad-de-buenos-aires_v3_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.74191153,False,False,False,False
BanReservas,legit_aug_banco-ciudad-de-buenos-aires_v1_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7413968,False,False,False,False
BanReservas,legit_aug_banco-de-chile_v4_20251130T221003.png,BANCO (AUG),Banco de Chile,0.74018764,False,False,False,False
BanReservas,legit_aug_banco-de-chile_v3_20251130T221003.png,BANCO (AUG),Banco de Chile,0.73939466,False,False,False,False
BanReservas,legit_aug_banco-ciudad-de-buenos-aires_v9_20251130T221022.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.73932713,False,False,False,False
BanReservas,legit_aug_banco-de-chile_v9_20251130T221003.png,BANCO (AUG),Banco de Chile,0.73835886,False,False,False,False
BanReservas,legit_aug_banco-bice_v2_20251130T221012.png,BANCO (AUG),Banco Bice,0.738068,False,False,False,False
BanReservas,legit_aug_banco-de-chile_v6_20251130T221003.png,BANCO (AUG),Banco de Chile,0.73721206,False,False,False,False
BanReservas,legit_aug_banco-de-chile_v1_20251130T221003.png,BANCO (AUG),Banco de Chile,0.7370807,False,False,False,False
BanReservas,legit_aug_banco-de-chile_v8_20251130T221003.png,BANCO (AUG),Banco de Chile,0.7361374,False,False,False,False
BanReservas,legit_aug_banco-nacional-panamá_v6_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.73574626,False,False,False,False
BanReservas,legit_aug_banco-de-chile_v0_20251130T221003.png,BANCO (AUG),Banco de Chile,0.7354055,False,False,False,False
