target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banca Afirme,legit_banca-afirme_20251102T200113.png,BANCO (REF),Banca Afirme,0.99999994,True,True,False,True
Banca Afirme,legit_aug_banca-afirme_v3_20251130T221011.png,BANCO (AUG),Banca Afirme,0.93294704,True,True,False,False
Banca Afirme,legit_aug_banca-afirme_v6_20251130T221011.png,BANCO (AUG),Banca Afirme,0.9295083,True,True,False,False
Banca Afirme,legit_aug_banca-afirme_v0_20251130T221010.png,BANCO (AUG),Banca Afirme,0.92464745,True,True,False,False
Banca Afirme,legit_aug_banca-afirme_v5_20251130T221011.png,BANCO (AUG),Banca Afirme,0.92069167,True,True,False,False
Banca Afirme,legit_aug_banca-afirme_v9_20251130T221011.png,BANCO (AUG),Banca Afirme,0.917132,True,True,False,False
Banca Afirme,legit_aug_banca-afirme_v1_20251130T221010.png,BANCO (AUG),Banca Afirme,0.9140496,True,True,False,False
Banca Afirme,legit_aug_banca-afirme_v2_20251130T221011.png,BANCO (AUG),Banca Afirme,0.8835854,True,True,False,False
Banca Afirme,legit_aug_banca-afirme_v4_20251130T221011.png,BANCO (AUG),Banca Afirme,0.87605745,True,True,False,False
Banca Afirme,legit_aug_banca-afirme_v7_20251130T221011.png,BANCO (AUG),Banca Afirme,0.85725933,True,True,False,False
Banca Afirme,legit_aug_banca-afirme_v8_20251130T221011.png,BANCO (AUG),Banca Afirme,0.8571108,True,True,False,False
Banca Afirme,legit_aug_banco-azteca_v0_20251130T221008.png,BANCO (AUG),Banco Azteca,0.7127874,False,False,False,False
Banca Afirme,legit_aug_banco-azteca_v2_20251130T221008.png,BANCO (AUG),Banco Azteca,0.7046221,False,False,False,False
Banca Afirme,legit_aug_gnb-sudameris_v6_20251130T221011.png,BANCO (AUG),GNB Sudameris,0.703642,False,False,False,False
Banca Afirme,legit_aug_banco-azteca_v4_20251130T221008.png,BANCO (AUG),Banco Azteca,0.70057577,False,False,False,False
Banca Afirme,legit_aug_banco-azteca_v8_20251130T221008.png,BANCO (AUG),Banco Azteca,0.70027816,False,False,False,False
Banca Afirme,legit_aug_banco-de-crédito-e-inversiones_v8_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.69956243,False,False,False,False
Banca Afirme,legit_aug_banco-azteca_v9_20251130T221008.png,BANCO (AUG),Banco Azteca,0.6943854,False,False,False,False
Banca Afirme,legit_aug_banco-nacional-panamá_v1_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.6932942,False,False,False,False
Banca Afirme,legit_aug_banco-azteca_v1_20251130T221008.png,BANCO (AUG),Banco Azteca,0.6918467,False,False,False,False
Banca Afirme,legit_aug_banco-azteca_v3_20251130T221008.png,BANCO (AUG),Banco Azteca,0.6888152,False,False,False,False
Banca Afirme,legit_aug_gnb-sudameris_v2_20251130T221011.png,BANCO (AUG),GNB Sudameris,0.68744504,False,False,False,False
Banca Afirme,legit_aug_banco-de-crédito-e-inversiones_v3_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.68715394,False,False,False,False
Banca Afirme,legit_aug_produbanco_v6_20251130T221018.png,BANCO (AUG),Produbanco,0.6851187,False,False,False,False
