target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Azteca,legit_banco-azteca_20251102T192503.png,BANCO (REF),Banco Azteca,1.0000002,True,True,False,True
Banco Azteca,legit_aug_banco-azteca_v2_20251130T221008.png,BANCO (AUG),Banco Azteca,0.97122765,True,True,False,False
Banco Azteca,legit_aug_banco-azteca_v6_20251130T221008.png,BANCO (AUG),Banco Azteca,0.9574278,True,True,False,False
Banco Azteca,legit_aug_banco-azteca_v9_20251130T221008.png,BANCO (AUG),Banco Azteca,0.95050174,True,True,False,False
Banco Azteca,legit_aug_banco-azteca_v7_20251130T221008.png,BANCO (AUG),Banco Azteca,0.9491894,True,True,False,False
Banco Azteca,legit_aug_banco-azteca_v5_20251130T221008.png,BANCO (AUG),Banco Azteca,0.947281,True,True,False,False
Banco Azteca,legit_aug_banco-azteca_v0_20251130T221008.png,BANCO (AUG),Banco Azteca,0.929798,True,True,False,False
Banco Azteca,legit_aug_banco-azteca_v4_20251130T221008.png,BANCO (AUG),Banco Azteca,0.9184846,True,True,False,False
Banco Azteca,legit_aug_banco-azteca_v3_20251130T221008.png,BANCO (AUG),Banco Azteca,0.90586627,True,True,False,False
Banco Azteca,legit_aug_banco-azteca_v8_20251130T221008.png,BANCO (AUG),Banco Azteca,0.90024173,True,True,False,False
Banco Azteca,legit_aug_banco-azteca_v1_20251130T221008.png,BANCO (AUG),Banco Azteca,0.8892821,True,True,False,False
Banco Azteca,legit_aug_banco-nacional-panamá_v2_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.81229126,True,False,True,False
Banco Azteca,legit_aug_banco-nacional-panamá_v7_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.80897725,True,False,True,False
Banco Azteca,legit_aug_banco-nacional-panamá_v9_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.80606925,True,False,True,False
Banco Azteca,legit_aug_banistmo_v7_20251130T221014.png,BANCO (AUG),Banistmo,0.8030429,True,False,True,False
Banco Azteca,legit_aug_banco-nacional-panamá_v1_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.79919857,False,False,False,False
Banco Azteca,legit_aug_banco-popular-costa-rica_v4_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.7987188,False,False,False,False
Banco Azteca,legit_aug_banistmo_v6_20251130T221014.png,BANCO (AUG),Banistmo,0.79534346,False,False,False,False
Banco Azteca,legit_aug_banco-nacional-panamá_v5_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.7935801,False,False,False,False
Banco Azteca,legit_aug_banistmo_v2_20251130T221014.png,BANCO (AUG),Banistmo,0.7933582,False,False,False,False
Banco Azteca,legit_scotiabank-chile_20251102T191440.png,BANCO (REF),Scotiabank Chile,0.7929137,False,False,False,False
Banco Azteca,legit_aug_banistmo_v4_20251130T221014.png,BANCO (AUG),Banistmo,0.7919387,False,False,False,False
Banco Azteca,legit_aug_banco-de-chile_v3_20251130T221003.png,BANCO (AUG),Banco de Chile,0.7906655,False,False,False,False
Banco Azteca,legit_aug_banistmo_v3_20251130T221014.png,BANCO (AUG),Banistmo,0.7901684,False,False,False,False
Banco Azteca,legit_aug_banistmo_v9_20251130T221014.png,BANCO (AUG),Banistmo,0.7873403,False,False,False,False
Banco Azteca,legit_banco-ciudad-de-buenos-aires_20251102T194956.png,BANCO (REF),Banco Ciudad de Buenos Aires,0.7864269,False,False,False,False
Banco Azteca,legit_aug_banco-popular-costa-rica_v5_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.78517056,False,False,False,False
Banco Azteca,legit_aug_banistmo_v1_20251130T221014.png,BANCO (AUG),Banistmo,0.7851695,False,False,False,False
Banco Azteca,legit_banistmo_20251102T193415.png,BANCO (REF),Banistmo,0.7850251,False,False,False,False
Banco Azteca,legit_aug_banistmo_v0_20251130T221014.png,BANCO (AUG),Banistmo,0.7846503,False,False,False,False
Banco Azteca,legit_aug_banco-de-chile_v7_20251130T221003.png,BANCO (AUG),Banco de Chile,0.7839374,False,False,False,False
Banco Azteca,legit_aug_banco-de-chile_v2_20251130T221003.png,BANCO (AUG),Banco de Chile,0.7839275,False,False,False,False
Banco Azteca,legit_aug_banistmo_v8_20251130T221014.png,BANCO (AUG),Banistmo,0.78343606,False,False,False,False
Banco Azteca,legit_aug_banco-de-crédito-e-inversiones_v2_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.7830996,False,False,False,False
Banco Azteca,legit_aug_banco-nacional-panamá_v6_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.78261244,False,False,False,False
Banco Azteca,legit_aug_banco-popular-costa-rica_v7_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.78257585,False,False,False,False
Banco Azteca,legit_banco-provincia_20251102T193232.png,BANCO (REF),Banco Provincia,0.7818725,False,False,False,False
Banco Azteca,legit_aug_banco-bice_v0_20251130T221012.png,BANCO (AUG),Banco Bice,0.78157794,False,False,False,False
Banco Azteca,legit_aug_banco-ciudad-de-buenos-aires_v5_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7813698,False,False,False,False
Banco Azteca,legit_aug_banco-ciudad-de-buenos-aires_v4_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.78072935,False,False,False,False
Banco Azteca,legit_aug_banco-popular-costa-rica_v2_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.779501,False,False,False,False
Banco Azteca,legit_aug_banco-bice_v3_20251130T221013.png,BANCO (AUG),Banco Bice,0.77932346,False,False,False,False
Banco Azteca,legit_aug_banca-afirme_v7_20251130T221011.png,BANCO (AUG),Banca Afirme,0.7790946,False,False,False,False
Banco Azteca,legit_aug_banco-popular-costa-rica_v9_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.77894795,False,False,False,False
Banco Azteca,legit_aug_banco-nacional-panamá_v0_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.7788964,False,False,False,False
Banco Azteca,legit_aug_scotiabank-chile_v5_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.7787827,False,False,False,False
Banco Azteca,legit_aug_banco-ciudad-de-buenos-aires_v3_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.77854383,False,False,False,False
Banco Azteca,legit_aug_icbc-argentina_v4_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.7780104,False,False,False,False
Banco Azteca,legit_aug_banco-popular-costa-rica_v0_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.7779108,False,False,False,False
Banco Azteca,legit_aug_scotiabank-chile_v4_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.7775354,False,False,False,False
Banco Azteca,legit_aug_banco-de-crédito-e-inversiones_v1_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.77718735,False,False,False,False
Banco Azteca,legit_aug_icbc-argentina_v5_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.7771822,False,False,False,False
Banco Azteca,legit_aug_banco-nacional-panamá_v4_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.77690077,False,False,False,False
