target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco BHD,legit_banco-bhd_20251102T193442.png,BANCO (REF),Banco BHD,1.0,True,True,False,True
Banco BHD,legit_aug_banco-bhd_v0_20251130T221014.png,BANCO (AUG),Banco BHD,0.95123774,True,True,False,False
Banco BHD,legit_aug_banco-bhd_v4_20251130T221014.png,BANCO (AUG),Banco BHD,0.94823164,True,True,False,False
Banco BHD,legit_aug_banco-bhd_v2_20251130T221014.png,BANCO (AUG),Banco BHD,0.94232273,True,True,False,False
Banco BHD,legit_aug_banco-bhd_v9_20251130T221014.png,BANCO (AUG),Banco BHD,0.93987775,True,True,False,False
Banco BHD,legit_aug_banco-bhd_v5_20251130T221014.png,BANCO (AUG),Banco BHD,0.93779665,True,True,False,False
Banco BHD,legit_aug_banco-bhd_v7_20251130T221014.png,BANCO (AUG),Banco BHD,0.93600845,True,True,False,False
Banco BHD,legit_aug_banco-bhd_v3_20251130T221014.png,BANCO (AUG),Banco BHD,0.93039554,True,True,False,False
Banco BHD,legit_aug_banco-bhd_v6_20251130T221014.png,BANCO (AUG),Banco BHD,0.91599905,True,True,False,False
Banco BHD,legit_aug_banco-bhd_v8_20251130T221014.png,BANCO (AUG),Banco BHD,0.91342676,True,True,False,False
Banco BHD,legit_aug_banco-bhd_v1_20251130T221014.png,BANCO (AUG),Banco BHD,0.9129472,True,True,False,False
Banco BHD,legit_aug_bbva-colombia_v2_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.7737166,False,False,False,False
Banco BHD,legit_aug_bbva-colombia_v5_20251130T221007.png,BANCO (AUG),BBVA Colombia,0.7713367,False,False,False,False
Banco BHD,legit_aug_bbva-colombia_v4_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.7708993,False,False,False,False
Banco BHD,legit_aug_banco-ciudad-de-buenos-aires_v0_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.76729256,False,False,False,False
Banco BHD,legit_aug_banco-ciudad-de-buenos-aires_v4_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.76711756,False,False,False,False
Banco BHD,legit_aug_banco-internacional-chile_v9_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.7663269,False,False,False,False
Banco BHD,legit_aug_banco-ciudad-de-buenos-aires_v6_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.76479363,False,False,False,False
Banco BHD,legit_scotiabank-chile_20251102T191440.png,BANCO (REF),Scotiabank Chile,0.76305157,False,False,False,False
Banco BHD,legit_aug_banco-ciudad-de-buenos-aires_v7_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7622749,False,False,False,False
Banco BHD,legit_banco-ciudad-de-buenos-aires_20251102T194956.png,BANCO (REF),Banco Ciudad de Buenos Aires,0.7622266,False,False,False,False
Banco BHD,legit_aug_banco-ciudad-de-buenos-aires_v2_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.76130515,False,False,False,False
Banco BHD,legit_aug_banco-agromercantil_v5_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.75978184,False,False,False,False
Banco BHD,legit_aug_scotiabank-chile_v7_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.7597666,False,False,False,False
Banco BHD,legit_aug_banco-ciudad-de-buenos-aires_v5_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.75976264,False,False,False,False
Banco BHD,legit_aug_banco-ciudad-de-buenos-aires_v8_20251130T221022.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.75847137,False,False,False,False
Banco BHD,legit_aug_banco-ciudad-de-buenos-aires_v3_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7572638,False,False,False,False
Banco BHD,legit_banco-agromercantil_20251102T194301.png,BANCO (REF),Banco Agromercantil,0.7567674,False,False,False,False
Banco BHD,legit_aug_bbva-colombia_v7_20251130T221007.png,BANCO (AUG),BBVA Colombia,0.7562635,False,False,False,False
Banco BHD,legit_aug_bbva-colombia_v1_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.75606596,False,False,False,False
Banco BHD,legit_aug_scotiabank-chile_v5_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.75582814,False,False,False,False
Banco BHD,legit_aug_banco-provincia_v4_20251130T221013.png,BANCO (AUG),Banco Provincia,0.7549636,False,False,False,False
Banco BHD,legit_aug_bbva-colombia_v0_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.7542294,False,False,False,False
Banco BHD,legit_aug_bbva-colombia_v3_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.7535829,False,False,False,False
Banco BHD,legit_bbva-colombia_20251102T195957.png,BANCO (REF),BBVA Colombia,0.75309527,False,False,False,False
Banco BHD,legit_aug_scotiabank-chile_v0_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.7517066,False,False,False,False
Banco BHD,legit_aug_bbva-méxico_v7_20251130T221002.png,BANCO (AUG),BBVA México,0.7513456,False,False,False,False
Banco BHD,legit_aug_bbva-colombia_v6_20251130T221007.png,BANCO (AUG),BBVA Colombia,0.7506875,False,False,False,False
Banco BHD,legit_aug_scotiabank-chile_v8_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.7503433,False,False,False,False
Banco BHD,legit_aug_interbank_v1_20251130T221007.png,BANCO (AUG),Interbank,0.74700105,False,False,False,False
Banco BHD,legit_aug_interbank_v3_20251130T221007.png,BANCO (AUG),Interbank,0.7469719,False,False,False,False
Banco BHD,legit_aug_banco-agromercantil_v3_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.7466698,False,False,False,False
