target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Bice,legit_banco-bice_20251102T193210.png,BANCO (REF),Banco Bice,1.0000001,True,True,False,True
Banco Bice,legit_aug_banco-bice_v8_20251130T221013.png,BANCO (AUG),Banco Bice,0.97485936,True,True,False,False
Banco Bice,legit_aug_banco-bice_v3_20251130T221013.png,BANCO (AUG),Banco Bice,0.9722145,True,True,False,False
Banco Bice,legit_aug_banco-bice_v7_20251130T221013.png,BANCO (AUG),Banco Bice,0.97084796,True,True,False,False
Banco Bice,legit_aug_banco-bice_v2_20251130T221012.png,BANCO (AUG),Banco Bice,0.9688053,True,True,False,False
Banco Bice,legit_aug_banco-bice_v0_20251130T221012.png,BANCO (AUG),Banco Bice,0.9609852,True,True,False,False
Banco Bice,legit_aug_banco-bice_v1_20251130T221012.png,BANCO (AUG),Banco Bice,0.9609418,True,True,False,False
Banco Bice,legit_aug_banco-bice_v4_20251130T221013.png,BANCO (AUG),Banco Bice,0.95835435,True,True,False,False
Banco Bice,legit_aug_banco-bice_v6_20251130T221013.png,BANCO (AUG),Banco Bice,0.95768076,True,True,False,False
Banco Bice,legit_aug_banco-bice_v9_20251130T221013.png,BANCO (AUG),Banco Bice,0.9490335,True,True,False,False
Banco Bice,legit_aug_banco-bice_v5_20251130T221013.png,BANCO (AUG),Banco Bice,0.9458904,True,True,False,False
Banco Bice,legit_aug_banco-ciudad-de-buenos-aires_v5_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.8903699,True,False,True,False
Banco Bice,legit_aug_banco-ciudad-de-buenos-aires_v3_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.88727343,True,False,True,False
Banco Bice,legit_aug_banco-de-chile_v3_20251130T221003.png,BANCO (AUG),Banco de Chile,0.8870417,True,False,True,False
Banco Bice,legit_banco-ciudad-de-buenos-aires_20251102T194956.png,BANCO (REF),Banco Ciudad de Buenos Aires,0.8865652,True,False,True,False
Banco Bice,legit_aug_banco-de-chile_v8_20251130T221003.png,BANCO (AUG),Banco de Chile,0.8824518,True,False,True,False
Banco Bice,legit_aug_banco-ciudad-de-buenos-aires_v8_20251130T221022.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.8821752,True,False,True,False
Banco Bice,legit_aug_banco-ciudad-de-buenos-aires_v4_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.8818896,True,False,True,False
Banco Bice,legit_aug_banco-ciudad-de-buenos-aires_v7_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.8815217,True,False,True,False
Banco Bice,legit_aug_banco-ciudad-de-buenos-aires_v9_20251130T221022.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.87900597,True,False,True,False
Banco Bice,legit_aug_banco-de-chile_v7_20251130T221003.png,BANCO (AUG),Banco de Chile,0.87884283,True,False,True,False
Banco Bice,legit_aug_banco-ciudad-de-buenos-aires_v6_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.8772894,True,False,True,False
Banco Bice,legit_aug_banco-de-chile_v1_20251130T221003.png,BANCO (AUG),Banco de Chile,0.8760514,True,False,True,False
Banco Bice,legit_aug_banco-de-chile_v0_20251130T221003.png,BANCO (AUG),Banco de Chile,0.87584335,True,False,True,False
Banco Bice,legit_aug_banco-ciudad-de-buenos-aires_v0_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.8752794,True,False,True,False
Banco Bice,legit_aug_banco-de-chile_v9_20251130T221003.png,BANCO (AUG),Banco de Chile,0.8751912,True,False,True,False
Banco Bice,legit_aug_banco-de-chile_v2_20251130T221003.png,BANCO (AUG),Banco de Chile,0.87392765,True,False,True,False
Banco Bice,legit_banco-bolivariano_20251102T194855.png,BANCO (REF),Banco Bolivariano,0.87095064,True,False,True,False
Banco Bice,legit_aug_banco-ciudad-de-buenos-aires_v2_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.870746,True,False,True,False
Banco Bice,legit_aug_banco-ciudad-de-buenos-aires_v1_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.87067336,True,False,True,False
Banco Bice,legit_aug_banco-de-chile_v6_20251130T221003.png,BANCO (AUG),Banco de Chile,0.8690289,True,False,True,False
Banco Bice,legit_aug_banco-de-chile_v4_20251130T221003.png,BANCO (AUG),Banco de Chile,0.868731,True,False,True,False
Banco Bice,legit_aug_banco-popular-costa-rica_v9_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.8664704,True,False,True,False
Banco Bice,legit_aug_banco-provincia_v9_20251130T221013.png,BANCO (AUG),Banco Provincia,0.8651496,True,False,True,False
Banco Bice,legit_aug_banco-de-chile_v5_20251130T221003.png,BANCO (AUG),Banco de Chile,0.8644724,True,False,True,False
Banco Bice,legit_banco-provincia_20251102T193232.png,BANCO (REF),Banco Provincia,0.86191845,True,False,True,False
Banco Bice,legit_aug_banco-provincia_v8_20251130T221013.png,BANCO (AUG),Banco Provincia,0.8616884,True,False,True,False
