target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Bradesco,legit_banco-bradesco_20251102T190853.png,BANCO (REF),Banco Bradesco,1.0000002,True,True,False,True
Banco Bradesco,legit_aug_banco-bradesco_v0_20251130T221001.png,BANCO (AUG),Banco Bradesco,0.95320123,True,True,False,False
Banco Bradesco,legit_aug_banco-bradesco_v6_20251130T221002.png,BANCO (AUG),Banco Bradesco,0.94938385,True,True,False,False
Banco Bradesco,legit_aug_banco-bradesco_v7_20251130T221002.png,BANCO (AUG),Banco Bradesco,0.94704616,True,True,False,False
Banco Bradesco,legit_aug_banco-bradesco_v4_20251130T221002.png,BANCO (AUG),Banco Bradesco,0.94663286,True,True,False,False
Banco Bradesco,legit_aug_banco-bradesco_v3_20251130T221001.png,BANCO (AUG),Banco Bradesco,0.94651026,True,True,False,False
Banco Bradesco,legit_aug_banco-bradesco_v8_20251130T221002.png,BANCO (AUG),Banco Bradesco,0.94468606,True,True,False,False
Banco Bradesco,legit_aug_banco-bradesco_v2_20251130T221001.png,BANCO (AUG),Banco Bradesco,0.9442908,True,True,False,False
Banco Bradesco,legit_aug_banco-bradesco_v9_20251130T221002.png,BANCO (AUG),Banco Bradesco,0.9404274,True,True,False,False
Banco Bradesco,legit_aug_banco-bradesco_v5_20251130T221002.png,BANCO (AUG),Banco Bradesco,0.9358853,True,True,False,False
Banco Bradesco,legit_aug_banco-bradesco_v1_20251130T221001.png,BANCO (AUG),Banco Bradesco,0.9340312,True,True,False,False
Banco Bradesco,random_gov-br_20251129T174615.png,RANDOM,unknown,0.81525946,True,False,True,False
Banco Bradesco,random_linklist-bio_20251129T174110.png,RANDOM,unknown,0.7761894,False,False,False,False
Banco Bradesco,legit_aug_scotiabank-chile_v1_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.77106136,False,False,False,False
Banco Bradesco,legit_aug_banco-safra_v8_20251130T221003.png,BANCO (AUG),Banco Safra,0.7570851,False,False,False,False
Banco Bradesco,legit_aug_scotiabank-chile_v7_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.7530563,False,False,False,False
