target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Caja Social,legit_banco-caja-social_20251102T194626.png,BANCO (REF),Banco Caja Social,1.0000002,True,True,False,True
Banco Caja Social,legit_aug_banco-caja-social_v9_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.9314608,True,True,False,False
Banco Caja Social,legit_aug_banco-caja-social_v6_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.9266557,True,True,False,False
Banco Caja Social,legit_aug_banco-caja-social_v5_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.9212035,True,True,False,False
Banco Caja Social,legit_aug_banco-caja-social_v7_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.9161745,True,True,False,False
Banco Caja Social,legit_aug_banco-caja-social_v2_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.91007555,True,True,False,False
Banco Caja Social,legit_aug_banco-caja-social_v8_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.90708697,True,True,False,False
Banco Caja Social,legit_aug_banco-caja-social_v4_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.9057918,True,True,False,False
Banco Caja Social,legit_aug_banco-caja-social_v3_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.9051092,True,True,False,False
Banco Caja Social,legit_aug_banco-caja-social_v1_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.88753456,True,True,False,False
Banco Caja Social,legit_aug_banco-caja-social_v0_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.86603785,True,True,False,False
Banco Caja Social,legit_banco-nacional-de-bolivia_20251102T195022.png,BANCO (REF),Banco Nacional de Bolivia,0.84466666,True,False,True,False
Banco Caja Social,legit_aug_banco-nacional-de-bolivia_v8_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.82709616,True,False,True,False
