target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Falabella,legit_banco-falabella_20251102T193607.png,BANCO (REF),Banco Falabella,1.0000002,True,True,False,True
Banco Falabella,legit_aug_banco-falabella_v2_20251130T221015.png,BANCO (AUG),Banco Falabella,0.95544314,True,True,False,False
Banco Falabella,legit_aug_banco-falabella_v3_20251130T221015.png,BANCO (AUG),Banco Falabella,0.94910717,True,True,False,False
Banco Falabella,legit_aug_banco-falabella_v8_20251130T221015.png,BANCO (AUG),Banco Falabella,0.94421124,True,True,False,False
Banco Falabella,legit_aug_banco-falabella_v1_20251130T221015.png,BANCO (AUG),Banco Falabella,0.9429921,True,True,False,False
Banco Falabella,legit_aug_banco-falabella_v7_20251130T221015.png,BANCO (AUG),Banco Falabella,0.9297993,True,True,False,False
Banco Falabella,legit_aug_banco-falabella_v9_20251130T221015.png,BANCO (AUG),Banco Falabella,0.91681397,True,True,False,False
Banco Falabella,legit_aug_banco-falabella_v0_20251130T221015.png,BANCO (AUG),Banco Falabella,0.90733075,True,True,False,False
Banco Falabella,legit_aug_banco-falabella_v5_20251130T221015.png,BANCO (AUG),Banco Falabella,0.9047785,True,True,False,False
Banco Falabella,legit_aug_banco-falabella_v6_20251130T221015.png,BANCO (AUG),Banco Falabella,0.90006226,True,True,False,False
Banco Falabella,legit_aug_banco-falabella_v4_20251130T221015.png,BANCO (AUG),Banco Falabella,0.89952165,True,True,False,False
Banco Falabella,legit_aug_banco-internacional-chile_v6_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.8655031,True,False,True,False
Banco Falabella,legit_aug_banco-internacional-chile_v5_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.86373395,True,False,True,False
Banco Falabella,legit_aug_banco-internacional-chile_v2_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.8611418,True,False,True,False
Banco Falabella,legit_aug_hsbc-méxico_v3_20251130T221004.png,BANCO (AUG),HSBC México,0.8571723,True,False,True,False
Banco Falabella,legit_aug_banco-internacional-chile_v9_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.8556788,True,False,True,False
Banco Falabella,legit_aug_banco-popular-costa-rica_v5_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.8529729,True,False,True,False
Banco Falabella,legit_aug_scotiabank-perú_v2_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.8511818,True,False,True,False
Banco Falabella,legit_aug_inbursa_v7_20251130T221006.png,BANCO (AUG),Inbursa,0.85088235,True,False,True,False
Banco Falabella,legit_aug_banco-internacional-chile_v1_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.8505477,True,False,True,False
Banco Falabella,legit_aug_inbursa_v2_20251130T221006.png,BANCO (AUG),Inbursa,0.8499788,True,False,True,False
Banco Falabella,legit_aug_scotiabank-perú_v9_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.8495043,True,False,True,False
Banco Falabella,legit_aug_banistmo_v6_20251130T221014.png,BANCO (AUG),Banistmo,0.84918463,True,False,True,False
Banco Falabella,legit_aug_banco-internacional-chile_v3_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.84903365,True,False,True,False
Banco Falabella,legit_aug_banistmo_v2_20251130T221014.png,BANCO (AUG),Banistmo,0.8476722,True,False,True,False
Banco Falabella,legit_aug_banco-internacional-chile_v0_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.8472195,True,False,True,False
Banco Falabella,legit_aug_banco-popular-costa-rica_v3_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.8472086,True,False,True,False
Banco Falabella,legit_aug_inbursa_v4_20251130T221006.png,BANCO (AUG),Inbursa,0.84700847,True,False,True,False
Banco Falabella,legit_aug_banistmo_v0_20251130T221014.png,BANCO (AUG),Banistmo,0.8468776,True,False,True,False
Banco Falabella,legit_aug_scotiabank-perú_v8_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.8467165,True,False,True,False
Banco Falabella,legit_aug_banistmo_v5_20251130T221014.png,BANCO (AUG),Banistmo,0.84644455,True,False,True,False
Banco Falabella,legit_aug_banco-bolivariano_v8_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.8462154,True,False,True,False
Banco Falabella,legit_aug_hsbc-méxico_v7_20251130T221004.png,BANCO (AUG),HSBC México,0.845682,True,False,True,False
Banco Falabella,legit_aug_hsbc-méxico_v1_20251130T221004.png,BANCO (AUG),HSBC México,0.84526,True,False,True,False
Banco Falabella,legit_aug_bbva-méxico_v0_20251130T221002.png,BANCO (AUG),BBVA México,0.8452008,True,False,True,False
Banco Falabella,legit_aug_hsbc-méxico_v9_20251130T221004.png,BANCO (AUG),HSBC México,0.84459305,True,False,True,False
Banco Falabella,legit_aug_banco-popular-costa-rica_v7_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.84438634,True,False,True,False
Banco Falabella,legit_aug_banistmo_v8_20251130T221014.png,BANCO (AUG),Banistmo,0.8442422,True,False,True,False
Banco Falabella,legit_aug_banistmo_v3_20251130T221014.png,BANCO (AUG),Banistmo,0.8435893,True,False,True,False
Banco Falabella,legit_aug_banistmo_v1_20251130T221014.png,BANCO (AUG),Banistmo,0.84224415,True,False,True,False
Banco Falabella,legit_aug_banistmo_v9_20251130T221014.png,BANCO (AUG),Banistmo,0.84187514,True,False,True,False
Banco Falabella,legit_aug_scotiabank-chile_v4_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.8418231,True,False,True,False
Banco Falabella,legit_aug_hsbc-méxico_v2_20251130T221004.png,BANCO (AUG),HSBC México,0.84147817,True,False,True,False
Banco Falabella,legit_aug_banco-popular-costa-rica_v2_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.8410712,True,False,True,False
Banco Falabella,legit_aug_scotiabank-chile_v5_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.8408266,True,False,True,False
Banco Falabella,legit_aug_inbursa_v8_20251130T221006.png,BANCO (AUG),Inbursa,0.84012556,True,False,True,False
Banco Falabella,legit_aug_scotiabank-perú_v4_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.8396319,True,False,True,False
Banco Falabella,legit_aug_scotiabank-chile_v0_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.83942056,True,False,True,False
Banco Falabella,legit_aug_inbursa_v9_20251130T221006.png,BANCO (AUG),Inbursa,0.83836484,True,False,True,False
Banco Falabella,legit_aug_bbva-méxico_v4_20251130T221002.png,BANCO (AUG),BBVA México,0.8383188,True,False,True,False
Banco Falabella,legit_aug_scotiabank-perú_v3_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.8382548,True,False,True,False
Banco Falabella,legit_aug_banco-de-crédito-e-inversiones_v3_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.8382354,True,False,True,False
Banco Falabella,legit_aug_inbursa_v0_20251130T221006.png,BANCO (AUG),Inbursa,0.83814543,True,False,True,False
Banco Falabella,legit_aug_scotiabank-chile_v9_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.837885,True,False,True,False
Banco Falabella,legit_aug_scotiabank-chile_v8_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.83760417,True,False,True,False
Banco Falabella,legit_aug_banco-popular-costa-rica_v0_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.83703554,True,False,True,False
Banco Falabella,legit_aug_inbursa_v3_20251130T221006.png,BANCO (AUG),Inbursa,0.8369664,True,False,True,False
Banco Falabella,legit_aug_hsbc-méxico_v5_20251130T221004.png,BANCO (AUG),HSBC México,0.8365666,True,False,True,False
Banco Falabella,legit_aug_hsbc-méxico_v4_20251130T221004.png,BANCO (AUG),HSBC México,0.83615255,True,False,True,False
Banco Falabella,legit_aug_inbursa_v6_20251130T221006.png,BANCO (AUG),Inbursa,0.83612114,True,False,True,False
Banco Falabella,legit_aug_banco-popular-costa-rica_v1_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.8353567,True,False,True,False
Banco Falabella,legit_aug_scotiabank-perú_v0_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.835318,True,False,True,False
Banco Falabella,legit_aug_banco-galicia_v9_20251130T221009.png,BANCO (AUG),Banco Galicia,0.8347848,True,False,True,False
Banco Falabella,legit_aug_inbursa_v1_20251130T221006.png,BANCO (AUG),Inbursa,0.8342411,True,False,True,False
Banco Falabella,legit_aug_hsbc-méxico_v8_20251130T221004.png,BANCO (AUG),HSBC México,0.8341935,True,False,True,False
Banco Falabella,legit_aug_banco-galicia_v5_20251130T221009.png,BANCO (AUG),Banco Galicia,0.8341013,True,False,True,False
Banco Falabella,legit_aug_banistmo_v4_20251130T221014.png,BANCO (AUG),Banistmo,0.83373857,True,False,True,False
Banco Falabella,legit_aug_scotiabank-perú_v1_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.8335431,True,False,True,False
Banco Falabella,legit_hsbc-m-xico_20251102T191338.png,BANCO (REF),HSBC México,0.8333888,True,False,True,False
Banco Falabella,legit_aug_banistmo_v7_20251130T221014.png,BANCO (AUG),Banistmo,0.83336437,True,False,True,False
Banco Falabella,legit_aug_banco-bolivariano_v5_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.83300555,True,False,True,False
Banco Falabella,legit_aug_banamex_v3_20251130T221003.png,BANCO (AUG),Banamex,0.83295834,True,False,True,False
Banco Falabella,legit_inbursa_20251102T191735.png,BANCO (REF),Inbursa,0.83266884,True,False,True,False
Banco Falabella,legit_aug_banco-popular-costa-rica_v6_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.832502,True,False,True,False
Banco Falabella,legit_aug_sudameris-paraguay_v4_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.832433,True,False,True,False
Banco Falabella,legit_aug_bbva-méxico_v5_20251130T221002.png,BANCO (AUG),BBVA México,0.83218616,True,False,True,False
Banco Falabella,legit_aug_banco-popular-costa-rica_v9_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.83214414,True,False,True,False
Banco Falabella,legit_aug_hsbc-méxico_v0_20251130T221003.png,BANCO (AUG),HSBC México,0.8320325,True,False,True,False
