target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Galicia,legit_banco-galicia_20251102T192544.png,BANCO (REF),Banco Galicia,0.9999999,True,True,False,True
Banco Galicia,legit_aug_banco-galicia_v4_20251130T221009.png,BANCO (AUG),Banco Galicia,0.9641007,True,True,False,False
Banco Galicia,legit_aug_banco-galicia_v3_20251130T221009.png,BANCO (AUG),Banco Galicia,0.9566665,True,True,False,False
Banco Galicia,legit_aug_banco-galicia_v7_20251130T221009.png,BANCO (AUG),Banco Galicia,0.9564466,True,True,False,False
Banco Galicia,legit_aug_banco-galicia_v6_20251130T221009.png,BANCO (AUG),Banco Galicia,0.9564187,True,True,False,False
Banco Galicia,legit_aug_banco-galicia_v1_20251130T221009.png,BANCO (AUG),Banco Galicia,0.9494288,True,True,False,False
Banco Galicia,legit_aug_banco-galicia_v0_20251130T221009.png,BANCO (AUG),Banco Galicia,0.94082695,True,True,False,False
Banco Galicia,legit_aug_banco-galicia_v9_20251130T221009.png,BANCO (AUG),Banco Galicia,0.93665457,True,True,False,False
Banco Galicia,legit_aug_banco-galicia_v5_20251130T221009.png,BANCO (AUG),Banco Galicia,0.93469054,True,True,False,False
Banco Galicia,legit_aug_banco-galicia_v2_20251130T221009.png,BANCO (AUG),Banco Galicia,0.93459135,True,True,False,False
Banco Galicia,legit_aug_banco-galicia_v8_20251130T221009.png,BANCO (AUG),Banco Galicia,0.9290712,True,True,False,False
Banco Galicia,legit_aug_banco-bolivariano_v2_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.8634634,True,False,True,False
Banco Galicia,legit_aug_banco-bolivariano_v1_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.85931194,True,False,True,False
Banco Galicia,legit_aug_banco-bolivariano_v6_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.8551357,True,False,True,False
Banco Galicia,legit_aug_banco-provincia_v4_20251130T221013.png,BANCO (AUG),Banco Provincia,0.8534558,True,False,True,False
Banco Galicia,legit_aug_banco-bolivariano_v8_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.85224473,True,False,True,False
Banco Galicia,legit_aug_banco-bolivariano_v5_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.85196745,True,False,True,False
Banco Galicia,legit_aug_banco-bolivariano_v3_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.8496981,True,False,True,False
Banco Galicia,legit_aug_banco-provincia_v1_20251130T221013.png,BANCO (AUG),Banco Provincia,0.8478247,True,False,True,False
Banco Galicia,legit_aug_banco-provincia_v2_20251130T221013.png,BANCO (AUG),Banco Provincia,0.84683716,True,False,True,False
Banco Galicia,legit_banco-provincia_20251102T193232.png,BANCO (REF),Banco Provincia,0.845329,True,False,True,False
Banco Galicia,legit_aug_banco-bolivariano_v9_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.84507614,True,False,True,False
Banco Galicia,legit_aug_banco-bolivariano_v7_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.8427603,True,False,True,False
Banco Galicia,legit_aug_banco-provincia_v7_20251130T221013.png,BANCO (AUG),Banco Provincia,0.84223664,True,False,True,False
Banco Galicia,legit_hsbc-m-xico_20251102T191338.png,BANCO (REF),HSBC México,0.8412434,True,False,True,False
Banco Galicia,legit_aug_hsbc-méxico_v3_20251130T221004.png,BANCO (AUG),HSBC México,0.84061646,True,False,True,False
Banco Galicia,legit_aug_banco-bolivariano_v0_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.83801526,True,False,True,False
Banco Galicia,legit_aug_banco-provincia_v8_20251130T221013.png,BANCO (AUG),Banco Provincia,0.83752674,True,False,True,False
Banco Galicia,legit_aug_hsbc-méxico_v7_20251130T221004.png,BANCO (AUG),HSBC México,0.835276,True,False,True,False
Banco Galicia,legit_aug_hsbc-méxico_v1_20251130T221004.png,BANCO (AUG),HSBC México,0.8343688,True,False,True,False
Banco Galicia,legit_aug_hsbc-méxico_v4_20251130T221004.png,BANCO (AUG),HSBC México,0.8341285,True,False,True,False
Banco Galicia,legit_aug_banco-provincia_v9_20251130T221013.png,BANCO (AUG),Banco Provincia,0.83369136,True,False,True,False
Banco Galicia,legit_aug_hsbc-méxico_v8_20251130T221004.png,BANCO (AUG),HSBC México,0.8334566,True,False,True,False
Banco Galicia,legit_aug_hsbc-méxico_v5_20251130T221004.png,BANCO (AUG),HSBC México,0.8326526,True,False,True,False
Banco Galicia,legit_aug_banco-bolivariano_v4_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.8323331,True,False,True,False
Banco Galicia,legit_banco-bolivariano_20251102T194855.png,BANCO (REF),Banco Bolivariano,0.8296136,True,False,True,False
Banco Galicia,legit_aug_banco-itaú-chile_v7_20251130T221004.png,BANCO (AUG),Banco Itaú Chile,0.8281897,True,False,True,False
Banco Galicia,legit_aug_banco-provincia_v5_20251130T221013.png,BANCO (AUG),Banco Provincia,0.8279968,True,False,True,False
Banco Galicia,legit_aug_banco-provincia_v3_20251130T221013.png,BANCO (AUG),Banco Provincia,0.8279001,True,False,True,False
