target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Itaú Chile,legit_banco-ita-chile_20251102T191505.png,BANCO (REF),Banco Itaú Chile,1.0000002,True,True,False,True
Banco Itaú Chile,legit_aug_banco-itaú-chile_v6_20251130T221004.png,BANCO (AUG),Banco Itaú Chile,0.9506397,True,True,False,False
Banco Itaú Chile,legit_aug_banco-itaú-chile_v7_20251130T221004.png,BANCO (AUG),Banco Itaú Chile,0.9478913,True,True,False,False
Banco Itaú Chile,legit_aug_banco-itaú-chile_v3_20251130T221004.png,BANCO (AUG),Banco Itaú Chile,0.94692004,True,True,False,False
Banco Itaú Chile,legit_aug_banco-itaú-chile_v9_20251130T221004.png,BANCO (AUG),Banco Itaú Chile,0.9468384,True,True,False,False
Banco Itaú Chile,legit_aug_banco-itaú-chile_v8_20251130T221004.png,BANCO (AUG),Banco Itaú Chile,0.9465512,True,True,False,False
Banco Itaú Chile,legit_aug_banco-itaú-chile_v5_20251130T221004.png,BANCO (AUG),Banco Itaú Chile,0.94607985,True,True,False,False
Banco Itaú Chile,legit_aug_banco-itaú-chile_v0_20251130T221004.png,BANCO (AUG),Banco Itaú Chile,0.94138277,True,True,False,False
Banco Itaú Chile,legit_aug_banco-itaú-chile_v4_20251130T221004.png,BANCO (AUG),Banco Itaú Chile,0.9399861,True,True,False,False
Banco Itaú Chile,legit_aug_banco-itaú-chile_v2_20251130T221004.png,BANCO (AUG),Banco Itaú Chile,0.93809223,True,True,False,False
Banco Itaú Chile,legit_aug_banco-itaú-chile_v1_20251130T221004.png,BANCO (AUG),Banco Itaú Chile,0.9374882,True,True,False,False
Banco Itaú Chile,legit_aug_banco-de-crédito-e-inversiones_v9_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.82097584,True,False,True,False
Banco Itaú Chile,legit_aug_banco-de-crédito-e-inversiones_v2_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.8165666,True,False,True,False
Banco Itaú Chile,legit_scotiabank-chile_20251102T191440.png,BANCO (REF),Scotiabank Chile,0.80976397,True,False,True,False
Banco Itaú Chile,legit_aug_banco-de-crédito-e-inversiones_v1_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.8094286,True,False,True,False
Banco Itaú Chile,legit_aug_bbva-méxico_v0_20251130T221002.png,BANCO (AUG),BBVA México,0.80863106,True,False,True,False
Banco Itaú Chile,legit_aug_banco-internacional-chile_v9_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.80558896,True,False,True,False
Banco Itaú Chile,legit_aug_scotiabank-chile_v7_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.80455005,True,False,True,False
Banco Itaú Chile,legit_aug_banco-de-crédito-e-inversiones_v3_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.8040149,True,False,True,False
Banco Itaú Chile,legit_aug_inbursa_v8_20251130T221006.png,BANCO (AUG),Inbursa,0.80328065,True,False,True,False
Banco Itaú Chile,legit_aug_banamex_v3_20251130T221003.png,BANCO (AUG),Banamex,0.80299145,True,False,True,False
Banco Itaú Chile,legit_aug_banco-bice_v0_20251130T221012.png,BANCO (AUG),Banco Bice,0.80288756,True,False,True,False
