target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Itaú Uruguay,legit_banco-ita-uruguay_20251102T193855.png,BANCO (REF),Banco Itaú Uruguay,1.0000001,True,True,False,True
Banco Itaú Uruguay,legit_aug_banco-itaú-uruguay_v9_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.964708,True,True,False,False
Banco Itaú Uruguay,legit_aug_banco-itaú-uruguay_v4_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.9630267,True,True,False,False
Banco Itaú Uruguay,legit_aug_banco-itaú-uruguay_v5_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.9616964,True,True,False,False
Banco Itaú Uruguay,legit_aug_banco-itaú-uruguay_v8_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.9608166,True,True,False,False
Banco Itaú Uruguay,legit_aug_banco-itaú-uruguay_v3_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.9595835,True,True,False,False
Banco Itaú Uruguay,legit_aug_banco-itaú-uruguay_v0_20251130T221016.png,BANCO (AUG),Banco Itaú Uruguay,0.95434666,True,True,False,False
Banco Itaú Uruguay,legit_aug_banco-itaú-uruguay_v2_20251130T221016.png,BANCO (AUG),Banco Itaú Uruguay,0.9439045,True,True,False,False
Banco Itaú Uruguay,legit_aug_banco-itaú-uruguay_v1_20251130T221016.png,BANCO (AUG),Banco Itaú Uruguay,0.93741703,True,True,False,False
Banco Itaú Uruguay,legit_aug_banco-itaú-uruguay_v6_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.9292852,True,True,False,False
Banco Itaú Uruguay,legit_aug_banco-itaú-uruguay_v7_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.92582935,True,True,False,False
Banco Itaú Uruguay,legit_aug_bbva-méxico_v0_20251130T221002.png,BANCO (AUG),BBVA México,0.83332455,True,False,True,False
Banco Itaú Uruguay,legit_aug_scotiabank-chile_v7_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.83108056,True,False,True,False
Banco Itaú Uruguay,legit_aug_bbva-méxico_v4_20251130T221002.png,BANCO (AUG),BBVA México,0.83066595,True,False,True,False
Banco Itaú Uruguay,legit_aug_banamex_v3_20251130T221003.png,BANCO (AUG),Banamex,0.8288808,True,False,True,False
Banco Itaú Uruguay,legit_aug_scotiabank-chile_v8_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.82041025,True,False,True,False
Banco Itaú Uruguay,legit_aug_scotiabank-chile_v9_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.81986654,True,False,True,False
Banco Itaú Uruguay,legit_scotiabank-chile_20251102T191440.png,BANCO (REF),Scotiabank Chile,0.8191382,True,False,True,False
Banco Itaú Uruguay,legit_aug_banamex_v4_20251130T221003.png,BANCO (AUG),Banamex,0.8187118,True,False,True,False
Banco Itaú Uruguay,legit_aug_scotiabank-chile_v0_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.8182305,True,False,True,False
Banco Itaú Uruguay,legit_aug_scotiabank-chile_v2_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.8175944,True,False,True,False
Banco Itaú Uruguay,legit_aug_banamex_v8_20251130T221003.png,BANCO (AUG),Banamex,0.8137075,True,False,True,False
Banco Itaú Uruguay,legit_aug_scotiabank-chile_v4_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.812826,True,False,True,False
Banco Itaú Uruguay,legit_aug_banco-itaú-chile_v1_20251130T221004.png,BANCO (AUG),Banco Itaú Chile,0.80872226,True,False,True,False
Banco Itaú Uruguay,legit_aug_scotiabank-chile_v5_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.80755943,True,False,True,False
Banco Itaú Uruguay,legit_aug_banco-popular-costa-rica_v7_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.80723786,True,False,True,False
Banco Itaú Uruguay,legit_aug_inbursa_v0_20251130T221006.png,BANCO (AUG),Inbursa,0.8057606,True,False,True,False
Banco Itaú Uruguay,legit_aug_scotiabank-chile_v1_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.8039206,True,False,True,False
Banco Itaú Uruguay,legit_aug_banco-popular-costa-rica_v2_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.80382526,True,False,True,False
Banco Itaú Uruguay,legit_aug_bbva-méxico_v3_20251130T221002.png,BANCO (AUG),BBVA México,0.8032665,True,False,True,False
