target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Macro,legit_banco-macro_20251102T193351.png,BANCO (REF),Banco Macro,1.0000002,True,True,False,True
Banco Macro,legit_aug_banco-macro_v1_20251130T221013.png,BANCO (AUG),Banco Macro,0.9578881,True,True,False,False
Banco Macro,legit_aug_banco-macro_v4_20251130T221013.png,BANCO (AUG),Banco Macro,0.95587146,True,True,False,False
Banco Macro,legit_aug_banco-macro_v5_20251130T221013.png,BANCO (AUG),Banco Macro,0.9531058,True,True,False,False
Banco Macro,legit_aug_banco-macro_v3_20251130T221013.png,BANCO (AUG),Banco Macro,0.95239854,True,True,False,False
Banco Macro,legit_aug_banco-macro_v2_20251130T221013.png,BANCO (AUG),Banco Macro,0.9506215,True,True,False,False
Banco Macro,legit_aug_banco-macro_v7_20251130T221013.png,BANCO (AUG),Banco Macro,0.94177806,True,True,False,False
Banco Macro,legit_aug_banco-macro_v9_20251130T221014.png,BANCO (AUG),Banco Macro,0.9351885,True,True,False,False
Banco Macro,legit_aug_banco-macro_v6_20251130T221013.png,BANCO (AUG),Banco Macro,0.9342972,True,True,False,False
Banco Macro,legit_aug_banco-macro_v8_20251130T221014.png,BANCO (AUG),Banco Macro,0.9325063,True,True,False,False
Banco Macro,legit_aug_banco-macro_v0_20251130T221013.png,BANCO (AUG),Banco Macro,0.880961,True,True,False,False
Banco Macro,legit_aug_banco-nacional-panamá_v4_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.81524396,True,False,True,False
Banco Macro,legit_aug_banco-nacional-panamá_v9_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.81456214,True,False,True,False
Banco Macro,legit_banco-ciudad-de-buenos-aires_20251102T194956.png,BANCO (REF),Banco Ciudad de Buenos Aires,0.80432093,True,False,True,False
Banco Macro,legit_aug_banco-nacional-panamá_v5_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.8036046,True,False,True,False
Banco Macro,legit_aug_banco-ciudad-de-buenos-aires_v7_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.80269843,True,False,True,False
Banco Macro,legit_aug_banco-ciudad-de-buenos-aires_v8_20251130T221022.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.80071425,True,False,True,False
Banco Macro,legit_aug_banco-ciudad-de-buenos-aires_v0_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.80047506,True,False,True,False
Banco Macro,legit_aug_banco-nacional-panamá_v7_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.7987909,False,False,False,False
Banco Macro,legit_aug_banco-ciudad-de-buenos-aires_v6_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7963153,False,False,False,False
Banco Macro,legit_aug_banco-ciudad-de-buenos-aires_v4_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.79629815,False,False,False,False
Banco Macro,legit_aug_banco-ciudad-de-buenos-aires_v5_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.79560643,False,False,False,False
Banco Macro,legit_aug_banco-ciudad-de-buenos-aires_v2_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.79241616,False,False,False,False
Banco Macro,legit_aug_banco-ciudad-de-buenos-aires_v3_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7922424,False,False,False,False
Banco Macro,legit_aug_banco-nacional-panamá_v1_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.7906045,False,False,False,False
Banco Macro,legit_aug_banco-nacional-panamá_v2_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.78972965,False,False,False,False
Banco Macro,legit_aug_banco-security_v8_20251130T221015.png,BANCO (AUG),Banco Security,0.78701377,False,False,False,False
Banco Macro,legit_aug_banco-ciudad-de-buenos-aires_v9_20251130T221022.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7865357,False,False,False,False
Banco Macro,legit_aug_banco-nacional-panamá_v0_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.7818074,False,False,False,False
Banco Macro,legit_aug_banco-nacional-panamá_v6_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.7796445,False,False,False,False
Banco Macro,legit_aug_banco-security_v2_20251130T221014.png,BANCO (AUG),Banco Security,0.7783122,False,False,False,False
Banco Macro,legit_aug_banco-ciudad-de-buenos-aires_v1_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7778244,False,False,False,False
Banco Macro,legit_aug_citibank-méxico_v1_20251130T221006.png,BANCO (AUG),Citibank México,0.7727947,False,False,False,False
Banco Macro,legit_banco-security_20251102T200253.png,BANCO (REF),Banco Security,0.772337,False,False,False,False
Banco Macro,legit_aug_banco-bolivariano_v9_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.7700387,False,False,False,False
Banco Macro,legit_aug_banco-nacional-panamá_v8_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.7688115,False,False,False,False
Banco Macro,legit_aug_citibank-méxico_v3_20251130T221006.png,BANCO (AUG),Citibank México,0.76733106,False,False,False,False
Banco Macro,legit_aug_scotiabank-chile_v7_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.76727223,False,False,False,False
Banco Macro,legit_aug_banco-de-chile_v7_20251130T221003.png,BANCO (AUG),Banco de Chile,0.76699454,False,False,False,False
Banco Macro,legit_aug_banamex_v3_20251130T221003.png,BANCO (AUG),Banamex,0.7654041,False,False,False,False
Banco Macro,legit_aug_scotiabank-chile_v0_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.76425827,False,False,False,False
Banco Macro,legit_aug_banco-popular-costa-rica_v9_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.7642446,False,False,False,False
Banco Macro,legit_aug_banco-bolivariano_v4_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.7638414,False,False,False,False
Banco Macro,legit_aug_banamex_v8_20251130T221003.png,BANCO (AUG),Banamex,0.7627306,False,False,False,False
Banco Macro,legit_aug_banco-bolivariano_v6_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.76257485,False,False,False,False
Banco Macro,legit_aug_citibank-méxico_v2_20251130T221006.png,BANCO (AUG),Citibank México,0.7625257,False,False,False,False
Banco Macro,legit_aug_banamex_v5_20251130T221003.png,BANCO (AUG),Banamex,0.7625092,False,False,False,False
Banco Macro,legit_aug_banco-nacional-panamá_v3_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.7622682,False,False,False,False
Banco Macro,legit_aug_banco-popular-costa-rica_v4_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.76176316,False,False,False,False
Banco Macro,legit_aug_banco-bolivariano_v8_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.7611673,False,False,False,False
Banco Macro,legit_aug_banco-security_v5_20251130T221015.png,BANCO (AUG),Banco Security,0.76082075,False,False,False,False
Banco Macro,legit_aug_banco-security_v3_20251130T221015.png,BANCO (AUG),Banco Security,0.76046646,False,False,False,False
Banco Macro,legit_aug_banco-de-chile_v3_20251130T221003.png,BANCO (AUG),Banco de Chile,0.76015764,False,False,False,False
Banco Macro,legit_aug_banco-de-crédito-e-inversiones_v3_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.75996697,False,False,False,False
Banco Macro,legit_banco-bice_20251102T193210.png,BANCO (REF),Banco Bice,0.75976753,False,False,False,False
Banco Macro,legit_banco-bolivariano_20251102T194855.png,BANCO (REF),Banco Bolivariano,0.7597467,False,False,False,False
Banco Macro,legit_aug_banco-bice_v3_20251130T221013.png,BANCO (AUG),Banco Bice,0.7596431,False,False,False,False
Banco Macro,legit_aug_banco-bolivariano_v5_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.75943166,False,False,False,False
Banco Macro,legit_aug_banco-popular-costa-rica_v5_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.75875616,False,False,False,False
Banco Macro,legit_aug_citibank-méxico_v9_20251130T221006.png,BANCO (AUG),Citibank México,0.75853395,False,False,False,False
Banco Macro,legit_aug_scotiabank-chile_v5_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.75848186,False,False,False,False
Banco Macro,legit_aug_banco-de-crédito-e-inversiones_v6_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.75820774,False,False,False,False
Banco Macro,legit_aug_banco-nacional-de-costa-rica_v4_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.7578985,False,False,False,False
Banco Macro,legit_aug_scotiabank-chile_v4_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.7575307,False,False,False,False
Banco Macro,legit_aug_icbc-argentina_v5_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.7575206,False,False,False,False
Banco Macro,legit_aug_banco-bolivariano_v2_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.75745654,False,False,False,False
Banco Macro,legit_aug_bbva-méxico_v0_20251130T221002.png,BANCO (AUG),BBVA México,0.75651115,False,False,False,False
Banco Macro,legit_aug_banco-bice_v0_20251130T221012.png,BANCO (AUG),Banco Bice,0.7562085,False,False,False,False
Banco Macro,legit_aug_banco-de-chile_v4_20251130T221003.png,BANCO (AUG),Banco de Chile,0.75618,False,False,False,False
Banco Macro,legit_aug_banco-de-chile_v8_20251130T221003.png,BANCO (AUG),Banco de Chile,0.7551989,False,False,False,False
