target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Nacional Panamá,legit_banco-nacional-panam_20251102T192611.png,BANCO (REF),Banco Nacional Panamá,1.0,True,True,False,True
Banco Nacional Panamá,legit_aug_banco-nacional-panamá_v3_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.93834984,True,True,False,False
Banco Nacional Panamá,legit_aug_banco-nacional-panamá_v8_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.93664587,True,True,False,False
Banco Nacional Panamá,legit_aug_banco-nacional-panamá_v0_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.9359311,True,True,False,False
Banco Nacional Panamá,legit_aug_banco-nacional-panamá_v4_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.9067365,True,True,False,False
Banco Nacional Panamá,legit_aug_banco-nacional-panamá_v2_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.8976844,True,True,False,False
Banco Nacional Panamá,legit_aug_banco-nacional-panamá_v1_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.88901615,True,True,False,False
Banco Nacional Panamá,legit_aug_banco-nacional-panamá_v6_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.8866416,True,True,False,False
Banco Nacional Panamá,legit_aug_banco-nacional-panamá_v7_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.88584,True,True,False,False
Banco Nacional Panamá,legit_aug_banco-nacional-panamá_v9_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.8830241,True,True,False,False
Banco Nacional Panamá,legit_aug_banco-nacional-panamá_v5_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.87989,True,True,False,False
Banco Nacional Panamá,legit_aug_banco-de-chile_v2_20251130T221003.png,BANCO (AUG),Banco de Chile,0.8030822,True,False,True,False
Banco Nacional Panamá,legit_aug_banco-azteca_v0_20251130T221008.png,BANCO (AUG),Banco Azteca,0.80210793,True,False,True,False
Banco Nacional Panamá,legit_aug_banco-azteca_v8_20251130T221008.png,BANCO (AUG),Banco Azteca,0.79754186,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-azteca_v3_20251130T221008.png,BANCO (AUG),Banco Azteca,0.79324675,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-de-chile_v7_20251130T221003.png,BANCO (AUG),Banco de Chile,0.7922868,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-ciudad-de-buenos-aires_v4_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7904156,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-de-chile_v3_20251130T221003.png,BANCO (AUG),Banco de Chile,0.7900071,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-bice_v3_20251130T221013.png,BANCO (AUG),Banco Bice,0.7896582,False,False,False,False
Banco Nacional Panamá,legit_banco-ciudad-de-buenos-aires_20251102T194956.png,BANCO (REF),Banco Ciudad de Buenos Aires,0.7873599,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-de-chile_v6_20251130T221003.png,BANCO (AUG),Banco de Chile,0.7871969,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-de-chile_v4_20251130T221003.png,BANCO (AUG),Banco de Chile,0.7870622,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-ciudad-de-buenos-aires_v8_20251130T221022.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.78682476,False,False,False,False
Banco Nacional Panamá,legit_aug_icbc-argentina_v4_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.7866713,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-ciudad-de-buenos-aires_v7_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.78597146,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-de-chile_v8_20251130T221003.png,BANCO (AUG),Banco de Chile,0.7849955,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-ciudad-de-buenos-aires_v0_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.78473765,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-de-chile_v9_20251130T221003.png,BANCO (AUG),Banco de Chile,0.78417575,False,False,False,False
