target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Popular Costa Rica,legit_banco-popular-costa-rica_20251102T193730.png,BANCO (REF),Banco Popular Costa Rica,1.0000001,True,True,False,True
Banco Popular Costa Rica,legit_aug_banco-popular-costa-rica_v2_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.9534462,True,True,False,False
Banco Popular Costa Rica,legit_aug_banco-popular-costa-rica_v8_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.9496701,True,True,False,False
Banco Popular Costa Rica,legit_aug_banco-popular-costa-rica_v1_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.9483218,True,True,False,False
Banco Popular Costa Rica,legit_aug_banco-popular-costa-rica_v7_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.94467705,True,True,False,False
Banco Popular Costa Rica,legit_aug_banco-popular-costa-rica_v4_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.94337416,True,True,False,False
Banco Popular Costa Rica,legit_aug_banco-popular-costa-rica_v9_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.93996745,True,True,False,False
Banco Popular Costa Rica,legit_aug_banco-popular-costa-rica_v3_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.9393904,True,True,False,False
Banco Popular Costa Rica,legit_aug_banco-popular-costa-rica_v5_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.93705463,True,True,False,False
Banco Popular Costa Rica,legit_aug_banco-popular-costa-rica_v0_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.9341911,True,True,False,False
Banco Popular Costa Rica,legit_aug_banco-popular-costa-rica_v6_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.92253363,True,True,False,False
Banco Popular Costa Rica,legit_aug_banistmo_v6_20251130T221014.png,BANCO (AUG),Banistmo,0.84561956,True,False,True,False
Banco Popular Costa Rica,legit_aug_banco-ciudad-de-buenos-aires_v5_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.8447593,True,False,True,False
Banco Popular Costa Rica,legit_sudameris-paraguay_20251102T194916.png,BANCO (REF),Sudameris Paraguay,0.84227616,True,False,True,False
Banco Popular Costa Rica,legit_aug_sudameris-paraguay_v3_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.84191734,True,False,True,False
Banco Popular Costa Rica,legit_aug_banistmo_v2_20251130T221014.png,BANCO (AUG),Banistmo,0.8402818,True,False,True,False
Banco Popular Costa Rica,legit_aug_sudameris-paraguay_v4_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.8382997,True,False,True,False
Banco Popular Costa Rica,legit_aug_banistmo_v1_20251130T221014.png,BANCO (AUG),Banistmo,0.8373325,True,False,True,False
Banco Popular Costa Rica,legit_aug_banistmo_v5_20251130T221014.png,BANCO (AUG),Banistmo,0.8373238,True,False,True,False
Banco Popular Costa Rica,legit_aug_sudameris-paraguay_v7_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.837204,True,False,True,False
Banco Popular Costa Rica,legit_aug_sudameris-paraguay_v1_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.83700395,True,False,True,False
Banco Popular Costa Rica,legit_aug_icbc-argentina_v5_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.83635104,True,False,True,False
