target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Provincia,legit_banco-provincia_20251102T193232.png,BANCO (REF),Banco Provincia,1.0000001,True,True,False,True
Banco Provincia,legit_aug_banco-provincia_v8_20251130T221013.png,BANCO (AUG),Banco Provincia,0.9782626,True,True,False,False
Banco Provincia,legit_aug_banco-provincia_v1_20251130T221013.png,BANCO (AUG),Banco Provincia,0.97477806,True,True,False,False
Banco Provincia,legit_aug_banco-provincia_v7_20251130T221013.png,BANCO (AUG),Banco Provincia,0.97039276,True,True,False,False
Banco Provincia,legit_aug_banco-provincia_v6_20251130T221013.png,BANCO (AUG),Banco Provincia,0.96895796,True,True,False,False
Banco Provincia,legit_aug_banco-provincia_v3_20251130T221013.png,BANCO (AUG),Banco Provincia,0.9665264,True,True,False,False
Banco Provincia,legit_aug_banco-provincia_v9_20251130T221013.png,BANCO (AUG),Banco Provincia,0.9661717,True,True,False,False
Banco Provincia,legit_aug_banco-provincia_v2_20251130T221013.png,BANCO (AUG),Banco Provincia,0.96591246,True,True,False,False
Banco Provincia,legit_aug_banco-provincia_v5_20251130T221013.png,BANCO (AUG),Banco Provincia,0.961215,True,True,False,False
Banco Provincia,legit_aug_banco-provincia_v0_20251130T221013.png,BANCO (AUG),Banco Provincia,0.9466189,True,True,False,False
Banco Provincia,legit_aug_banco-provincia_v4_20251130T221013.png,BANCO (AUG),Banco Provincia,0.9389583,True,True,False,False
Banco Provincia,legit_aug_banco-bolivariano_v9_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.9089658,True,False,True,False
Banco Provincia,legit_aug_banco-bolivariano_v5_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.90552115,True,False,True,False
Banco Provincia,legit_banco-bolivariano_20251102T194855.png,BANCO (REF),Banco Bolivariano,0.9001959,True,False,True,False
Banco Provincia,legit_aug_banco-bolivariano_v3_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.8994422,True,False,True,False
Banco Provincia,legit_aug_banco-bolivariano_v4_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.89133155,True,False,True,False
Banco Provincia,legit_aug_banco-bolivariano_v6_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.89126575,True,False,True,False
