target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Safra,legit_banco-safra_20251102T191220.png,BANCO (REF),Banco Safra,0.9999998,True,True,False,True
Banco Safra,legit_aug_banco-safra_v5_20251130T221003.png,BANCO (AUG),Banco Safra,0.9308009,True,True,False,False
Banco Safra,legit_aug_banco-safra_v9_20251130T221003.png,BANCO (AUG),Banco Safra,0.92697245,True,True,False,False
Banco Safra,legit_aug_banco-safra_v6_20251130T221003.png,BANCO (AUG),Banco Safra,0.92407477,True,True,False,False
Banco Safra,legit_aug_banco-safra_v8_20251130T221003.png,BANCO (AUG),Banco Safra,0.921384,True,True,False,False
Banco Safra,legit_aug_banco-safra_v3_20251130T221003.png,BANCO (AUG),Banco Safra,0.91663736,True,True,False,False
Banco Safra,legit_aug_banco-safra_v1_20251130T221003.png,BANCO (AUG),Banco Safra,0.915587,True,True,False,False
Banco Safra,legit_aug_banco-safra_v7_20251130T221003.png,BANCO (AUG),Banco Safra,0.910026,True,True,False,False
Banco Safra,legit_aug_banco-safra_v0_20251130T221003.png,BANCO (AUG),Banco Safra,0.8997264,True,True,False,False
Banco Safra,legit_aug_banco-safra_v4_20251130T221003.png,BANCO (AUG),Banco Safra,0.8912796,True,True,False,False
Banco Safra,legit_aug_banco-safra_v2_20251130T221003.png,BANCO (AUG),Banco Safra,0.8769772,True,True,False,False
Banco Safra,legit_aug_banco-bradesco_v4_20251130T221002.png,BANCO (AUG),Banco Bradesco,0.7160127,False,False,False,False
Banco Safra,legit_aug_banco-bradesco_v6_20251130T221002.png,BANCO (AUG),Banco Bradesco,0.712942,False,False,False,False
Banco Safra,random_gov-br_20251129T174615.png,RANDOM,unknown,0.70305645,False,False,False,False
Banco Safra,legit_aug_banco-bradesco_v8_20251130T221002.png,BANCO (AUG),Banco Bradesco,0.7017797,False,False,False,False
Banco Safra,legit_aug_banco-bradesco_v0_20251130T221001.png,BANCO (AUG),Banco Bradesco,0.7016818,False,False,False,False
Banco Safra,legit_aug_bbva-méxico_v9_20251130T221002.png,BANCO (AUG),BBVA México,0.70030415,False,False,False,False
Banco Safra,legit_aug_banco-bradesco_v5_20251130T221002.png,BANCO (AUG),Banco Bradesco,0.6990764,False,False,False,False
Banco Safra,legit_aug_icbc-argentina_v4_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.6985716,False,False,False,False
Banco Safra,legit_aug_bbva-méxico_v4_20251130T221002.png,BANCO (AUG),BBVA México,0.69830114,False,False,False,False
Banco Safra,legit_aug_banco-nacional-panamá_v6_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.6982176,False,False,False,False
Banco Safra,legit_aug_bbva-méxico_v6_20251130T221002.png,BANCO (AUG),BBVA México,0.69764596,False,False,False,False
Banco Safra,legit_aug_banco-de-crédito-e-inversiones_v8_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.6973009,False,False,False,False
Banco Safra,legit_aug_banco-bradesco_v9_20251130T221002.png,BANCO (AUG),Banco Bradesco,0.6962927,False,False,False,False
Banco Safra,legit_aug_bbva-méxico_v1_20251130T221002.png,BANCO (AUG),BBVA México,0.69551873,False,False,False,False
Banco Safra,legit_aug_scotiabank-chile_v8_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.6954558,False,False,False,False
Banco Safra,legit_aug_bbva-méxico_v7_20251130T221002.png,BANCO (AUG),BBVA México,0.6937494,False,False,False,False
Banco Safra,random_teamviewer-com_20251129T165817.png,RANDOM,unknown,0.6932305,False,False,False,False
