target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Santander Argentina,legit_banco-santander-argentina_20251102T192947.png,BANCO (REF),Banco Santander Argentina,1.0000001,True,True,False,True
Banco Santander Argentina,legit_aug_banco-santander-argentina_v8_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.97212756,True,True,False,False
Banco Santander Argentina,legit_aug_banco-santander-argentina_v4_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.9710202,True,True,False,False
Banco Santander Argentina,legit_aug_banco-santander-argentina_v9_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.9637425,True,True,False,False
Banco Santander Argentina,legit_aug_banco-santander-argentina_v2_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.96033674,True,True,False,False
Banco Santander Argentina,legit_aug_banco-santander-argentina_v0_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.95562184,True,True,False,False
Banco Santander Argentina,legit_aug_banco-santander-argentina_v6_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.9534464,True,True,False,False
Banco Santander Argentina,legit_aug_banco-santander-argentina_v3_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.9170908,True,True,False,False
Banco Santander Argentina,legit_aug_banco-santander-argentina_v7_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.9042046,True,True,False,False
Banco Santander Argentina,legit_aug_icbc-argentina_v4_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.9036546,True,False,True,False
Banco Santander Argentina,legit_aug_sudameris-paraguay_v3_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.8906873,True,False,True,False
Banco Santander Argentina,legit_aug_icbc-argentina_v5_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.8829732,True,False,True,False
Banco Santander Argentina,legit_aug_sudameris-paraguay_v0_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.88250864,True,False,True,False
Banco Santander Argentina,legit_aug_icbc-argentina_v9_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.88065326,True,False,True,False
Banco Santander Argentina,legit_aug_banco-de-crédito-e-inversiones_v8_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.8786562,True,False,True,False
