target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Santander Uruguay,legit_banco-santander-uruguay_20251102T193706.png,BANCO (REF),Banco Santander Uruguay,1.0,True,True,False,True
Banco Santander Uruguay,legit_aug_banco-santander-uruguay_v0_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.9619205,True,True,False,False
Banco Santander Uruguay,legit_aug_banco-santander-uruguay_v5_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.9547479,True,True,False,False
Banco Santander Uruguay,legit_aug_banco-santander-uruguay_v9_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.95217335,True,True,False,False
Banco Santander Uruguay,legit_aug_banco-santander-uruguay_v4_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.946909,True,True,False,False
Banco Santander Uruguay,legit_aug_banco-santander-uruguay_v1_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.9392941,True,True,False,False
Banco Santander Uruguay,legit_aug_banco-santander-uruguay_v2_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.9095885,True,True,False,False
Banco Santander Uruguay,legit_aug_banco-santander-uruguay_v6_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.89371836,True,True,False,False
Banco Santander Uruguay,legit_aug_banco-santander-uruguay_v8_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.87477744,True,True,False,False
Banco Santander Uruguay,legit_aug_banco-santander-uruguay_v3_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.83412737,True,True,False,False
Banco Santander Uruguay,legit_aug_banco-santander-uruguay_v7_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.82878864,True,True,False,False
Banco Santander Uruguay,legit_aug_icbc-argentina_v9_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.8112339,True,False,True,False
Banco Santander Uruguay,legit_scotiabank-chile_20251102T191440.png,BANCO (REF),Scotiabank Chile,0.8086057,True,False,True,False
Banco Santander Uruguay,legit_aug_icbc-argentina_v7_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.8060715,True,False,True,False
Banco Santander Uruguay,legit_aug_banamex_v3_20251130T221003.png,BANCO (AUG),Banamex,0.80472004,True,False,True,False
Banco Santander Uruguay,legit_aug_icbc-argentina_v1_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.8034767,True,False,True,False
Banco Santander Uruguay,legit_aug_icbc-argentina_v6_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.80234814,True,False,True,False
Banco Santander Uruguay,legit_aug_banamex_v8_20251130T221003.png,BANCO (AUG),Banamex,0.8003511,True,False,True,False
Banco Santander Uruguay,legit_aug_scotiabank-chile_v7_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.800115,True,False,True,False
Banco Santander Uruguay,legit_aug_banamex_v4_20251130T221003.png,BANCO (AUG),Banamex,0.79984593,False,False,False,False
Banco Santander Uruguay,legit_banco-santander-argentina_20251102T192947.png,BANCO (REF),Banco Santander Argentina,0.7942367,False,False,False,False
Banco Santander Uruguay,legit_aug_banco-nacional-panamá_v7_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.79230386,False,False,False,False
