target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Security,legit_banco-security_20251102T200253.png,BANCO (REF),Banco Security,0.99999994,True,True,False,True
Banco Security,legit_aug_banco-security_v3_20251130T221015.png,BANCO (AUG),Banco Security,0.9540323,True,True,False,False
Banco Security,legit_aug_banco-security_v8_20251130T221015.png,BANCO (AUG),Banco Security,0.94357955,True,True,False,False
Banco Security,legit_aug_banco-security_v2_20251130T221014.png,BANCO (AUG),Banco Security,0.9426371,True,True,False,False
Banco Security,legit_aug_banco-security_v7_20251130T221015.png,BANCO (AUG),Banco Security,0.940785,True,True,False,False
Banco Security,legit_aug_banco-security_v0_20251130T221014.png,BANCO (AUG),Banco Security,0.9164826,True,True,False,False
Banco Security,legit_aug_banco-security_v5_20251130T221015.png,BANCO (AUG),Banco Security,0.9157385,True,True,False,False
Banco Security,legit_aug_banco-security_v1_20251130T221014.png,BANCO (AUG),Banco Security,0.89169294,True,True,False,False
Banco Security,legit_aug_banco-security_v9_20251130T221015.png,BANCO (AUG),Banco Security,0.8674078,True,True,False,False
Banco Security,legit_aug_banco-security_v4_20251130T221015.png,BANCO (AUG),Banco Security,0.82768697,True,True,False,False
Banco Security,legit_aug_banco-security_v6_20251130T221015.png,BANCO (AUG),Banco Security,0.820262,True,True,False,False
Banco Security,legit_aug_banco-macro_v7_20251130T221013.png,BANCO (AUG),Banco Macro,0.784716,False,False,False,False
Banco Security,legit_banco-macro_20251102T193351.png,BANCO (REF),Banco Macro,0.772337,False,False,False,False
Banco Security,legit_aug_banco-macro_v2_20251130T221013.png,BANCO (AUG),Banco Macro,0.77068603,False,False,False,False
Banco Security,legit_banco-nacional-de-costa-rica_20251102T192522.png,BANCO (REF),Banco Nacional de Costa Rica,0.7582103,False,False,False,False
Banco Security,legit_aug_banco-nacional-panamá_v9_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.7563345,False,False,False,False
Banco Security,legit_aug_banco-nacional-panamá_v7_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.7542735,False,False,False,False
Banco Security,legit_aug_banco-macro_v6_20251130T221013.png,BANCO (AUG),Banco Macro,0.753358,False,False,False,False
Banco Security,legit_aug_banca-afirme_v8_20251130T221011.png,BANCO (AUG),Banca Afirme,0.7498992,False,False,False,False
Banco Security,legit_aug_banco-macro_v4_20251130T221013.png,BANCO (AUG),Banco Macro,0.74843556,False,False,False,False
Banco Security,legit_aug_banco-nacional-de-costa-rica_v4_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.7453456,False,False,False,False
Banco Security,legit_aug_banco-macro_v9_20251130T221014.png,BANCO (AUG),Banco Macro,0.74428904,False,False,False,False
Banco Security,legit_aug_banco-nacional-de-costa-rica_v2_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.7442704,False,False,False,False
Banco Security,legit_aug_scotiabank-chile_v9_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.7436043,False,False,False,False
Banco Security,legit_aug_banco-nacional-de-costa-rica_v5_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.7434419,False,False,False,False
Banco Security,legit_aug_banco-macro_v1_20251130T221013.png,BANCO (AUG),Banco Macro,0.74259996,False,False,False,False
Banco Security,legit_aug_scotiabank-chile_v8_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.74227774,False,False,False,False
Banco Security,legit_aug_banco-nacional-panamá_v2_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.74163234,False,False,False,False
Banco Security,legit_aug_banco-nacional-de-costa-rica_v7_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.74073464,False,False,False,False
Banco Security,legit_aug_scotiabank-chile_v1_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.7403705,False,False,False,False
Banco Security,legit_aug_scotiabank-chile_v5_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.7398114,False,False,False,False
Banco Security,legit_aug_scotiabank-chile_v2_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.7376146,False,False,False,False
Banco Security,legit_scotiabank-chile_20251102T191440.png,BANCO (REF),Scotiabank Chile,0.7372911,False,False,False,False
Banco Security,legit_aug_banco-macro_v3_20251130T221013.png,BANCO (AUG),Banco Macro,0.73690224,False,False,False,False
Banco Security,legit_aug_banco-nacional-panamá_v5_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.7368361,False,False,False,False
Banco Security,legit_aug_banco-nacional-de-costa-rica_v9_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.7368229,False,False,False,False
Banco Security,legit_aug_banco-itaú-uruguay_v9_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.73496145,False,False,False,False
Banco Security,legit_aug_banamex_v3_20251130T221003.png,BANCO (AUG),Banamex,0.73335844,False,False,False,False
Banco Security,legit_aug_banco-azteca_v1_20251130T221008.png,BANCO (AUG),Banco Azteca,0.7332933,False,False,False,False
Banco Security,legit_aug_banco-nacional-de-costa-rica_v0_20251130T221008.png,BANCO (AUG),Banco Nacional de Costa Rica,0.73182213,False,False,False,False
Banco Security,legit_aug_banco-nacional-de-costa-rica_v8_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.73177165,False,False,False,False
Banco Security,legit_aug_banco-nacional-de-costa-rica_v6_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.7317191,False,False,False,False
Banco Security,legit_aug_banco-azteca_v0_20251130T221008.png,BANCO (AUG),Banco Azteca,0.73123866,False,False,False,False
Banco Security,legit_aug_banco-itaú-uruguay_v4_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.7305435,False,False,False,False
Banco Security,legit_aug_scotiabank-chile_v7_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.7305168,False,False,False,False
Banco Security,legit_aug_banco-azteca_v4_20251130T221008.png,BANCO (AUG),Banco Azteca,0.73035705,False,False,False,False
Banco Security,legit_aug_banca-afirme_v7_20251130T221011.png,BANCO (AUG),Banca Afirme,0.7302623,False,False,False,False
Banco Security,legit_aug_scotiabank-chile_v4_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.7297864,False,False,False,False
Banco Security,legit_aug_banco-macro_v0_20251130T221013.png,BANCO (AUG),Banco Macro,0.7296486,False,False,False,False
Banco Security,legit_aug_banco-nacional-de-costa-rica_v3_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.7295821,False,False,False,False
Banco Security,legit_aug_banco-nacional-panamá_v4_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.7289326,False,False,False,False
Banco Security,legit_aug_citibank-méxico_v3_20251130T221006.png,BANCO (AUG),Citibank México,0.7288585,False,False,False,False
Banco Security,legit_aug_banca-afirme_v1_20251130T221010.png,BANCO (AUG),Banca Afirme,0.7284991,False,False,False,False
Banco Security,legit_aug_scotiabank-chile_v0_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.72732633,False,False,False,False
Banco Security,legit_aug_banco-azteca_v8_20251130T221008.png,BANCO (AUG),Banco Azteca,0.7271704,False,False,False,False
Banco Security,legit_aug_banco-itaú-uruguay_v5_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.72651815,False,False,False,False
Banco Security,legit_aug_banco-internacional-chile_v9_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.725472,False,False,False,False
Banco Security,legit_aug_banco-itaú-uruguay_v1_20251130T221016.png,BANCO (AUG),Banco Itaú Uruguay,0.72488374,False,False,False,False
Banco Security,legit_aug_banca-afirme_v4_20251130T221011.png,BANCO (AUG),Banca Afirme,0.7231643,False,False,False,False
Banco Security,legit_aug_banco-itaú-uruguay_v8_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.7227715,False,False,False,False
Banco Security,legit_aug_scotiabank-chile_v3_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.7215729,False,False,False,False
Banco Security,legit_banco-ita-uruguay_20251102T193855.png,BANCO (REF),Banco Itaú Uruguay,0.7211586,False,False,False,False
Banco Security,random_abc-es_20251129T175348.png,RANDOM,unknown,0.72076964,False,False,False,False
Banco Security,legit_aug_banco-macro_v5_20251130T221013.png,BANCO (AUG),Banco Macro,0.7207591,False,False,False,False
Banco Security,random_cisco-com_20251129T164139.png,RANDOM,unknown,0.72072995,False,False,False,False
Banco Security,legit_aug_banco-bice_v9_20251130T221013.png,BANCO (AUG),Banco Bice,0.7207198,False,False,False,False
Banco Security,legit_aug_banco-itaú-uruguay_v0_20251130T221016.png,BANCO (AUG),Banco Itaú Uruguay,0.720689,False,False,False,False
Banco Security,legit_aug_scotiabank-chile_v6_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.7195064,False,False,False,False
Banco Security,legit_aug_banco-azteca_v9_20251130T221008.png,BANCO (AUG),Banco Azteca,0.7186044,False,False,False,False
Banco Security,legit_aug_bbva-méxico_v0_20251130T221002.png,BANCO (AUG),BBVA México,0.7176643,False,False,False,False
Banco Security,legit_banco-bice_20251102T193210.png,BANCO (REF),Banco Bice,0.71734977,False,False,False,False
Banco Security,legit_aug_citibank-méxico_v0_20251130T221006.png,BANCO (AUG),Citibank México,0.71702147,False,False,False,False
Banco Security,legit_aug_banco-nacional-de-costa-rica_v1_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.7168784,False,False,False,False
Banco Security,legit_aug_banco-itaú-uruguay_v3_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.7163547,False,False,False,False
Banco Security,legit_aug_banco-bice_v7_20251130T221013.png,BANCO (AUG),Banco Bice,0.71609724,False,False,False,False
Banco Security,legit_aug_banco-internacional-chile_v6_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.7152343,False,False,False,False
Banco Security,legit_aug_citibank-méxico_v1_20251130T221006.png,BANCO (AUG),Citibank México,0.71517235,False,False,False,False
Banco Security,random_paypal-com_20251129T163520.png,RANDOM,unknown,0.71432495,False,False,False,False
Banco Security,legit_aug_banco-itaú-uruguay_v2_20251130T221016.png,BANCO (AUG),Banco Itaú Uruguay,0.71383595,False,False,False,False
Banco Security,legit_aug_banco-internacional-chile_v1_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.71364105,False,False,False,False
Banco Security,legit_aug_banco-itaú-uruguay_v6_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.7136351,False,False,False,False
Banco Security,random_outbrain-com_20251129T172333.png,RANDOM,unknown,0.7132994,False,False,False,False
Banco Security,legit_aug_banco-de-crédito-e-inversiones_v4_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.71252596,False,False,False,False
Banco Security,legit_aug_banco-de-crédito-e-inversiones_v3_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.7114096,False,False,False,False
Banco Security,legit_aug_banco-macro_v8_20251130T221014.png,BANCO (AUG),Banco Macro,0.71054405,False,False,False,False
Banco Security,legit_aug_banco-azteca_v3_20251130T221008.png,BANCO (AUG),Banco Azteca,0.70992506,False,False,False,False
Banco Security,legit_aug_bbva-méxico_v7_20251130T221002.png,BANCO (AUG),BBVA México,0.70880806,False,False,False,False
Banco Security,legit_aug_banco-de-crédito-e-inversiones_v6_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.7086532,False,False,False,False
Banco Security,legit_aug_banco-bice_v3_20251130T221013.png,BANCO (AUG),Banco Bice,0.70853937,False,False,False,False
