target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banrural,legit_banrural_20251102T192634.png,BANCO (REF),Banrural,0.99999994,True,True,False,True
Banrural,legit_aug_banrural_v6_20251130T221010.png,BANCO (AUG),Banrural,0.9727104,True,True,False,False
Banrural,legit_aug_banrural_v7_20251130T221010.png,BANCO (AUG),Banrural,0.96835536,True,True,False,False
Banrural,legit_aug_banrural_v9_20251130T221010.png,BANCO (AUG),Banrural,0.964627,True,True,False,False
Banrural,legit_aug_banrural_v5_20251130T221010.png,BANCO (AUG),Banrural,0.96282256,True,True,False,False
Banrural,legit_aug_banrural_v1_20251130T221010.png,BANCO (AUG),Banrural,0.9622979,True,True,False,False
Banrural,legit_aug_banrural_v2_20251130T221010.png,BANCO (AUG),Banrural,0.95746976,True,True,False,False
Banrural,legit_aug_banrural_v0_20251130T221010.png,BANCO (AUG),Banrural,0.94954413,True,True,False,False
Banrural,legit_aug_banrural_v8_20251130T221010.png,BANCO (AUG),Banrural,0.94852585,True,True,False,False
Banrural,legit_aug_banrural_v3_20251130T221010.png,BANCO (AUG),Banrural,0.9468459,True,True,False,False
Banrural,legit_aug_banrural_v4_20251130T221010.png,BANCO (AUG),Banrural,0.90704894,True,True,False,False
Banrural,legit_grupo-promerica_20251102T193150.png,BANCO (REF),Grupo Promerica,0.7965529,False,False,False,False
Banrural,legit_aug_banco-provincia_v4_20251130T221013.png,BANCO (AUG),Banco Provincia,0.7749247,False,False,False,False
Banrural,legit_aug_grupo-promerica_v7_20251130T221012.png,BANCO (AUG),Grupo Promerica,0.77021176,False,False,False,False
Banrural,legit_aug_banco-bhd_v5_20251130T221014.png,BANCO (AUG),Banco BHD,0.7687063,False,False,False,False
Banrural,legit_aug_banco-nacional-panamá_v0_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.76527303,False,False,False,False
Banrural,legit_aug_banco-ficohsa_v8_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.76383275,False,False,False,False
Banrural,legit_aug_banco-agromercantil_v5_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.7634151,False,False,False,False
Banrural,legit_aug_banco-bhd_v3_20251130T221014.png,BANCO (AUG),Banco BHD,0.7629887,False,False,False,False
Banrural,legit_aug_grupo-promerica_v1_20251130T221012.png,BANCO (AUG),Grupo Promerica,0.7625379,False,False,False,False
Banrural,legit_aug_interbank_v2_20251130T221007.png,BANCO (AUG),Interbank,0.7624204,False,False,False,False
Banrural,legit_aug_interbank_v8_20251130T221007.png,BANCO (AUG),Interbank,0.7621976,False,False,False,False
Banrural,legit_aug_banco-nacional-panamá_v4_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.7614903,False,False,False,False
Banrural,legit_aug_banco-bhd_v6_20251130T221014.png,BANCO (AUG),Banco BHD,0.7607968,False,False,False,False
Banrural,legit_aug_banco-provincia_v1_20251130T221013.png,BANCO (AUG),Banco Provincia,0.76074314,False,False,False,False
Banrural,legit_aug_interbank_v1_20251130T221007.png,BANCO (AUG),Interbank,0.76060426,False,False,False,False
Banrural,legit_aug_banco-provincia_v2_20251130T221013.png,BANCO (AUG),Banco Provincia,0.75970495,False,False,False,False
Banrural,legit_aug_scotiabank-chile_v5_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.7589546,False,False,False,False
Banrural,legit_aug_icbc-argentina_v5_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.7585409,False,False,False,False
Banrural,legit_aug_banco-consorcio_v3_20251130T221017.png,BANCO (AUG),Banco Consorcio,0.7577447,False,False,False,False
Banrural,legit_aug_banco-nacional-panamá_v8_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.75748813,False,False,False,False
Banrural,legit_aug_banco-ciudad-de-buenos-aires_v2_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7574736,False,False,False,False
Banrural,legit_aug_banco-bhd_v4_20251130T221014.png,BANCO (AUG),Banco BHD,0.7573393,False,False,False,False
Banrural,legit_aug_scotiabank-chile_v7_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.7571197,False,False,False,False
Banrural,legit_aug_scotiabank-chile_v3_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.7563459,False,False,False,False
Banrural,legit_aug_scotiabank-chile_v0_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.75585353,False,False,False,False
Banrural,legit_aug_banco-provincia_v8_20251130T221013.png,BANCO (AUG),Banco Provincia,0.75565577,False,False,False,False
Banrural,legit_aug_banco-provincia_v9_20251130T221013.png,BANCO (AUG),Banco Provincia,0.75556296,False,False,False,False
Banrural,legit_aug_interbank_v3_20251130T221007.png,BANCO (AUG),Interbank,0.7555592,False,False,False,False
Banrural,legit_aug_banco-ficohsa_v5_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.7554821,False,False,False,False
Banrural,legit_aug_scotiabank-chile_v6_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.7554793,False,False,False,False
Banrural,legit_aug_banco-ciudad-de-buenos-aires_v8_20251130T221022.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7552725,False,False,False,False
Banrural,legit_aug_banco-ciudad-de-buenos-aires_v0_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7542399,False,False,False,False
Banrural,legit_aug_banco-provincia_v7_20251130T221013.png,BANCO (AUG),Banco Provincia,0.7535884,False,False,False,False
Banrural,legit_aug_banco-provincia_v6_20251130T221013.png,BANCO (AUG),Banco Provincia,0.7531655,False,False,False,False
Banrural,legit_aug_banco-ciudad-de-buenos-aires_v7_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7527739,False,False,False,False
Banrural,legit_aug_banco-ciudad-de-buenos-aires_v4_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7527293,False,False,False,False
Banrural,legit_aug_banco-provincia_v5_20251130T221013.png,BANCO (AUG),Banco Provincia,0.7521766,False,False,False,False
Banrural,legit_aug_banco-ciudad-de-buenos-aires_v6_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.75183,False,False,False,False
Banrural,legit_aug_interbank_v6_20251130T221007.png,BANCO (AUG),Interbank,0.751351,False,False,False,False
Banrural,legit_aug_banco-nacional-panamá_v3_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.7511886,False,False,False,False
Banrural,legit_aug_icbc-argentina_v6_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.75114894,False,False,False,False
Banrural,legit_aug_scotiabank-chile_v2_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.7506875,False,False,False,False
Banrural,legit_banco-ciudad-de-buenos-aires_20251102T194956.png,BANCO (REF),Banco Ciudad de Buenos Aires,0.750433,False,False,False,False
Banrural,legit_aug_banco-bhd_v9_20251130T221014.png,BANCO (AUG),Banco BHD,0.7503093,False,False,False,False
Banrural,legit_aug_banco-bhd_v8_20251130T221014.png,BANCO (AUG),Banco BHD,0.74926406,False,False,False,False
Banrural,legit_aug_banco-nacional-panamá_v9_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.7492268,False,False,False,False
Banrural,legit_aug_banco-ficohsa_v3_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.74907553,False,False,False,False
Banrural,legit_aug_bbva-méxico_v7_20251130T221002.png,BANCO (AUG),BBVA México,0.7487478,False,False,False,False
Banrural,legit_aug_banco-ficohsa_v7_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.7482516,False,False,False,False
Banrural,legit_aug_interbank_v0_20251130T221007.png,BANCO (AUG),Interbank,0.74802065,False,False,False,False
Banrural,legit_aug_banco-ficohsa_v6_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.7475447,False,False,False,False
Banrural,legit_aug_banco-falabella_v2_20251130T221015.png,BANCO (AUG),Banco Falabella,0.74743116,False,False,False,False
Banrural,legit_aug_banco-bhd_v1_20251130T221014.png,BANCO (AUG),Banco BHD,0.74731195,False,False,False,False
Banrural,legit_aug_banco-provincia_v3_20251130T221013.png,BANCO (AUG),Banco Provincia,0.74714935,False,False,False,False
Banrural,legit_aug_interbank_v9_20251130T221007.png,BANCO (AUG),Interbank,0.74648094,False,False,False,False
Banrural,legit_aug_banco-continental-paraguay_v2_20251130T221020.png,BANCO (AUG),Banco Continental Paraguay,0.7463607,False,False,False,False
Banrural,legit_aug_scotiabank-chile_v8_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.746217,False,False,False,False
Banrural,legit_aug_banco-ficohsa_v9_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.7462133,False,False,False,False
Banrural,legit_aug_produbanco_v1_20251130T221018.png,BANCO (AUG),Produbanco,0.74564725,False,False,False,False
Banrural,legit_aug_produbanco_v8_20251130T221018.png,BANCO (AUG),Produbanco,0.74562633,False,False,False,False
Banrural,legit_aug_banco-ciudad-de-buenos-aires_v3_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7455911,False,False,False,False
Banrural,legit_aug_produbanco_v4_20251130T221018.png,BANCO (AUG),Produbanco,0.7455725,False,False,False,False
Banrural,legit_aug_banco-ciudad-de-buenos-aires_v1_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.74556303,False,False,False,False
Banrural,legit_aug_banco-bolivariano_v8_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.7449293,False,False,False,False
Banrural,legit_aug_banco-ciudad-de-buenos-aires_v5_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7448956,False,False,False,False
Banrural,legit_aug_scotiabank-chile_v9_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.7447964,False,False,False,False
Banrural,legit_aug_banco-agromercantil_v8_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.7439082,False,False,False,False
Banrural,legit_aug_banco-consorcio_v0_20251130T221017.png,BANCO (AUG),Banco Consorcio,0.743799,False,False,False,False
Banrural,legit_aug_banco-agromercantil_v3_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.74374187,False,False,False,False
Banrural,legit_aug_scotiabank-chile_v1_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.7436397,False,False,False,False
Banrural,legit_aug_banco-ficohsa_v2_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.7434756,False,False,False,False
Banrural,legit_aug_banco-falabella_v3_20251130T221015.png,BANCO (AUG),Banco Falabella,0.74339837,False,False,False,False
Banrural,legit_banco-agromercantil_20251102T194301.png,BANCO (REF),Banco Agromercantil,0.74332106,False,False,False,False
Banrural,legit_aug_banco-ficohsa_v4_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.7433206,False,False,False,False
Banrural,legit_aug_sudameris-paraguay_v5_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.7431662,False,False,False,False
Banrural,legit_aug_bbva-méxico_v0_20251130T221002.png,BANCO (AUG),BBVA México,0.7428714,False,False,False,False
Banrural,legit_aug_interbank_v7_20251130T221007.png,BANCO (AUG),Interbank,0.74271405,False,False,False,False
Banrural,legit_aug_scotiabank-chile_v4_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.7425585,False,False,False,False
Banrural,legit_aug_banco-nacional-panamá_v7_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.7424806,False,False,False,False
Banrural,legit_aug_banco-provincia_v0_20251130T221013.png,BANCO (AUG),Banco Provincia,0.74210966,False,False,False,False
Banrural,legit_interbank_20251102T192145.png,BANCO (REF),Interbank,0.7420037,False,False,False,False
Banrural,legit_aug_banco-bhd_v0_20251130T221014.png,BANCO (AUG),Banco BHD,0.7417777,False,False,False,False
Banrural,legit_aug_interbank_v4_20251130T221007.png,BANCO (AUG),Interbank,0.74136126,False,False,False,False
Banrural,legit_aug_produbanco_v6_20251130T221018.png,BANCO (AUG),Produbanco,0.74119246,False,False,False,False
Banrural,legit_aug_banco-consorcio_v9_20251130T221017.png,BANCO (AUG),Banco Consorcio,0.74097526,False,False,False,False
Banrural,legit_banco-provincia_20251102T193232.png,BANCO (REF),Banco Provincia,0.7408999,False,False,False,False
Banrural,legit_aug_banco-agromercantil_v6_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.7403188,False,False,False,False
Banrural,legit_aug_banco-falabella_v0_20251130T221015.png,BANCO (AUG),Banco Falabella,0.73989177,False,False,False,False
Banrural,legit_aug_banco-internacional-chile_v1_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.73963076,False,False,False,False
Banrural,legit_aug_interbank_v5_20251130T221007.png,BANCO (AUG),Interbank,0.7396263,False,False,False,False
Banrural,legit_aug_banco-popular-costa-rica_v2_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.7395625,False,False,False,False
Banrural,legit_aug_banco-nacional-panamá_v2_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.73923445,False,False,False,False
Banrural,legit_aug_banco-bhd_v2_20251130T221014.png,BANCO (AUG),Banco BHD,0.73913527,False,False,False,False
Banrural,legit_aug_colpatria_v4_20251130T221015.png,BANCO (AUG),Colpatria,0.73884284,False,False,False,False
Banrural,legit_banco-falabella_20251102T193607.png,BANCO (REF),Banco Falabella,0.73880804,False,False,False,False
Banrural,legit_aug_banco-consorcio_v8_20251130T221017.png,BANCO (AUG),Banco Consorcio,0.7387429,False,False,False,False
Banrural,legit_aug_banco-nacional-panamá_v5_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.7387106,False,False,False,False
Banrural,legit_aug_banco-azteca_v0_20251130T221008.png,BANCO (AUG),Banco Azteca,0.7383001,False,False,False,False
Banrural,legit_aug_banco-ficohsa_v1_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.73826206,False,False,False,False
Banrural,legit_aug_banco-agromercantil_v0_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.7379127,False,False,False,False
Banrural,legit_aug_banco-internacional-chile_v9_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.7378941,False,False,False,False
Banrural,legit_scotiabank-chile_20251102T191440.png,BANCO (REF),Scotiabank Chile,0.7376861,False,False,False,False
Banrural,legit_aug_banco-ciudad-de-buenos-aires_v9_20251130T221022.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.736279,False,False,False,False
Banrural,legit_aug_banco-agromercantil_v1_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.73622143,False,False,False,False
Banrural,legit_aug_banco-bolivariano_v2_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.73618937,False,False,False,False
Banrural,legit_aug_banco-agromercantil_v9_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.7357048,False,False,False,False
Banrural,legit_aug_banco-do-brasil_v4_20251130T221001.png,BANCO (AUG),Banco do Brasil,0.7353381,False,False,False,False
Banrural,legit_aug_banco-consorcio_v7_20251130T221017.png,BANCO (AUG),Banco Consorcio,0.73512846,False,False,False,False
Banrural,legit_aug_banco-ficohsa_v0_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.73423773,False,False,False,False
Banrural,legit_aug_colpatria_v0_20251130T221015.png,BANCO (AUG),Colpatria,0.73423487,False,False,False,False
Banrural,legit_aug_banco-guayaquil_v5_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.7341783,False,False,False,False
Banrural,legit_aug_banco-popular-costa-rica_v7_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.7338385,False,False,False,False
Banrural,legit_aug_grupo-promerica_v6_20251130T221012.png,BANCO (AUG),Grupo Promerica,0.7336596,False,False,False,False
Banrural,legit_aug_banco-agromercantil_v4_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.7335241,False,False,False,False
Banrural,legit_aug_banco-bolivariano_v7_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.7330538,False,False,False,False
Banrural,legit_aug_banbif_v8_20251130T221019.png,BANCO (AUG),BanBif,0.7328958,False,False,False,False
Banrural,legit_aug_produbanco_v5_20251130T221018.png,BANCO (AUG),Produbanco,0.73252004,False,False,False,False
Banrural,legit_aug_sudameris-paraguay_v4_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.7325189,False,False,False,False
Banrural,legit_aug_banco-guayaquil_v1_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.7324595,False,False,False,False
Banrural,legit_banco-nacional-panam_20251102T192611.png,BANCO (REF),Banco Nacional Panamá,0.7322765,False,False,False,False
Banrural,legit_banco-bhd_20251102T193442.png,BANCO (REF),Banco BHD,0.7319137,False,False,False,False
Banrural,legit_aug_banco-guayaquil_v3_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.7318201,False,False,False,False
Banrural,legit_aug_produbanco_v3_20251130T221018.png,BANCO (AUG),Produbanco,0.7317152,False,False,False,False
Banrural,legit_aug_grupo-promerica_v2_20251130T221012.png,BANCO (AUG),Grupo Promerica,0.73133755,False,False,False,False
Banrural,legit_aug_banco-nacional-panamá_v1_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.73113364,False,False,False,False
Banrural,legit_aug_banistmo_v6_20251130T221014.png,BANCO (AUG),Banistmo,0.7311139,False,False,False,False
Banrural,legit_aug_icbc-argentina_v8_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.73097026,False,False,False,False
Banrural,legit_aug_banco-de-crédito-e-inversiones_v4_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.7309457,False,False,False,False
Banrural,legit_aug_banco-bolivariano_v6_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.7308911,False,False,False,False
Banrural,legit_aug_banco-popular-costa-rica_v1_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.73083085,False,False,False,False
Banrural,legit_aug_banco-bolivariano_v9_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.7306496,False,False,False,False
Banrural,legit_aug_sudameris-paraguay_v3_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.73056644,False,False,False,False
Banrural,legit_aug_banco-bolivariano_v5_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.7304789,False,False,False,False
Banrural,legit_aug_banco-de-crédito-e-inversiones_v6_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.730232,False,False,False,False
Banrural,legit_aug_banco-popular-costa-rica_v5_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.72985464,False,False,False,False
Banrural,legit_aug_banco-guayaquil_v0_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.72973686,False,False,False,False
Banrural,legit_aug_banco-consorcio_v4_20251130T221017.png,BANCO (AUG),Banco Consorcio,0.72951245,False,False,False,False
Banrural,legit_aug_banco-popular-costa-rica_v4_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.72936076,False,False,False,False
Banrural,legit_aug_banco-consorcio_v5_20251130T221017.png,BANCO (AUG),Banco Consorcio,0.72935903,False,False,False,False
Banrural,legit_aug_inbursa_v0_20251130T221006.png,BANCO (AUG),Inbursa,0.72932637,False,False,False,False
