target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Citibank Brasil,legit_citibank-brasil_20251102T191550.png,BANCO (REF),Citibank Brasil,1.0000001,True,True,False,True
Citibank Brasil,legit_aug_citibank-brasil_v3_20251130T221005.png,BANCO (AUG),Citibank Brasil,0.88810587,True,True,False,False
Citibank Brasil,legit_aug_citibank-brasil_v7_20251130T221006.png,BANCO (AUG),Citibank Brasil,0.8849276,True,True,False,False
Citibank Brasil,legit_aug_citibank-brasil_v9_20251130T221006.png,BANCO (AUG),Citibank Brasil,0.88259095,True,True,False,False
Citibank Brasil,legit_aug_citibank-brasil_v0_20251130T221005.png,BANCO (AUG),Citibank Brasil,0.8626739,True,True,False,False
Citibank Brasil,legit_aug_citibank-brasil_v8_20251130T221006.png,BANCO (AUG),Citibank Brasil,0.8611585,True,True,False,False
Citibank Brasil,legit_aug_citibank-brasil_v6_20251130T221005.png,BANCO (AUG),Citibank Brasil,0.85735506,True,True,False,False
Citibank Brasil,legit_aug_citibank-brasil_v5_20251130T221005.png,BANCO (AUG),Citibank Brasil,0.85329354,True,True,False,False
Citibank Brasil,legit_aug_citibank-brasil_v4_20251130T221005.png,BANCO (AUG),Citibank Brasil,0.84849286,True,True,False,False
Citibank Brasil,legit_aug_citibank-brasil_v2_20251130T221005.png,BANCO (AUG),Citibank Brasil,0.8447469,True,True,False,False
Citibank Brasil,legit_aug_citibank-brasil_v1_20251130T221005.png,BANCO (AUG),Citibank Brasil,0.83764553,True,True,False,False
Citibank Brasil,random_amazonvideo-com_20251129T163526.png,RANDOM,unknown,0.70814574,False,False,False,False
Citibank Brasil,random_bankofamerica-com_20251129T174014.png,RANDOM,unknown,0.7072059,False,False,False,False
Citibank Brasil,random_segment-io_20251129T174400.png,RANDOM,unknown,0.7067028,False,False,False,False
Citibank Brasil,random_stripe-com_20251129T164420.png,RANDOM,unknown,0.7056341,False,False,False,False
Citibank Brasil,random_intercom-io_20251129T171605.png,RANDOM,unknown,0.7024878,False,False,False,False
Citibank Brasil,random_epicgames-com_20251129T163336.png,RANDOM,unknown,0.6996412,False,False,False,False
