target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Citibank México,legit_citibank-m-xico_20251102T195922.png,BANCO (REF),Citibank México,1.0000001,True,True,False,True
Citibank México,legit_aug_citibank-méxico_v8_20251130T221006.png,BANCO (AUG),Citibank México,0.9214266,True,True,False,False
Citibank México,legit_aug_citibank-méxico_v4_20251130T221006.png,BANCO (AUG),Citibank México,0.91920626,True,True,False,False
Citibank México,legit_aug_citibank-méxico_v9_20251130T221006.png,BANCO (AUG),Citibank México,0.90428865,True,True,False,False
Citibank México,legit_aug_citibank-méxico_v6_20251130T221006.png,BANCO (AUG),Citibank México,0.90419567,True,True,False,False
Citibank México,legit_aug_citibank-méxico_v5_20251130T221006.png,BANCO (AUG),Citibank México,0.9006332,True,True,False,False
Citibank México,legit_aug_citibank-méxico_v1_20251130T221006.png,BANCO (AUG),Citibank México,0.8992876,True,True,False,False
Citibank México,legit_aug_citibank-méxico_v2_20251130T221006.png,BANCO (AUG),Citibank México,0.89760935,True,True,False,False
Citibank México,legit_aug_citibank-méxico_v0_20251130T221006.png,BANCO (AUG),Citibank México,0.8908138,True,True,False,False
Citibank México,legit_aug_citibank-méxico_v3_20251130T221006.png,BANCO (AUG),Citibank México,0.8882833,True,True,False,False
Citibank México,legit_aug_citibank-méxico_v7_20251130T221006.png,BANCO (AUG),Citibank México,0.8720305,True,True,False,False
Citibank México,legit_banamex_20251102T195813.png,BANCO (REF),Banamex,0.8464502,True,False,True,False
Citibank México,legit_aug_banamex_v2_20251130T221003.png,BANCO (AUG),Banamex,0.818582,True,False,True,False
Citibank México,legit_aug_banamex_v0_20251130T221003.png,BANCO (AUG),Banamex,0.81732756,True,False,True,False
Citibank México,legit_aug_banamex_v8_20251130T221003.png,BANCO (AUG),Banamex,0.8110762,True,False,True,False
Citibank México,legit_aug_banamex_v7_20251130T221003.png,BANCO (AUG),Banamex,0.8109178,True,False,True,False
Citibank México,legit_aug_banamex_v9_20251130T221003.png,BANCO (AUG),Banamex,0.8107865,True,False,True,False
Citibank México,legit_aug_banamex_v1_20251130T221003.png,BANCO (AUG),Banamex,0.80978,True,False,True,False
Citibank México,legit_aug_banamex_v4_20251130T221003.png,BANCO (AUG),Banamex,0.7839737,False,False,False,False
Citibank México,legit_aug_banamex_v6_20251130T221003.png,BANCO (AUG),Banamex,0.78030944,False,False,False,False
Citibank México,legit_aug_banco-nacional-panamá_v2_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.77827495,False,False,False,False
Citibank México,legit_aug_banamex_v5_20251130T221003.png,BANCO (AUG),Banamex,0.7742825,False,False,False,False
Citibank México,legit_aug_banco-nacional-panamá_v9_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.7707093,False,False,False,False
Citibank México,legit_aug_banamex_v3_20251130T221003.png,BANCO (AUG),Banamex,0.7706739,False,False,False,False
Citibank México,legit_aug_banco-bolivariano_v7_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.77052236,False,False,False,False
Citibank México,legit_aug_hsbc-méxico_v2_20251130T221004.png,BANCO (AUG),HSBC México,0.77034473,False,False,False,False
Citibank México,legit_aug_banco-bolivariano_v8_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.76885617,False,False,False,False
Citibank México,legit_aug_banco-nacional-panamá_v7_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.7650809,False,False,False,False
Citibank México,legit_aug_hsbc-méxico_v6_20251130T221004.png,BANCO (AUG),HSBC México,0.7643483,False,False,False,False
Citibank México,legit_aug_banco-nacional-de-bolivia_v4_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.7639835,False,False,False,False
Citibank México,legit_aug_banco-bolivariano_v2_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.7613646,False,False,False,False
Citibank México,legit_aug_banco-ciudad-de-buenos-aires_v8_20251130T221022.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.75920427,False,False,False,False
Citibank México,legit_aug_banco-ciudad-de-buenos-aires_v2_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.75919104,False,False,False,False
Citibank México,legit_banco-nacional-de-bolivia_20251102T195022.png,BANCO (REF),Banco Nacional de Bolivia,0.75806516,False,False,False,False
Citibank México,legit_aug_banco-ciudad-de-buenos-aires_v7_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7575058,False,False,False,False
Citibank México,legit_aug_hsbc-méxico_v5_20251130T221004.png,BANCO (AUG),HSBC México,0.7573276,False,False,False,False
Citibank México,legit_aug_banco-ciudad-de-buenos-aires_v0_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7566529,False,False,False,False
Citibank México,legit_aug_hsbc-méxico_v3_20251130T221004.png,BANCO (AUG),HSBC México,0.75621057,False,False,False,False
Citibank México,legit_aug_banco-provincia_v4_20251130T221013.png,BANCO (AUG),Banco Provincia,0.75609255,False,False,False,False
Citibank México,legit_aug_banco-bolivariano_v9_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.7550895,False,False,False,False
Citibank México,legit_aug_hsbc-méxico_v9_20251130T221004.png,BANCO (AUG),HSBC México,0.7546024,False,False,False,False
Citibank México,legit_aug_banco-ciudad-de-buenos-aires_v6_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.75452405,False,False,False,False
Citibank México,legit_aug_banco-ciudad-de-buenos-aires_v4_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.75346035,False,False,False,False
Citibank México,legit_aug_banco-nacional-panamá_v5_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.7530263,False,False,False,False
Citibank México,legit_banco-santander-argentina_20251102T192947.png,BANCO (REF),Banco Santander Argentina,0.7526448,False,False,False,False
Citibank México,legit_aug_banco-santander-argentina_v6_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.75257903,False,False,False,False
Citibank México,legit_banco-ciudad-de-buenos-aires_20251102T194956.png,BANCO (REF),Banco Ciudad de Buenos Aires,0.7520394,False,False,False,False
Citibank México,legit_aug_banco-nacional-panamá_v1_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.7519838,False,False,False,False
Citibank México,legit_aug_banco-bolivariano_v6_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.7513915,False,False,False,False
Citibank México,legit_aug_scotiabank-chile_v5_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.7513059,False,False,False,False
Citibank México,legit_aug_banco-ciudad-de-buenos-aires_v3_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.750856,False,False,False,False
Citibank México,legit_aug_banco-provincia_v9_20251130T221013.png,BANCO (AUG),Banco Provincia,0.7507262,False,False,False,False
Citibank México,legit_aug_banco-bolivariano_v4_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.7506276,False,False,False,False
Citibank México,legit_aug_banco-bolivariano_v3_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.75054044,False,False,False,False
Citibank México,legit_aug_banco-santander-argentina_v9_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.74954665,False,False,False,False
Citibank México,legit_aug_banco-bolivariano_v5_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.74930954,False,False,False,False
Citibank México,legit_aug_banco-ciudad-de-buenos-aires_v5_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.74928784,False,False,False,False
Citibank México,legit_aug_hsbc-méxico_v4_20251130T221004.png,BANCO (AUG),HSBC México,0.7492504,False,False,False,False
Citibank México,legit_aug_banco-popular-costa-rica_v9_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.7485876,False,False,False,False
Citibank México,legit_aug_hsbc-méxico_v1_20251130T221004.png,BANCO (AUG),HSBC México,0.7482216,False,False,False,False
Citibank México,legit_aug_banco-provincia_v1_20251130T221013.png,BANCO (AUG),Banco Provincia,0.7476232,False,False,False,False
Citibank México,legit_aug_banco-popular-costa-rica_v5_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.7474938,False,False,False,False
Citibank México,legit_aug_banco-bice_v3_20251130T221013.png,BANCO (AUG),Banco Bice,0.7471885,False,False,False,False
Citibank México,legit_aug_hsbc-méxico_v8_20251130T221004.png,BANCO (AUG),HSBC México,0.7469646,False,False,False,False
Citibank México,legit_aug_hsbc-méxico_v0_20251130T221003.png,BANCO (AUG),HSBC México,0.74664634,False,False,False,False
Citibank México,legit_aug_banco-nacional-panamá_v4_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.7465086,False,False,False,False
Citibank México,legit_aug_banbif_v6_20251130T221019.png,BANCO (AUG),BanBif,0.74442303,False,False,False,False
Citibank México,legit_scotiabank-chile_20251102T191440.png,BANCO (REF),Scotiabank Chile,0.7434287,False,False,False,False
Citibank México,legit_aug_banco-bice_v2_20251130T221012.png,BANCO (AUG),Banco Bice,0.742921,False,False,False,False
Citibank México,legit_aug_banco-bice_v9_20251130T221013.png,BANCO (AUG),Banco Bice,0.74286455,False,False,False,False
Citibank México,legit_aug_banco-bice_v7_20251130T221013.png,BANCO (AUG),Banco Bice,0.7425004,False,False,False,False
Citibank México,legit_aug_banco-de-crédito-e-inversiones_v3_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.74234325,False,False,False,False
Citibank México,legit_aug_banco-bolivariano_v1_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.74208814,False,False,False,False
Citibank México,legit_aug_bbva-méxico_v4_20251130T221002.png,BANCO (AUG),BBVA México,0.7420057,False,False,False,False
Citibank México,legit_aug_banco-provincia_v7_20251130T221013.png,BANCO (AUG),Banco Provincia,0.74188554,False,False,False,False
