target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Colpatria,legit_colpatria_20251102T193647.png,BANCO (REF),Colpatria,0.9999999,True,True,False,True
Colpatria,legit_aug_colpatria_v5_20251130T221015.png,BANCO (AUG),Colpatria,0.9416878,True,True,False,False
Colpatria,legit_aug_colpatria_v8_20251130T221015.png,BANCO (AUG),Colpatria,0.92991185,True,True,False,False
Colpatria,legit_aug_colpatria_v3_20251130T221015.png,BANCO (AUG),Colpatria,0.9294401,True,True,False,False
Colpatria,legit_aug_colpatria_v6_20251130T221015.png,BANCO (AUG),Colpatria,0.91570127,True,True,False,False
Colpatria,legit_aug_colpatria_v2_20251130T221015.png,BANCO (AUG),Colpatria,0.9074033,True,True,False,False
Colpatria,legit_aug_colpatria_v7_20251130T221015.png,BANCO (AUG),Colpatria,0.90715665,True,True,False,False
Colpatria,legit_aug_colpatria_v9_20251130T221016.png,BANCO (AUG),Colpatria,0.9043145,True,True,False,False
Colpatria,legit_aug_colpatria_v1_20251130T221015.png,BANCO (AUG),Colpatria,0.891618,True,True,False,False
Colpatria,legit_aug_colpatria_v0_20251130T221015.png,BANCO (AUG),Colpatria,0.890149,True,True,False,False
Colpatria,legit_aug_colpatria_v4_20251130T221015.png,BANCO (AUG),Colpatria,0.8708283,True,True,False,False
Colpatria,legit_aug_scotiabank-perú_v6_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.8049922,True,False,True,False
Colpatria,legit_aug_sudameris-paraguay_v1_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.80168974,True,False,True,False
Colpatria,legit_aug_sudameris-paraguay_v2_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.79957986,False,False,False,False
Colpatria,legit_aug_banco-galicia_v0_20251130T221009.png,BANCO (AUG),Banco Galicia,0.79828525,False,False,False,False
Colpatria,legit_aug_banco-provincia_v4_20251130T221013.png,BANCO (AUG),Banco Provincia,0.7981051,False,False,False,False
Colpatria,legit_aug_banco-bolivariano_v5_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.7957077,False,False,False,False
Colpatria,legit_aug_bbva-colombia_v8_20251130T221007.png,BANCO (AUG),BBVA Colombia,0.7937603,False,False,False,False
Colpatria,legit_aug_banco-galicia_v4_20251130T221009.png,BANCO (AUG),Banco Galicia,0.7928952,False,False,False,False
Colpatria,legit_aug_banco-provincia_v1_20251130T221013.png,BANCO (AUG),Banco Provincia,0.7928829,False,False,False,False
Colpatria,legit_inbursa_20251102T191735.png,BANCO (REF),Inbursa,0.7926728,False,False,False,False
Colpatria,legit_aug_banco-galicia_v6_20251130T221009.png,BANCO (AUG),Banco Galicia,0.7916244,False,False,False,False
Colpatria,legit_aug_banco-provincia_v7_20251130T221013.png,BANCO (AUG),Banco Provincia,0.79099226,False,False,False,False
Colpatria,legit_aug_banco-bolivariano_v6_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.7908936,False,False,False,False
Colpatria,legit_aug_inbursa_v0_20251130T221006.png,BANCO (AUG),Inbursa,0.7908257,False,False,False,False
Colpatria,legit_aug_sudameris-paraguay_v3_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.7900242,False,False,False,False
Colpatria,legit_aug_banco-galicia_v9_20251130T221009.png,BANCO (AUG),Banco Galicia,0.788672,False,False,False,False
Colpatria,legit_banco-provincia_20251102T193232.png,BANCO (REF),Banco Provincia,0.788429,False,False,False,False
Colpatria,legit_aug_bbva-colombia_v4_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.78735006,False,False,False,False
Colpatria,legit_aug_banco-provincia_v3_20251130T221013.png,BANCO (AUG),Banco Provincia,0.78665304,False,False,False,False
Colpatria,legit_aug_inbursa_v6_20251130T221006.png,BANCO (AUG),Inbursa,0.78639287,False,False,False,False
Colpatria,legit_aug_bbva-colombia_v2_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.7862936,False,False,False,False
Colpatria,legit_aug_banco-bolivariano_v1_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.7862371,False,False,False,False
Colpatria,legit_aug_scotiabank-perú_v5_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.78583056,False,False,False,False
Colpatria,legit_aug_banco-bolivariano_v8_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.7856798,False,False,False,False
