target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
GNB Sudameris,legit_gnb-sudameris_20251102T193010.png,BANCO (REF),GNB Sudameris,1.0000004,True,True,False,True
GNB Sudameris,legit_aug_gnb-sudameris_v1_20251130T221011.png,BANCO (AUG),GNB Sudameris,0.91601443,True,True,False,False
GNB Sudameris,legit_aug_gnb-sudameris_v0_20251130T221011.png,BANCO (AUG),GNB Sudameris,0.907387,True,True,False,False
GNB Sudameris,legit_aug_gnb-sudameris_v4_20251130T221011.png,BANCO (AUG),GNB Sudameris,0.9054476,True,True,False,False
GNB Sudameris,legit_aug_gnb-sudameris_v5_20251130T221011.png,BANCO (AUG),GNB Sudameris,0.89639175,True,True,False,False
GNB Sudameris,legit_aug_gnb-sudameris_v7_20251130T221012.png,BANCO (AUG),GNB Sudameris,0.8782585,True,True,False,False
GNB Sudameris,legit_aug_gnb-sudameris_v6_20251130T221011.png,BANCO (AUG),GNB Sudameris,0.8673224,True,True,False,False
GNB Sudameris,legit_aug_gnb-sudameris_v8_20251130T221012.png,BANCO (AUG),GNB Sudameris,0.86632806,True,True,False,False
GNB Sudameris,legit_aug_gnb-sudameris_v3_20251130T221011.png,BANCO (AUG),GNB Sudameris,0.85916454,True,True,False,False
GNB Sudameris,legit_aug_gnb-sudameris_v9_20251130T221012.png,BANCO (AUG),GNB Sudameris,0.83916855,True,True,False,False
GNB Sudameris,legit_aug_gnb-sudameris_v2_20251130T221011.png,BANCO (AUG),GNB Sudameris,0.81978476,True,True,False,False
GNB Sudameris,legit_aug_banco-nacional-de-bolivia_v9_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.7421801,False,False,False,False
GNB Sudameris,legit_aug_banco-nacional-de-bolivia_v7_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.7375903,False,False,False,False
GNB Sudameris,legit_aug_banco-nacional-de-bolivia_v2_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.726948,False,False,False,False
GNB Sudameris,legit_aug_banco-azteca_v0_20251130T221008.png,BANCO (AUG),Banco Azteca,0.71492267,False,False,False,False
GNB Sudameris,legit_aug_banco-nacional-de-bolivia_v4_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.71297157,False,False,False,False
GNB Sudameris,legit_aug_scotiabank-chile_v0_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.712702,False,False,False,False
GNB Sudameris,legit_banco-nacional-de-bolivia_20251102T195022.png,BANCO (REF),Banco Nacional de Bolivia,0.7083106,False,False,False,False
GNB Sudameris,legit_aug_banco-de-crédito-e-inversiones_v4_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.7075441,False,False,False,False
GNB Sudameris,legit_aug_scotiabank-chile_v8_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.7072327,False,False,False,False
GNB Sudameris,legit_aug_banco-azteca_v4_20251130T221008.png,BANCO (AUG),Banco Azteca,0.70465875,False,False,False,False
GNB Sudameris,legit_aug_banco-de-crédito-e-inversiones_v2_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.70450866,False,False,False,False
GNB Sudameris,legit_bbva-colombia_20251102T195957.png,BANCO (REF),BBVA Colombia,0.7018561,False,False,False,False
GNB Sudameris,legit_aug_banco-de-crédito-e-inversiones_v8_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.69954073,False,False,False,False
GNB Sudameris,legit_aug_bbva-colombia_v2_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.69807583,False,False,False,False
GNB Sudameris,legit_aug_scotiabank-chile_v5_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.69794416,False,False,False,False
GNB Sudameris,legit_aug_banco-de-crédito-e-inversiones_v3_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.6977575,False,False,False,False
GNB Sudameris,legit_aug_bbva-colombia_v4_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.6965244,False,False,False,False
GNB Sudameris,legit_aug_scotiabank-chile_v4_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.6963358,False,False,False,False
GNB Sudameris,legit_aug_banca-afirme_v4_20251130T221011.png,BANCO (AUG),Banca Afirme,0.6963027,False,False,False,False
GNB Sudameris,legit_aug_scotiabank-chile_v2_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.6958556,False,False,False,False
GNB Sudameris,legit_aug_scotiabank-chile_v9_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.6958155,False,False,False,False
GNB Sudameris,legit_aug_banco-de-crédito-e-inversiones_v5_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.69453126,False,False,False,False
GNB Sudameris,legit_banco-de-cr-dito-e-inversiones_20251102T191004.png,BANCO (REF),Banco de Crédito e Inversiones,0.6941116,False,False,False,False
GNB Sudameris,legit_aug_banco-nacional-de-bolivia_v6_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.69387484,False,False,False,False
GNB Sudameris,legit_aug_banco-azteca_v8_20251130T221008.png,BANCO (AUG),Banco Azteca,0.693697,False,False,False,False
GNB Sudameris,legit_aug_banco-ciudad-de-buenos-aires_v0_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.6935587,False,False,False,False
GNB Sudameris,legit_aug_scotiabank-chile_v7_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.6918845,False,False,False,False
GNB Sudameris,legit_aug_bbva-colombia_v0_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.69184816,False,False,False,False
GNB Sudameris,legit_aug_bbva-colombia_v7_20251130T221007.png,BANCO (AUG),BBVA Colombia,0.6918421,False,False,False,False
GNB Sudameris,legit_aug_banco-de-crédito-e-inversiones_v6_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.69147766,False,False,False,False
GNB Sudameris,random_ebay-com_20251129T164046.png,RANDOM,unknown,0.69132733,False,False,False,False
GNB Sudameris,legit_aug_scotiabank-chile_v3_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.69120216,False,False,False,False
GNB Sudameris,legit_aug_bbva-colombia_v1_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.6904498,False,False,False,False
GNB Sudameris,legit_aug_banco-azteca_v1_20251130T221008.png,BANCO (AUG),Banco Azteca,0.6904241,False,False,False,False
GNB Sudameris,legit_aug_banco-ciudad-de-buenos-aires_v7_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.6901398,False,False,False,False
GNB Sudameris,legit_aug_banco-ciudad-de-buenos-aires_v4_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.68986607,False,False,False,False
GNB Sudameris,legit_aug_banco-nacional-de-bolivia_v8_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.68935317,False,False,False,False
GNB Sudameris,legit_aug_banca-afirme_v7_20251130T221011.png,BANCO (AUG),Banca Afirme,0.68897194,False,False,False,False
GNB Sudameris,legit_banco-ciudad-de-buenos-aires_20251102T194956.png,BANCO (REF),Banco Ciudad de Buenos Aires,0.6884203,False,False,False,False
GNB Sudameris,legit_aug_icbc-argentina_v4_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.68840766,False,False,False,False
GNB Sudameris,legit_aug_banco-provincia_v4_20251130T221013.png,BANCO (AUG),Banco Provincia,0.68813884,False,False,False,False
GNB Sudameris,legit_scotiabank-chile_20251102T191440.png,BANCO (REF),Scotiabank Chile,0.68790185,False,False,False,False
GNB Sudameris,legit_aug_bbva-méxico_v7_20251130T221002.png,BANCO (AUG),BBVA México,0.68686116,False,False,False,False
GNB Sudameris,legit_aug_bbva-colombia_v8_20251130T221007.png,BANCO (AUG),BBVA Colombia,0.68680626,False,False,False,False
GNB Sudameris,legit_aug_banco-ciudad-de-buenos-aires_v2_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.6866865,False,False,False,False
