target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
HSBC México,legit_hsbc-m-xico_20251102T191338.png,BANCO (REF),HSBC México,1.0,True,True,False,True
HSBC México,legit_aug_hsbc-méxico_v7_20251130T221004.png,BANCO (AUG),HSBC México,0.9689958,True,True,False,False
HSBC México,legit_aug_hsbc-méxico_v8_20251130T221004.png,BANCO (AUG),HSBC México,0.9666835,True,True,False,False
HSBC México,legit_aug_hsbc-méxico_v3_20251130T221004.png,BANCO (AUG),HSBC México,0.9624706,True,True,False,False
HSBC México,legit_aug_hsbc-méxico_v5_20251130T221004.png,BANCO (AUG),HSBC México,0.9600157,True,True,False,False
HSBC México,legit_aug_hsbc-méxico_v4_20251130T221004.png,BANCO (AUG),HSBC México,0.9529969,True,True,False,False
HSBC México,legit_aug_hsbc-méxico_v1_20251130T221004.png,BANCO (AUG),HSBC México,0.94822615,True,True,False,False
HSBC México,legit_aug_hsbc-méxico_v0_20251130T221003.png,BANCO (AUG),HSBC México,0.9459374,True,True,False,False
HSBC México,legit_aug_hsbc-méxico_v2_20251130T221004.png,BANCO (AUG),HSBC México,0.94534725,True,True,False,False
HSBC México,legit_aug_hsbc-méxico_v6_20251130T221004.png,BANCO (AUG),HSBC México,0.9439636,True,True,False,False
HSBC México,legit_aug_hsbc-méxico_v9_20251130T221004.png,BANCO (AUG),HSBC México,0.9219229,True,True,False,False
HSBC México,legit_aug_banco-bolivariano_v6_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.8986099,True,False,True,False
HSBC México,legit_aug_banco-bolivariano_v1_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.89681435,True,False,True,False
HSBC México,legit_aug_banco-bolivariano_v9_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.89670473,True,False,True,False
HSBC México,legit_aug_banco-bolivariano_v8_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.8964351,True,False,True,False
HSBC México,legit_aug_banco-bolivariano_v5_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.89469004,True,False,True,False
HSBC México,legit_aug_banco-bolivariano_v0_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.88974315,True,False,True,False
HSBC México,legit_aug_banco-bolivariano_v2_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.8887956,True,False,True,False
HSBC México,legit_aug_banco-galicia_v9_20251130T221009.png,BANCO (AUG),Banco Galicia,0.8881118,True,False,True,False
HSBC México,legit_aug_banco-bolivariano_v3_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.8859669,True,False,True,False
HSBC México,legit_aug_banco-bolivariano_v7_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.88263893,True,False,True,False
HSBC México,legit_aug_banco-galicia_v0_20251130T221009.png,BANCO (AUG),Banco Galicia,0.88223994,True,False,True,False
HSBC México,legit_aug_banco-galicia_v2_20251130T221009.png,BANCO (AUG),Banco Galicia,0.88049626,True,False,True,False
HSBC México,legit_aug_banco-galicia_v5_20251130T221009.png,BANCO (AUG),Banco Galicia,0.87808394,True,False,True,False
HSBC México,legit_banco-bolivariano_20251102T194855.png,BANCO (REF),Banco Bolivariano,0.87748855,True,False,True,False
HSBC México,legit_aug_banco-galicia_v1_20251130T221009.png,BANCO (AUG),Banco Galicia,0.8759224,True,False,True,False
HSBC México,legit_aug_banco-bolivariano_v4_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.8749158,True,False,True,False
HSBC México,legit_aug_banco-galicia_v7_20251130T221009.png,BANCO (AUG),Banco Galicia,0.8719154,True,False,True,False
HSBC México,legit_aug_banco-galicia_v6_20251130T221009.png,BANCO (AUG),Banco Galicia,0.87097275,True,False,True,False
HSBC México,legit_aug_banco-galicia_v4_20251130T221009.png,BANCO (AUG),Banco Galicia,0.87045896,True,False,True,False
HSBC México,legit_aug_banco-galicia_v8_20251130T221009.png,BANCO (AUG),Banco Galicia,0.8629445,True,False,True,False
HSBC México,legit_aug_banco-galicia_v3_20251130T221009.png,BANCO (AUG),Banco Galicia,0.8613205,True,False,True,False
HSBC México,legit_banco-provincia_20251102T193232.png,BANCO (REF),Banco Provincia,0.8563621,True,False,True,False
HSBC México,legit_banamex_20251102T195813.png,BANCO (REF),Banamex,0.8554535,True,False,True,False
HSBC México,legit_aug_banistmo_v0_20251130T221014.png,BANCO (AUG),Banistmo,0.8553654,True,False,True,False
HSBC México,legit_aug_banistmo_v2_20251130T221014.png,BANCO (AUG),Banistmo,0.8538103,True,False,True,False
HSBC México,legit_aug_banistmo_v8_20251130T221014.png,BANCO (AUG),Banistmo,0.85330725,True,False,True,False
HSBC México,legit_aug_banistmo_v7_20251130T221014.png,BANCO (AUG),Banistmo,0.85272694,True,False,True,False
HSBC México,legit_aug_banistmo_v6_20251130T221014.png,BANCO (AUG),Banistmo,0.8479847,True,False,True,False
HSBC México,legit_aug_banco-provincia_v1_20251130T221013.png,BANCO (AUG),Banco Provincia,0.8449211,True,False,True,False
HSBC México,legit_aug_banamex_v9_20251130T221003.png,BANCO (AUG),Banamex,0.8439511,True,False,True,False
HSBC México,legit_aug_banco-provincia_v4_20251130T221013.png,BANCO (AUG),Banco Provincia,0.84266806,True,False,True,False
HSBC México,legit_aug_banistmo_v3_20251130T221014.png,BANCO (AUG),Banistmo,0.8421823,True,False,True,False
HSBC México,legit_banco-galicia_20251102T192544.png,BANCO (REF),Banco Galicia,0.8412434,True,False,True,False
HSBC México,legit_aug_banco-provincia_v2_20251130T221013.png,BANCO (AUG),Banco Provincia,0.8409869,True,False,True,False
HSBC México,legit_aug_banamex_v0_20251130T221003.png,BANCO (AUG),Banamex,0.840355,True,False,True,False
HSBC México,legit_aug_banistmo_v9_20251130T221014.png,BANCO (AUG),Banistmo,0.84009296,True,False,True,False
HSBC México,legit_aug_banistmo_v5_20251130T221014.png,BANCO (AUG),Banistmo,0.8377024,True,False,True,False
HSBC México,legit_aug_banistmo_v1_20251130T221014.png,BANCO (AUG),Banistmo,0.8371822,True,False,True,False
HSBC México,legit_aug_banistmo_v4_20251130T221014.png,BANCO (AUG),Banistmo,0.8366731,True,False,True,False
HSBC México,legit_aug_banco-provincia_v7_20251130T221013.png,BANCO (AUG),Banco Provincia,0.8366389,True,False,True,False
HSBC México,legit_aug_banco-provincia_v8_20251130T221013.png,BANCO (AUG),Banco Provincia,0.8362165,True,False,True,False
HSBC México,legit_banco-falabella_20251102T193607.png,BANCO (REF),Banco Falabella,0.8333888,True,False,True,False
HSBC México,legit_aug_inbursa_v3_20251130T221006.png,BANCO (AUG),Inbursa,0.8320602,True,False,True,False
HSBC México,legit_aug_banamex_v7_20251130T221003.png,BANCO (AUG),Banamex,0.83196634,True,False,True,False
HSBC México,legit_aug_banco-popular-costa-rica_v5_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.82923985,True,False,True,False
HSBC México,legit_aug_banamex_v6_20251130T221003.png,BANCO (AUG),Banamex,0.8286081,True,False,True,False
HSBC México,legit_aug_banamex_v3_20251130T221003.png,BANCO (AUG),Banamex,0.8281245,True,False,True,False
HSBC México,legit_aug_banco-guayaquil_v4_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.8254876,True,False,True,False
HSBC México,legit_aug_inbursa_v4_20251130T221006.png,BANCO (AUG),Inbursa,0.82522446,True,False,True,False
HSBC México,legit_aug_banamex_v8_20251130T221003.png,BANCO (AUG),Banamex,0.8243182,True,False,True,False
HSBC México,legit_aug_banamex_v5_20251130T221003.png,BANCO (AUG),Banamex,0.8238808,True,False,True,False
HSBC México,legit_aug_banamex_v2_20251130T221003.png,BANCO (AUG),Banamex,0.82356715,True,False,True,False
HSBC México,legit_aug_colpatria_v6_20251130T221015.png,BANCO (AUG),Colpatria,0.8226204,True,False,True,False
HSBC México,legit_aug_colpatria_v2_20251130T221015.png,BANCO (AUG),Colpatria,0.82257044,True,False,True,False
HSBC México,legit_aug_colpatria_v0_20251130T221015.png,BANCO (AUG),Colpatria,0.82253164,True,False,True,False
HSBC México,legit_aug_banamex_v4_20251130T221003.png,BANCO (AUG),Banamex,0.82172495,True,False,True,False
HSBC México,legit_aug_inbursa_v6_20251130T221006.png,BANCO (AUG),Inbursa,0.82159936,True,False,True,False
HSBC México,legit_aug_banco-provincia_v5_20251130T221013.png,BANCO (AUG),Banco Provincia,0.82098544,True,False,True,False
HSBC México,legit_banistmo_20251102T193415.png,BANCO (REF),Banistmo,0.82074124,True,False,True,False
HSBC México,legit_aug_banco-falabella_v3_20251130T221015.png,BANCO (AUG),Banco Falabella,0.82030094,True,False,True,False
HSBC México,legit_aug_banco-ciudad-de-buenos-aires_v3_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.8198626,True,False,True,False
HSBC México,legit_aug_banco-popular-costa-rica_v6_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.8190496,True,False,True,False
HSBC México,legit_aug_bbva-méxico_v0_20251130T221002.png,BANCO (AUG),BBVA México,0.8186573,True,False,True,False
