target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Inbursa,legit_inbursa_20251102T191735.png,BANCO (REF),Inbursa,0.9999998,True,True,False,True
Inbursa,legit_aug_inbursa_v0_20251130T221006.png,BANCO (AUG),Inbursa,0.96210784,True,True,False,False
Inbursa,legit_aug_inbursa_v5_20251130T221006.png,BANCO (AUG),Inbursa,0.96058404,True,True,False,False
Inbursa,legit_aug_inbursa_v6_20251130T221006.png,BANCO (AUG),Inbursa,0.9599272,True,True,False,False
Inbursa,legit_aug_inbursa_v8_20251130T221006.png,BANCO (AUG),Inbursa,0.9556124,True,True,False,False
Inbursa,legit_aug_inbursa_v1_20251130T221006.png,BANCO (AUG),Inbursa,0.95535046,True,True,False,False
Inbursa,legit_aug_inbursa_v4_20251130T221006.png,BANCO (AUG),Inbursa,0.9536501,True,True,False,False
Inbursa,legit_aug_inbursa_v2_20251130T221006.png,BANCO (AUG),Inbursa,0.9491575,True,True,False,False
Inbursa,legit_aug_inbursa_v7_20251130T221006.png,BANCO (AUG),Inbursa,0.9485657,True,True,False,False
Inbursa,legit_aug_inbursa_v3_20251130T221006.png,BANCO (AUG),Inbursa,0.9409642,True,True,False,False
Inbursa,legit_aug_inbursa_v9_20251130T221006.png,BANCO (AUG),Inbursa,0.9371545,True,True,False,False
Inbursa,legit_aug_bbva-méxico_v0_20251130T221002.png,BANCO (AUG),BBVA México,0.8654662,True,False,True,False
Inbursa,legit_aug_bbva-méxico_v3_20251130T221002.png,BANCO (AUG),BBVA México,0.85855556,True,False,True,False
Inbursa,legit_aug_banistmo_v8_20251130T221014.png,BANCO (AUG),Banistmo,0.85614246,True,False,True,False
Inbursa,legit_aug_banistmo_v5_20251130T221014.png,BANCO (AUG),Banistmo,0.85591495,True,False,True,False
Inbursa,legit_aug_bbva-méxico_v4_20251130T221002.png,BANCO (AUG),BBVA México,0.8556376,True,False,True,False
Inbursa,legit_aug_bbva-colombia_v5_20251130T221007.png,BANCO (AUG),BBVA Colombia,0.8542417,True,False,True,False
Inbursa,legit_aug_banistmo_v6_20251130T221014.png,BANCO (AUG),Banistmo,0.853945,True,False,True,False
Inbursa,legit_aug_bbva-méxico_v7_20251130T221002.png,BANCO (AUG),BBVA México,0.8538861,True,False,True,False
Inbursa,legit_aug_banistmo_v4_20251130T221014.png,BANCO (AUG),Banistmo,0.85307586,True,False,True,False
Inbursa,legit_aug_banistmo_v2_20251130T221014.png,BANCO (AUG),Banistmo,0.8521796,True,False,True,False
