target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Produbanco,legit_produbanco_20251102T194118.png,BANCO (REF),Produbanco,0.9999999,True,True,False,True
Produbanco,legit_aug_produbanco_v5_20251130T221018.png,BANCO (AUG),Produbanco,0.9689332,True,True,False,False
Produbanco,legit_aug_produbanco_v8_20251130T221018.png,BANCO (AUG),Produbanco,0.9680726,True,True,False,False
Produbanco,legit_aug_produbanco_v3_20251130T221018.png,BANCO (AUG),Produbanco,0.9675261,True,True,False,False
Produbanco,legit_aug_produbanco_v4_20251130T221018.png,BANCO (AUG),Produbanco,0.96232265,True,True,False,False
Produbanco,legit_aug_produbanco_v6_20251130T221018.png,BANCO (AUG),Produbanco,0.9547797,True,True,False,False
Produbanco,legit_aug_produbanco_v9_20251130T221018.png,BANCO (AUG),Produbanco,0.94992834,True,True,False,False
Produbanco,legit_aug_produbanco_v2_20251130T221018.png,BANCO (AUG),Produbanco,0.92593604,True,True,False,False
Produbanco,legit_aug_produbanco_v1_20251130T221018.png,BANCO (AUG),Produbanco,0.9252861,True,True,False,False
Produbanco,legit_aug_produbanco_v7_20251130T221018.png,BANCO (AUG),Produbanco,0.8922421,True,True,False,False
Produbanco,legit_aug_produbanco_v0_20251130T221018.png,BANCO (AUG),Produbanco,0.8725115,True,True,False,False
Produbanco,legit_aug_scotiabank-chile_v9_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.82473147,True,False,True,False
Produbanco,legit_aug_scotiabank-chile_v8_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.82168186,True,False,True,False
Produbanco,legit_aug_scotiabank-chile_v4_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.81285477,True,False,True,False
Produbanco,legit_aug_banco-ficohsa_v8_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.80978286,True,False,True,False
Produbanco,legit_aug_banco-ficohsa_v1_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.80706084,True,False,True,False
Produbanco,legit_aug_scotiabank-chile_v2_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.8065119,True,False,True,False
Produbanco,legit_aug_scotiabank-chile_v5_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.8046315,True,False,True,False
Produbanco,legit_aug_scotiabank-chile_v1_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.804262,True,False,True,False
Produbanco,legit_aug_scotiabank-chile_v7_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.80019736,True,False,True,False
Produbanco,legit_aug_scotiabank-chile_v3_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.7987912,False,False,False,False
Produbanco,legit_scotiabank-chile_20251102T191440.png,BANCO (REF),Scotiabank Chile,0.79856247,False,False,False,False
Produbanco,legit_aug_scotiabank-chile_v0_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.7983912,False,False,False,False
Produbanco,legit_aug_banco-de-crédito-e-inversiones_v3_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.79656684,False,False,False,False
Produbanco,legit_aug_banco-ficohsa_v6_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.79620856,False,False,False,False
Produbanco,legit_aug_banco-provincia_v1_20251130T221013.png,BANCO (AUG),Banco Provincia,0.7939242,False,False,False,False
Produbanco,legit_aug_banamex_v3_20251130T221003.png,BANCO (AUG),Banamex,0.79382944,False,False,False,False
Produbanco,legit_aug_banco-provincia_v4_20251130T221013.png,BANCO (AUG),Banco Provincia,0.7934621,False,False,False,False
Produbanco,legit_aug_banco-de-crédito-e-inversiones_v4_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.7931857,False,False,False,False
Produbanco,legit_aug_banca-afirme_v7_20251130T221011.png,BANCO (AUG),Banca Afirme,0.7927534,False,False,False,False
Produbanco,legit_aug_banco-itaú-uruguay_v8_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.79242,False,False,False,False
Produbanco,legit_aug_banco-de-crédito-e-inversiones_v2_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.7913425,False,False,False,False
Produbanco,legit_aug_banco-ficohsa_v0_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.7911976,False,False,False,False
Produbanco,legit_aug_banco-ficohsa_v2_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.7903615,False,False,False,False
Produbanco,legit_aug_banco-nacional-panamá_v5_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.7896069,False,False,False,False
Produbanco,legit_aug_banco-itaú-uruguay_v4_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.7893645,False,False,False,False
Produbanco,legit_aug_banco-provincia_v8_20251130T221013.png,BANCO (AUG),Banco Provincia,0.7890104,False,False,False,False
Produbanco,legit_aug_banco-itaú-uruguay_v3_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.78857154,False,False,False,False
