target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Scotiabank Perú,legit_scotiabank-per_20251102T192231.png,BANCO (REF),Scotiabank Perú,0.9999999,True,True,False,True
Scotiabank Perú,legit_aug_scotiabank-perú_v5_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.96850425,True,True,False,False
Scotiabank Perú,legit_aug_scotiabank-perú_v6_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.91092205,True,True,False,False
Scotiabank Perú,legit_aug_scotiabank-perú_v0_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.897427,True,True,False,False
Scotiabank Perú,legit_aug_scotiabank-perú_v4_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.87963957,True,True,False,False
Scotiabank Perú,legit_aug_scotiabank-perú_v7_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.8707138,True,True,False,False
Scotiabank Perú,legit_aug_scotiabank-perú_v8_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.8601069,True,True,False,False
Scotiabank Perú,legit_aug_scotiabank-perú_v1_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.8521358,True,True,False,False
Scotiabank Perú,legit_aug_sudameris-paraguay_v1_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.84920216,True,False,True,False
Scotiabank Perú,legit_aug_scotiabank-perú_v9_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.84872746,True,True,False,False
Scotiabank Perú,legit_aug_sudameris-paraguay_v0_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.84552944,True,False,True,False
Scotiabank Perú,legit_aug_sudameris-paraguay_v2_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.8404493,True,False,True,False
Scotiabank Perú,legit_aug_sudameris-paraguay_v6_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.8394417,True,False,True,False
Scotiabank Perú,legit_aug_sudameris-paraguay_v3_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.83721054,True,False,True,False
Scotiabank Perú,legit_aug_sudameris-paraguay_v4_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.8341005,True,False,True,False
